,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
292,03-Jun-17,10:09:26,0,1,0,Amber,A
293,03-Jun-17,10:09:27,0,1,0,Amber,A
294,03-Jun-17,10:09:27,0,1,0,Amber,A
295,03-Jun-17,10:09:27,0,1,0,Amber,A
296,03-Jun-17,10:09:27,0,1,0,Amber,A
297,03-Jun-17,10:09:28,0,1,0,Amber,A
298,03-Jun-17,10:09:28,0,1,0,Amber,A
299,03-Jun-17,10:09:28,0,1,0,Amber,A
300,03-Jun-17,10:09:28,0,1,0,Amber,A
301,03-Jun-17,10:09:28,0,1,0,Amber,A
302,03-Jun-17,10:09:28,0,1,0,Amber,A
303,03-Jun-17,10:09:28,0,1,0,Amber,A
304,03-Jun-17,10:09:29,0,1,0,Amber,A
305,03-Jun-17,10:09:29,0,1,0,Amber,A
306,03-Jun-17,10:09:29,0,1,0,Amber,A
712,03-Jun-17,10:10:50,0,1,0,Amber,A
713,03-Jun-17,10:10:51,0,1,0,Amber,A
714,03-Jun-17,10:10:51,0,1,0,Amber,A
715,03-Jun-17,10:10:51,0,1,0,Amber,A
716,03-Jun-17,10:10:51,0,1,0,Amber,A
717,03-Jun-17,10:10:52,0,1,0,Amber,A
718,03-Jun-17,10:10:52,0,1,0,Amber,A
719,03-Jun-17,10:10:52,0,1,0,Amber,A
720,03-Jun-17,10:10:52,0,1,0,Amber,A
721,03-Jun-17,10:10:52,0,1,0,Amber,A
722,03-Jun-17,10:10:52,0,1,0,Amber,A
723,03-Jun-17,10:10:52,0,1,0,Amber,A
724,03-Jun-17,10:10:53,0,1,0,Amber,A
725,03-Jun-17,10:10:53,0,1,0,Amber,A
726,03-Jun-17,10:10:53,0,1,0,Amber,A
1012,03-Jun-17,10:11:51,0,1,0,Amber,A
1013,03-Jun-17,10:11:51,0,1,0,Amber,A
1014,03-Jun-17,10:11:51,0,1,0,Amber,A
1015,03-Jun-17,10:11:51,0,1,0,Amber,A
1016,03-Jun-17,10:11:51,0,1,0,Amber,A
1017,03-Jun-17,10:11:51,0,1,0,Amber,A
1018,03-Jun-17,10:11:52,0,1,0,Amber,A
1019,03-Jun-17,10:11:52,0,1,0,Amber,A
1020,03-Jun-17,10:11:52,0,1,0,Amber,A
1021,03-Jun-17,10:11:52,0,1,0,Amber,A
1022,03-Jun-17,10:11:53,0,1,0,Amber,A
1023,03-Jun-17,10:11:53,0,1,0,Amber,A
1024,03-Jun-17,10:11:53,0,1,0,Amber,A
1025,03-Jun-17,10:11:53,0,1,0,Amber,A
1026,03-Jun-17,10:11:54,0,1,0,Amber,A
1312,03-Jun-17,10:12:51,0,1,0,Amber,A
1313,03-Jun-17,10:12:51,0,1,0,Amber,A
1314,03-Jun-17,10:12:51,0,1,0,Amber,A
