,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
92,03-Jun-17,10:08:46,0,0,1,Green,A
93,03-Jun-17,10:08:47,0,0,1,Green,A
94,03-Jun-17,10:08:47,0,0,1,Green,A
95,03-Jun-17,10:08:47,0,0,1,Green,A
96,03-Jun-17,10:08:47,0,0,1,Green,A
97,03-Jun-17,10:08:47,0,0,1,Green,A
98,03-Jun-17,10:08:48,0,0,1,Green,A
99,03-Jun-17,10:08:48,0,0,1,Green,A
100,03-Jun-17,10:08:48,0,0,1,Green,A
101,03-Jun-17,10:08:48,0,0,1,Green,A
102,03-Jun-17,10:08:48,0,0,1,Green,A
103,03-Jun-17,10:08:48,0,0,1,Green,A
104,03-Jun-17,10:08:49,0,0,1,Green,A
105,03-Jun-17,10:08:49,0,0,1,Green,A
106,03-Jun-17,10:08:49,0,0,1,Green,A
107,03-Jun-17,10:08:49,0,0,1,Green,A
108,03-Jun-17,10:08:50,0,0,1,Green,A
109,03-Jun-17,10:08:50,0,0,1,Green,A
110,03-Jun-17,10:08:50,0,0,1,Green,A
111,03-Jun-17,10:08:50,0,0,1,Green,A
112,03-Jun-17,10:08:50,0,0,1,Green,A
113,03-Jun-17,10:08:50,0,0,1,Green,A
114,03-Jun-17,10:08:51,0,0,1,Green,A
115,03-Jun-17,10:08:51,0,0,1,Green,A
116,03-Jun-17,10:08:51,0,0,1,Green,A
117,03-Jun-17,10:08:51,0,0,1,Green,A
118,03-Jun-17,10:08:51,0,0,1,Green,A
119,03-Jun-17,10:08:52,0,0,1,Green,A
120,03-Jun-17,10:08:52,0,0,1,Green,A
121,03-Jun-17,10:08:52,0,0,1,Green,A
122,03-Jun-17,10:08:52,0,0,1,Green,A
123,03-Jun-17,10:08:53,0,0,1,Green,A
124,03-Jun-17,10:08:53,0,0,1,Green,A
125,03-Jun-17,10:08:53,0,0,1,Green,A
126,03-Jun-17,10:08:53,0,0,1,Green,A
127,03-Jun-17,10:08:53,0,0,1,Green,A
128,03-Jun-17,10:08:54,0,0,1,Green,A
129,03-Jun-17,10:08:54,0,0,1,Green,A
130,03-Jun-17,10:08:54,0,0,1,Green,A
131,03-Jun-17,10:08:54,0,0,1,Green,A
132,03-Jun-17,10:08:55,0,0,1,Green,A
133,03-Jun-17,10:08:55,0,0,1,Green,A
134,03-Jun-17,10:08:55,0,0,1,Green,A
135,03-Jun-17,10:08:55,0,0,1,Green,A
136,03-Jun-17,10:08:55,0,0,1,Green,A
137,03-Jun-17,10:08:55,0,0,1,Green,A
