,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
307,03-Jun-17,10:09:29,1,0,0,Red,A
308,03-Jun-17,10:09:30,1,0,0,Red,A
309,03-Jun-17,10:09:30,1,0,0,Red,A
310,03-Jun-17,10:09:30,1,0,0,Red,A
311,03-Jun-17,10:09:30,1,0,0,Red,A
312,03-Jun-17,10:09:30,1,0,0,Red,A
313,03-Jun-17,10:09:31,1,0,0,Red,A
314,03-Jun-17,10:09:31,1,0,0,Red,A
315,03-Jun-17,10:09:31,1,0,0,Red,A
316,03-Jun-17,10:09:31,1,0,0,Red,A
317,03-Jun-17,10:09:31,1,0,0,Red,A
318,03-Jun-17,10:09:31,1,0,0,Red,A
319,03-Jun-17,10:09:32,1,0,0,Red,A
320,03-Jun-17,10:09:32,1,0,0,Red,A
321,03-Jun-17,10:09:32,1,0,0,Red,A
322,03-Jun-17,10:09:32,1,0,0,Red,A
323,03-Jun-17,10:09:32,1,0,0,Red,A
324,03-Jun-17,10:09:33,1,0,0,Red,A
325,03-Jun-17,10:09:33,1,0,0,Red,A
326,03-Jun-17,10:09:33,1,0,0,Red,A
327,03-Jun-17,10:09:33,1,0,0,Red,A
328,03-Jun-17,10:09:34,1,0,0,Red,A
329,03-Jun-17,10:09:34,1,0,0,Red,A
330,03-Jun-17,10:09:34,1,0,0,Red,A
331,03-Jun-17,10:09:34,1,0,0,Red,A
332,03-Jun-17,10:09:34,1,0,0,Red,A
333,03-Jun-17,10:09:34,1,0,0,Red,A
334,03-Jun-17,10:09:35,1,0,0,Red,A
335,03-Jun-17,10:09:35,1,0,0,Red,A
336,03-Jun-17,10:09:35,1,0,0,Red,A
337,03-Jun-17,10:09:35,1,0,0,Red,A
338,03-Jun-17,10:09:36,1,0,0,Red,A
339,03-Jun-17,10:09:36,1,0,0,Red,A
340,03-Jun-17,10:09:36,1,0,0,Red,A
341,03-Jun-17,10:09:36,1,0,0,Red,A
342,03-Jun-17,10:09:36,1,0,0,Red,A
343,03-Jun-17,10:09:37,1,0,0,Red,A
344,03-Jun-17,10:09:37,1,0,0,Red,A
345,03-Jun-17,10:09:37,1,0,0,Red,A
346,03-Jun-17,10:09:37,1,0,0,Red,A
347,03-Jun-17,10:09:37,1,0,0,Red,A
348,03-Jun-17,10:09:37,1,0,0,Red,A
349,03-Jun-17,10:09:38,1,0,0,Red,A
350,03-Jun-17,10:09:38,1,0,0,Red,A
351,03-Jun-17,10:09:38,1,0,0,Red,A
352,03-Jun-17,10:09:38,1,0,0,Red,A
353,03-Jun-17,10:09:39,1,0,0,Red,A
354,03-Jun-17,10:09:39,1,0,0,Red,A
355,03-Jun-17,10:09:39,1,0,0,Red,A
356,03-Jun-17,10:09:39,1,0,0,Red,A
357,03-Jun-17,10:09:39,1,0,0,Red,A
358,03-Jun-17,10:09:40,1,0,0,Red,A
359,03-Jun-17,10:09:40,1,0,0,Red,A
360,03-Jun-17,10:09:40,1,0,0,Red,A
361,03-Jun-17,10:09:40,1,0,0,Red,A
362,03-Jun-17,10:09:40,1,0,0,Red,A
363,03-Jun-17,10:09:40,1,0,0,Red,A
364,03-Jun-17,10:09:41,1,0,0,Red,A
365,03-Jun-17,10:09:41,1,0,0,Red,A
366,03-Jun-17,10:09:41,1,0,0,Red,A
367,03-Jun-17,10:09:41,1,0,0,Red,A
368,03-Jun-17,10:09:42,1,0,0,Red,A
369,03-Jun-17,10:09:42,1,0,0,Red,A
370,03-Jun-17,10:09:42,1,0,0,Red,A
371,03-Jun-17,10:09:42,1,0,0,Red,A
372,03-Jun-17,10:09:43,1,0,0,Red,A
373,03-Jun-17,10:09:43,1,0,0,Red,A
374,03-Jun-17,10:09:43,1,0,0,Red,A
375,03-Jun-17,10:09:43,1,0,0,Red,A
