,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
292,03-Jun-17,10:09:26,0,1,0,Amber,B
293,03-Jun-17,10:09:27,0,1,0,Amber,B
294,03-Jun-17,10:09:27,0,1,0,Amber,B
295,03-Jun-17,10:09:27,0,1,0,Amber,B
296,03-Jun-17,10:09:27,0,1,0,Amber,B
297,03-Jun-17,10:09:28,0,1,0,Amber,B
298,03-Jun-17,10:09:28,0,1,0,Amber,B
299,03-Jun-17,10:09:28,0,1,0,Amber,B
300,03-Jun-17,10:09:28,0,1,0,Amber,B
301,03-Jun-17,10:09:28,0,1,0,Amber,B
302,03-Jun-17,10:09:28,0,1,0,Amber,B
303,03-Jun-17,10:09:28,0,1,0,Amber,B
304,03-Jun-17,10:09:29,0,1,0,Amber,B
305,03-Jun-17,10:09:29,0,1,0,Amber,B
306,03-Jun-17,10:09:29,0,1,0,Amber,B
712,03-Jun-17,10:10:50,0,1,0,Amber,B
713,03-Jun-17,10:10:51,0,1,0,Amber,B
714,03-Jun-17,10:10:51,0,1,0,Amber,B
715,03-Jun-17,10:10:51,0,1,0,Amber,B
716,03-Jun-17,10:10:51,0,1,0,Amber,B
717,03-Jun-17,10:10:52,0,1,0,Amber,B
718,03-Jun-17,10:10:52,0,1,0,Amber,B
719,03-Jun-17,10:10:52,0,1,0,Amber,B
720,03-Jun-17,10:10:52,0,1,0,Amber,B
721,03-Jun-17,10:10:52,0,1,0,Amber,B
722,03-Jun-17,10:10:52,0,1,0,Amber,B
723,03-Jun-17,10:10:52,0,1,0,Amber,B
724,03-Jun-17,10:10:53,0,1,0,Amber,B
725,03-Jun-17,10:10:53,0,1,0,Amber,B
726,03-Jun-17,10:10:53,0,1,0,Amber,B
1012,03-Jun-17,10:11:51,0,1,0,Amber,B
1013,03-Jun-17,10:11:51,0,1,0,Amber,B
1014,03-Jun-17,10:11:51,0,1,0,Amber,B
1015,03-Jun-17,10:11:51,0,1,0,Amber,B
1016,03-Jun-17,10:11:51,0,1,0,Amber,B
1017,03-Jun-17,10:11:51,0,1,0,Amber,B
1018,03-Jun-17,10:11:52,0,1,0,Amber,B
1019,03-Jun-17,10:11:52,0,1,0,Amber,B
1020,03-Jun-17,10:11:52,0,1,0,Amber,B
1021,03-Jun-17,10:11:52,0,1,0,Amber,B
1022,03-Jun-17,10:11:53,0,1,0,Amber,B
1023,03-Jun-17,10:11:53,0,1,0,Amber,B
1024,03-Jun-17,10:11:53,0,1,0,Amber,B
1025,03-Jun-17,10:11:53,0,1,0,Amber,B
1026,03-Jun-17,10:11:54,0,1,0,Amber,B
1312,03-Jun-17,10:12:51,0,1,0,Amber,B
1313,03-Jun-17,10:12:51,0,1,0,Amber,B
1314,03-Jun-17,10:12:51,0,1,0,Amber,B
1315,03-Jun-17,10:12:51,0,1,0,Amber,B
1316,03-Jun-17,10:12:51,0,1,0,Amber,B
1317,03-Jun-17,10:12:52,0,1,0,Amber,B
1318,03-Jun-17,10:12:52,0,1,0,Amber,B
1319,03-Jun-17,10:12:52,0,1,0,Amber,B
1320,03-Jun-17,10:12:52,0,1,0,Amber,B
1321,03-Jun-17,10:12:52,0,1,0,Amber,B
1322,03-Jun-17,10:12:52,0,1,0,Amber,B
1323,03-Jun-17,10:12:53,0,1,0,Amber,B
1324,03-Jun-17,10:12:53,0,1,0,Amber,B
1325,03-Jun-17,10:12:53,0,1,0,Amber,B
1326,03-Jun-17,10:12:53,0,1,0,Amber,B
1612,03-Jun-17,10:13:51,0,1,0,Amber,B
1613,03-Jun-17,10:13:51,0,1,0,Amber,B
1614,03-Jun-17,10:13:51,0,1,0,Amber,B
1615,03-Jun-17,10:13:51,0,1,0,Amber,B
1616,03-Jun-17,10:13:51,0,1,0,Amber,B
1617,03-Jun-17,10:13:52,0,1,0,Amber,B
1618,03-Jun-17,10:13:52,0,1,0,Amber,B
1619,03-Jun-17,10:13:52,0,1,0,Amber,B
1620,03-Jun-17,10:13:52,0,1,0,Amber,B
1621,03-Jun-17,10:13:53,0,1,0,Amber,B
1622,03-Jun-17,10:13:53,0,1,0,Amber,B
1623,03-Jun-17,10:13:53,0,1,0,Amber,B
1624,03-Jun-17,10:13:53,0,1,0,Amber,B
1625,03-Jun-17,10:13:53,0,1,0,Amber,B
1626,03-Jun-17,10:13:53,0,1,0,Amber,B
1912,03-Jun-17,10:14:50,0,1,0,Amber,B
1913,03-Jun-17,10:14:51,0,1,0,Amber,B
1914,03-Jun-17,10:14:51,0,1,0,Amber,B
1915,03-Jun-17,10:14:51,0,1,0,Amber,B
1916,03-Jun-17,10:14:51,0,1,0,Amber,B
1917,03-Jun-17,10:14:52,0,1,0,Amber,B
1918,03-Jun-17,10:14:52,0,1,0,Amber,B
1919,03-Jun-17,10:14:52,0,1,0,Amber,B
1920,03-Jun-17,10:14:52,0,1,0,Amber,B
1921,03-Jun-17,10:14:52,0,1,0,Amber,B
1922,03-Jun-17,10:14:53,0,1,0,Amber,B
1923,03-Jun-17,10:14:53,0,1,0,Amber,B
1924,03-Jun-17,10:14:53,0,1,0,Amber,B
1925,03-Jun-17,10:14:53,0,1,0,Amber,B
1926,03-Jun-17,10:14:53,0,1,0,Amber,B
2212,03-Jun-17,10:15:51,0,1,0,Amber,B
2213,03-Jun-17,10:15:51,0,1,0,Amber,B
2214,03-Jun-17,10:15:51,0,1,0,Amber,B
2215,03-Jun-17,10:15:51,0,1,0,Amber,B
2216,03-Jun-17,10:15:51,0,1,0,Amber,B
2217,03-Jun-17,10:15:52,0,1,0,Amber,B
2218,03-Jun-17,10:15:52,0,1,0,Amber,B
2219,03-Jun-17,10:15:52,0,1,0,Amber,B
2220,03-Jun-17,10:15:52,0,1,0,Amber,B
2221,03-Jun-17,10:15:53,0,1,0,Amber,B
2222,03-Jun-17,10:15:53,0,1,0,Amber,B
2223,03-Jun-17,10:15:53,0,1,0,Amber,B
2224,03-Jun-17,10:15:53,0,1,0,Amber,B
2225,03-Jun-17,10:15:53,0,1,0,Amber,B
2226,03-Jun-17,10:15:53,0,1,0,Amber,B
2512,03-Jun-17,10:16:50,0,1,0,Amber,B
2513,03-Jun-17,10:16:50,0,1,0,Amber,B
2514,03-Jun-17,10:16:51,0,1,0,Amber,B
2515,03-Jun-17,10:16:51,0,1,0,Amber,B
2516,03-Jun-17,10:16:51,0,1,0,Amber,B
2517,03-Jun-17,10:16:51,0,1,0,Amber,B
2518,03-Jun-17,10:16:52,0,1,0,Amber,B
2519,03-Jun-17,10:16:52,0,1,0,Amber,B
2520,03-Jun-17,10:16:52,0,1,0,Amber,B
2521,03-Jun-17,10:16:52,0,1,0,Amber,B
2522,03-Jun-17,10:16:52,0,1,0,Amber,B
2523,03-Jun-17,10:16:53,0,1,0,Amber,B
2524,03-Jun-17,10:16:53,0,1,0,Amber,B
2525,03-Jun-17,10:16:53,0,1,0,Amber,B
2526,03-Jun-17,10:16:53,0,1,0,Amber,B
2812,03-Jun-17,10:17:50,0,1,0,Amber,B
2813,03-Jun-17,10:17:50,0,1,0,Amber,B
