,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
92,03-Jun-17,10:08:46,0,0,1,Green,B
93,03-Jun-17,10:08:47,0,0,1,Green,B
94,03-Jun-17,10:08:47,0,0,1,Green,B
95,03-Jun-17,10:08:47,0,0,1,Green,B
96,03-Jun-17,10:08:47,0,0,1,Green,B
97,03-Jun-17,10:08:47,0,0,1,Green,B
98,03-Jun-17,10:08:48,0,0,1,Green,B
99,03-Jun-17,10:08:48,0,0,1,Green,B
100,03-Jun-17,10:08:48,0,0,1,Green,B
101,03-Jun-17,10:08:48,0,0,1,Green,B
102,03-Jun-17,10:08:48,0,0,1,Green,B
103,03-Jun-17,10:08:48,0,0,1,Green,B
104,03-Jun-17,10:08:49,0,0,1,Green,B
105,03-Jun-17,10:08:49,0,0,1,Green,B
106,03-Jun-17,10:08:49,0,0,1,Green,B
107,03-Jun-17,10:08:49,0,0,1,Green,B
108,03-Jun-17,10:08:50,0,0,1,Green,B
109,03-Jun-17,10:08:50,0,0,1,Green,B
110,03-Jun-17,10:08:50,0,0,1,Green,B
111,03-Jun-17,10:08:50,0,0,1,Green,B
112,03-Jun-17,10:08:50,0,0,1,Green,B
113,03-Jun-17,10:08:50,0,0,1,Green,B
114,03-Jun-17,10:08:51,0,0,1,Green,B
115,03-Jun-17,10:08:51,0,0,1,Green,B
116,03-Jun-17,10:08:51,0,0,1,Green,B
117,03-Jun-17,10:08:51,0,0,1,Green,B
118,03-Jun-17,10:08:51,0,0,1,Green,B
119,03-Jun-17,10:08:52,0,0,1,Green,B
120,03-Jun-17,10:08:52,0,0,1,Green,B
121,03-Jun-17,10:08:52,0,0,1,Green,B
122,03-Jun-17,10:08:52,0,0,1,Green,B
123,03-Jun-17,10:08:53,0,0,1,Green,B
124,03-Jun-17,10:08:53,0,0,1,Green,B
125,03-Jun-17,10:08:53,0,0,1,Green,B
126,03-Jun-17,10:08:53,0,0,1,Green,B
127,03-Jun-17,10:08:53,0,0,1,Green,B
128,03-Jun-17,10:08:54,0,0,1,Green,B
129,03-Jun-17,10:08:54,0,0,1,Green,B
130,03-Jun-17,10:08:54,0,0,1,Green,B
131,03-Jun-17,10:08:54,0,0,1,Green,B
132,03-Jun-17,10:08:55,0,0,1,Green,B
133,03-Jun-17,10:08:55,0,0,1,Green,B
134,03-Jun-17,10:08:55,0,0,1,Green,B
135,03-Jun-17,10:08:55,0,0,1,Green,B
136,03-Jun-17,10:08:55,0,0,1,Green,B
137,03-Jun-17,10:08:55,0,0,1,Green,B
138,03-Jun-17,10:08:55,0,0,1,Green,B
139,03-Jun-17,10:08:56,0,0,1,Green,B
140,03-Jun-17,10:08:56,0,0,1,Green,B
141,03-Jun-17,10:08:56,0,0,1,Green,B
142,03-Jun-17,10:08:56,0,0,1,Green,B
143,03-Jun-17,10:08:57,0,0,1,Green,B
144,03-Jun-17,10:08:57,0,0,1,Green,B
145,03-Jun-17,10:08:57,0,0,1,Green,B
146,03-Jun-17,10:08:57,0,0,1,Green,B
147,03-Jun-17,10:08:57,0,0,1,Green,B
148,03-Jun-17,10:08:58,0,0,1,Green,B
149,03-Jun-17,10:08:58,0,0,1,Green,B
150,03-Jun-17,10:08:58,0,0,1,Green,B
151,03-Jun-17,10:08:58,0,0,1,Green,B
152,03-Jun-17,10:08:59,0,0,1,Green,B
153,03-Jun-17,10:08:59,0,0,1,Green,B
154,03-Jun-17,10:08:59,0,0,1,Green,B
155,03-Jun-17,10:08:59,0,0,1,Green,B
156,03-Jun-17,10:08:59,0,0,1,Green,B
157,03-Jun-17,10:08:59,0,0,1,Green,B
158,03-Jun-17,10:08:59,0,0,1,Green,B
159,03-Jun-17,10:09:00,0,0,1,Green,B
160,03-Jun-17,10:09:00,0,0,1,Green,B
161,03-Jun-17,10:09:00,0,0,1,Green,B
162,03-Jun-17,10:09:00,0,0,1,Green,B
163,03-Jun-17,10:09:01,0,0,1,Green,B
164,03-Jun-17,10:09:01,0,0,1,Green,B
165,03-Jun-17,10:09:01,0,0,1,Green,B
166,03-Jun-17,10:09:01,0,0,1,Green,B
167,03-Jun-17,10:09:01,0,0,1,Green,B
168,03-Jun-17,10:09:02,0,0,1,Green,B
169,03-Jun-17,10:09:02,0,0,1,Green,B
170,03-Jun-17,10:09:02,0,0,1,Green,B
171,03-Jun-17,10:09:02,0,0,1,Green,B
172,03-Jun-17,10:09:03,0,0,1,Green,B
173,03-Jun-17,10:09:03,0,0,1,Green,B
174,03-Jun-17,10:09:03,0,0,1,Green,B
175,03-Jun-17,10:09:03,0,0,1,Green,B
176,03-Jun-17,10:09:03,0,0,1,Green,B
177,03-Jun-17,10:09:03,0,0,1,Green,B
178,03-Jun-17,10:09:03,0,0,1,Green,B
179,03-Jun-17,10:09:04,0,0,1,Green,B
180,03-Jun-17,10:09:04,0,0,1,Green,B
181,03-Jun-17,10:09:04,0,0,1,Green,B
182,03-Jun-17,10:09:04,0,0,1,Green,B
183,03-Jun-17,10:09:04,0,0,1,Green,B
184,03-Jun-17,10:09:05,0,0,1,Green,B
185,03-Jun-17,10:09:05,0,0,1,Green,B
186,03-Jun-17,10:09:05,0,0,1,Green,B
187,03-Jun-17,10:09:05,0,0,1,Green,B
188,03-Jun-17,10:09:06,0,0,1,Green,B
189,03-Jun-17,10:09:06,0,0,1,Green,B
190,03-Jun-17,10:09:06,0,0,1,Green,B
191,03-Jun-17,10:09:06,0,0,1,Green,B
192,03-Jun-17,10:09:06,0,0,1,Green,B
193,03-Jun-17,10:09:06,0,0,1,Green,B
194,03-Jun-17,10:09:07,0,0,1,Green,B
195,03-Jun-17,10:09:07,0,0,1,Green,B
196,03-Jun-17,10:09:07,0,0,1,Green,B
197,03-Jun-17,10:09:07,0,0,1,Green,B
198,03-Jun-17,10:09:08,0,0,1,Green,B
199,03-Jun-17,10:09:08,0,0,1,Green,B
200,03-Jun-17,10:09:08,0,0,1,Green,B
201,03-Jun-17,10:09:08,0,0,1,Green,B
202,03-Jun-17,10:09:08,0,0,1,Green,B
203,03-Jun-17,10:09:09,0,0,1,Green,B
204,03-Jun-17,10:09:09,0,0,1,Green,B
205,03-Jun-17,10:09:09,0,0,1,Green,B
206,03-Jun-17,10:09:09,0,0,1,Green,B
207,03-Jun-17,10:09:09,0,0,1,Green,B
208,03-Jun-17,10:09:09,0,0,1,Green,B
209,03-Jun-17,10:09:10,0,0,1,Green,B
210,03-Jun-17,10:09:10,0,0,1,Green,B
211,03-Jun-17,10:09:10,0,0,1,Green,B
212,03-Jun-17,10:09:10,0,0,1,Green,B
213,03-Jun-17,10:09:10,0,0,1,Green,B
214,03-Jun-17,10:09:11,0,0,1,Green,B
215,03-Jun-17,10:09:11,0,0,1,Green,B
216,03-Jun-17,10:09:11,0,0,1,Green,B
217,03-Jun-17,10:09:11,0,0,1,Green,B
218,03-Jun-17,10:09:12,0,0,1,Green,B
219,03-Jun-17,10:09:12,0,0,1,Green,B
220,03-Jun-17,10:09:12,0,0,1,Green,B
221,03-Jun-17,10:09:12,0,0,1,Green,B
222,03-Jun-17,10:09:12,0,0,1,Green,B
223,03-Jun-17,10:09:13,0,0,1,Green,B
224,03-Jun-17,10:09:13,0,0,1,Green,B
225,03-Jun-17,10:09:13,0,0,1,Green,B
226,03-Jun-17,10:09:13,0,0,1,Green,B
227,03-Jun-17,10:09:13,0,0,1,Green,B
228,03-Jun-17,10:09:13,0,0,1,Green,B
229,03-Jun-17,10:09:14,0,0,1,Green,B
230,03-Jun-17,10:09:14,0,0,1,Green,B
231,03-Jun-17,10:09:14,0,0,1,Green,B
232,03-Jun-17,10:09:14,0,0,1,Green,B
233,03-Jun-17,10:09:15,0,0,1,Green,B
234,03-Jun-17,10:09:15,0,0,1,Green,B
235,03-Jun-17,10:09:15,0,0,1,Green,B
