,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
307,03-Jun-17,10:09:29,1,0,0,Red,B
308,03-Jun-17,10:09:30,1,0,0,Red,B
309,03-Jun-17,10:09:30,1,0,0,Red,B
310,03-Jun-17,10:09:30,1,0,0,Red,B
311,03-Jun-17,10:09:30,1,0,0,Red,B
312,03-Jun-17,10:09:30,1,0,0,Red,B
313,03-Jun-17,10:09:31,1,0,0,Red,B
314,03-Jun-17,10:09:31,1,0,0,Red,B
315,03-Jun-17,10:09:31,1,0,0,Red,B
316,03-Jun-17,10:09:31,1,0,0,Red,B
317,03-Jun-17,10:09:31,1,0,0,Red,B
318,03-Jun-17,10:09:31,1,0,0,Red,B
319,03-Jun-17,10:09:32,1,0,0,Red,B
320,03-Jun-17,10:09:32,1,0,0,Red,B
321,03-Jun-17,10:09:32,1,0,0,Red,B
322,03-Jun-17,10:09:32,1,0,0,Red,B
323,03-Jun-17,10:09:32,1,0,0,Red,B
324,03-Jun-17,10:09:33,1,0,0,Red,B
325,03-Jun-17,10:09:33,1,0,0,Red,B
326,03-Jun-17,10:09:33,1,0,0,Red,B
327,03-Jun-17,10:09:33,1,0,0,Red,B
328,03-Jun-17,10:09:34,1,0,0,Red,B
329,03-Jun-17,10:09:34,1,0,0,Red,B
330,03-Jun-17,10:09:34,1,0,0,Red,B
331,03-Jun-17,10:09:34,1,0,0,Red,B
332,03-Jun-17,10:09:34,1,0,0,Red,B
333,03-Jun-17,10:09:34,1,0,0,Red,B
334,03-Jun-17,10:09:35,1,0,0,Red,B
335,03-Jun-17,10:09:35,1,0,0,Red,B
336,03-Jun-17,10:09:35,1,0,0,Red,B
337,03-Jun-17,10:09:35,1,0,0,Red,B
338,03-Jun-17,10:09:36,1,0,0,Red,B
339,03-Jun-17,10:09:36,1,0,0,Red,B
340,03-Jun-17,10:09:36,1,0,0,Red,B
341,03-Jun-17,10:09:36,1,0,0,Red,B
342,03-Jun-17,10:09:36,1,0,0,Red,B
343,03-Jun-17,10:09:37,1,0,0,Red,B
344,03-Jun-17,10:09:37,1,0,0,Red,B
345,03-Jun-17,10:09:37,1,0,0,Red,B
346,03-Jun-17,10:09:37,1,0,0,Red,B
347,03-Jun-17,10:09:37,1,0,0,Red,B
348,03-Jun-17,10:09:37,1,0,0,Red,B
349,03-Jun-17,10:09:38,1,0,0,Red,B
350,03-Jun-17,10:09:38,1,0,0,Red,B
351,03-Jun-17,10:09:38,1,0,0,Red,B
352,03-Jun-17,10:09:38,1,0,0,Red,B
353,03-Jun-17,10:09:39,1,0,0,Red,B
354,03-Jun-17,10:09:39,1,0,0,Red,B
355,03-Jun-17,10:09:39,1,0,0,Red,B
356,03-Jun-17,10:09:39,1,0,0,Red,B
357,03-Jun-17,10:09:39,1,0,0,Red,B
358,03-Jun-17,10:09:40,1,0,0,Red,B
359,03-Jun-17,10:09:40,1,0,0,Red,B
360,03-Jun-17,10:09:40,1,0,0,Red,B
361,03-Jun-17,10:09:40,1,0,0,Red,B
362,03-Jun-17,10:09:40,1,0,0,Red,B
363,03-Jun-17,10:09:40,1,0,0,Red,B
364,03-Jun-17,10:09:41,1,0,0,Red,B
365,03-Jun-17,10:09:41,1,0,0,Red,B
366,03-Jun-17,10:09:41,1,0,0,Red,B
367,03-Jun-17,10:09:41,1,0,0,Red,B
368,03-Jun-17,10:09:42,1,0,0,Red,B
369,03-Jun-17,10:09:42,1,0,0,Red,B
370,03-Jun-17,10:09:42,1,0,0,Red,B
371,03-Jun-17,10:09:42,1,0,0,Red,B
372,03-Jun-17,10:09:43,1,0,0,Red,B
373,03-Jun-17,10:09:43,1,0,0,Red,B
374,03-Jun-17,10:09:43,1,0,0,Red,B
375,03-Jun-17,10:09:43,1,0,0,Red,B
376,03-Jun-17,10:09:43,1,0,0,Red,B
377,03-Jun-17,10:09:43,1,0,0,Red,B
378,03-Jun-17,10:09:43,1,0,0,Red,B
379,03-Jun-17,10:09:44,1,0,0,Red,B
380,03-Jun-17,10:09:44,1,0,0,Red,B
381,03-Jun-17,10:09:44,1,0,0,Red,B
382,03-Jun-17,10:09:44,1,0,0,Red,B
383,03-Jun-17,10:09:45,1,0,0,Red,B
384,03-Jun-17,10:09:45,1,0,0,Red,B
385,03-Jun-17,10:09:45,1,0,0,Red,B
386,03-Jun-17,10:09:45,1,0,0,Red,B
387,03-Jun-17,10:09:45,1,0,0,Red,B
388,03-Jun-17,10:09:46,1,0,0,Red,B
389,03-Jun-17,10:09:46,1,0,0,Red,B
390,03-Jun-17,10:09:46,1,0,0,Red,B
391,03-Jun-17,10:09:46,1,0,0,Red,B
392,03-Jun-17,10:09:46,1,0,0,Red,B
393,03-Jun-17,10:09:47,1,0,0,Red,B
394,03-Jun-17,10:09:47,1,0,0,Red,B
395,03-Jun-17,10:09:47,1,0,0,Red,B
396,03-Jun-17,10:09:47,1,0,0,Red,B
397,03-Jun-17,10:09:48,1,0,0,Red,B
398,03-Jun-17,10:09:48,1,0,0,Red,B
399,03-Jun-17,10:09:48,1,0,0,Red,B
400,03-Jun-17,10:09:48,1,0,0,Red,B
401,03-Jun-17,10:09:48,1,0,0,Red,B
402,03-Jun-17,10:09:48,1,0,0,Red,B
403,03-Jun-17,10:09:48,1,0,0,Red,B
404,03-Jun-17,10:09:49,1,0,0,Red,B
405,03-Jun-17,10:09:49,1,0,0,Red,B
406,03-Jun-17,10:09:49,1,0,0,Red,B
407,03-Jun-17,10:09:49,1,0,0,Red,B
408,03-Jun-17,10:09:50,1,0,0,Red,B
409,03-Jun-17,10:09:50,1,0,0,Red,B
410,03-Jun-17,10:09:50,1,0,0,Red,B
411,03-Jun-17,10:09:50,1,0,0,Red,B
412,03-Jun-17,10:09:50,1,0,0,Red,B
413,03-Jun-17,10:09:50,1,0,0,Red,B
414,03-Jun-17,10:09:51,1,0,0,Red,B
415,03-Jun-17,10:09:51,1,0,0,Red,B
416,03-Jun-17,10:09:51,1,0,0,Red,B
417,03-Jun-17,10:09:51,1,0,0,Red,B
418,03-Jun-17,10:09:52,1,0,0,Red,B
419,03-Jun-17,10:09:52,1,0,0,Red,B
420,03-Jun-17,10:09:52,1,0,0,Red,B
421,03-Jun-17,10:09:52,1,0,0,Red,B
422,03-Jun-17,10:09:53,1,0,0,Red,B
