,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
27,03-Jun-17,10:08:34,0,1,0,Amber,C
28,03-Jun-17,10:08:34,0,1,0,Amber,C
29,03-Jun-17,10:08:34,0,1,0,Amber,C
30,03-Jun-17,10:08:34,0,1,0,Amber,C
31,03-Jun-17,10:08:34,0,1,0,Amber,C
32,03-Jun-17,10:08:34,0,1,0,Amber,C
33,03-Jun-17,10:08:34,0,1,0,Amber,C
34,03-Jun-17,10:08:35,0,1,0,Amber,C
35,03-Jun-17,10:08:35,0,1,0,Amber,C
36,03-Jun-17,10:08:35,0,1,0,Amber,C
37,03-Jun-17,10:08:35,0,1,0,Amber,C
38,03-Jun-17,10:08:35,0,1,0,Amber,C
39,03-Jun-17,10:08:36,0,1,0,Amber,C
40,03-Jun-17,10:08:36,0,1,0,Amber,C
41,03-Jun-17,10:08:36,0,1,0,Amber,C
362,03-Jun-17,10:09:40,0,1,0,Amber,C
363,03-Jun-17,10:09:40,0,1,0,Amber,C
364,03-Jun-17,10:09:41,0,1,0,Amber,C
365,03-Jun-17,10:09:41,0,1,0,Amber,C
366,03-Jun-17,10:09:41,0,1,0,Amber,C
367,03-Jun-17,10:09:41,0,1,0,Amber,C
368,03-Jun-17,10:09:42,0,1,0,Amber,C
369,03-Jun-17,10:09:42,0,1,0,Amber,C
370,03-Jun-17,10:09:42,0,1,0,Amber,C
371,03-Jun-17,10:09:42,0,1,0,Amber,C
372,03-Jun-17,10:09:43,0,1,0,Amber,C
373,03-Jun-17,10:09:43,0,1,0,Amber,C
374,03-Jun-17,10:09:43,0,1,0,Amber,C
375,03-Jun-17,10:09:43,0,1,0,Amber,C
376,03-Jun-17,10:09:43,0,1,0,Amber,C
782,03-Jun-17,10:11:04,0,1,0,Amber,C
783,03-Jun-17,10:11:05,0,1,0,Amber,C
784,03-Jun-17,10:11:05,0,1,0,Amber,C
785,03-Jun-17,10:11:05,0,1,0,Amber,C
786,03-Jun-17,10:11:05,0,1,0,Amber,C
787,03-Jun-17,10:11:05,0,1,0,Amber,C
788,03-Jun-17,10:11:06,0,1,0,Amber,C
789,03-Jun-17,10:11:06,0,1,0,Amber,C
790,03-Jun-17,10:11:06,0,1,0,Amber,C
791,03-Jun-17,10:11:06,0,1,0,Amber,C
792,03-Jun-17,10:11:06,0,1,0,Amber,C
793,03-Jun-17,10:11:06,0,1,0,Amber,C
794,03-Jun-17,10:11:07,0,1,0,Amber,C
795,03-Jun-17,10:11:07,0,1,0,Amber,C
796,03-Jun-17,10:11:07,0,1,0,Amber,C
1082,03-Jun-17,10:12:04,0,1,0,Amber,C
