,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
317,03-Jun-17,10:09:31,0,0,1,Green,C
318,03-Jun-17,10:09:31,0,0,1,Green,C
319,03-Jun-17,10:09:32,0,0,1,Green,C
320,03-Jun-17,10:09:32,0,0,1,Green,C
321,03-Jun-17,10:09:32,0,0,1,Green,C
322,03-Jun-17,10:09:32,0,0,1,Green,C
323,03-Jun-17,10:09:32,0,0,1,Green,C
324,03-Jun-17,10:09:33,0,0,1,Green,C
325,03-Jun-17,10:09:33,0,0,1,Green,C
326,03-Jun-17,10:09:33,0,0,1,Green,C
327,03-Jun-17,10:09:33,0,0,1,Green,C
328,03-Jun-17,10:09:34,0,0,1,Green,C
329,03-Jun-17,10:09:34,0,0,1,Green,C
330,03-Jun-17,10:09:34,0,0,1,Green,C
331,03-Jun-17,10:09:34,0,0,1,Green,C
332,03-Jun-17,10:09:34,0,0,1,Green,C
333,03-Jun-17,10:09:34,0,0,1,Green,C
334,03-Jun-17,10:09:35,0,0,1,Green,C
335,03-Jun-17,10:09:35,0,0,1,Green,C
336,03-Jun-17,10:09:35,0,0,1,Green,C
337,03-Jun-17,10:09:35,0,0,1,Green,C
338,03-Jun-17,10:09:36,0,0,1,Green,C
339,03-Jun-17,10:09:36,0,0,1,Green,C
340,03-Jun-17,10:09:36,0,0,1,Green,C
341,03-Jun-17,10:09:36,0,0,1,Green,C
342,03-Jun-17,10:09:36,0,0,1,Green,C
343,03-Jun-17,10:09:37,0,0,1,Green,C
344,03-Jun-17,10:09:37,0,0,1,Green,C
345,03-Jun-17,10:09:37,0,0,1,Green,C
346,03-Jun-17,10:09:37,0,0,1,Green,C
347,03-Jun-17,10:09:37,0,0,1,Green,C
348,03-Jun-17,10:09:37,0,0,1,Green,C
349,03-Jun-17,10:09:38,0,0,1,Green,C
350,03-Jun-17,10:09:38,0,0,1,Green,C
351,03-Jun-17,10:09:38,0,0,1,Green,C
352,03-Jun-17,10:09:38,0,0,1,Green,C
353,03-Jun-17,10:09:39,0,0,1,Green,C
354,03-Jun-17,10:09:39,0,0,1,Green,C
355,03-Jun-17,10:09:39,0,0,1,Green,C
356,03-Jun-17,10:09:39,0,0,1,Green,C
357,03-Jun-17,10:09:39,0,0,1,Green,C
358,03-Jun-17,10:09:40,0,0,1,Green,C
359,03-Jun-17,10:09:40,0,0,1,Green,C
360,03-Jun-17,10:09:40,0,0,1,Green,C
361,03-Jun-17,10:09:40,0,0,1,Green,C
737,03-Jun-17,10:10:56,0,0,1,Green,C
738,03-Jun-17,10:10:56,0,0,1,Green,C
739,03-Jun-17,10:10:56,0,0,1,Green,C
740,03-Jun-17,10:10:56,0,0,1,Green,C
741,03-Jun-17,10:10:56,0,0,1,Green,C
742,03-Jun-17,10:10:57,0,0,1,Green,C
743,03-Jun-17,10:10:57,0,0,1,Green,C
744,03-Jun-17,10:10:57,0,0,1,Green,C
745,03-Jun-17,10:10:57,0,0,1,Green,C
746,03-Jun-17,10:10:57,0,0,1,Green,C
747,03-Jun-17,10:10:57,0,0,1,Green,C
748,03-Jun-17,10:10:57,0,0,1,Green,C
749,03-Jun-17,10:10:58,0,0,1,Green,C
750,03-Jun-17,10:10:58,0,0,1,Green,C
751,03-Jun-17,10:10:58,0,0,1,Green,C
752,03-Jun-17,10:10:58,0,0,1,Green,C
753,03-Jun-17,10:10:59,0,0,1,Green,C
754,03-Jun-17,10:10:59,0,0,1,Green,C
755,03-Jun-17,10:10:59,0,0,1,Green,C
756,03-Jun-17,10:10:59,0,0,1,Green,C
757,03-Jun-17,10:11:00,0,0,1,Green,C
758,03-Jun-17,10:11:00,0,0,1,Green,C
759,03-Jun-17,10:11:00,0,0,1,Green,C
760,03-Jun-17,10:11:00,0,0,1,Green,C
761,03-Jun-17,10:11:00,0,0,1,Green,C
762,03-Jun-17,10:11:00,0,0,1,Green,C
763,03-Jun-17,10:11:00,0,0,1,Green,C
764,03-Jun-17,10:11:01,0,0,1,Green,C
765,03-Jun-17,10:11:01,0,0,1,Green,C
766,03-Jun-17,10:11:01,0,0,1,Green,C
767,03-Jun-17,10:11:01,0,0,1,Green,C
768,03-Jun-17,10:11:02,0,0,1,Green,C
769,03-Jun-17,10:11:02,0,0,1,Green,C
770,03-Jun-17,10:11:02,0,0,1,Green,C
