,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
307,03-Jun-17,10:09:29,1,1,0,RedAmber,C
308,03-Jun-17,10:09:30,1,1,0,RedAmber,C
309,03-Jun-17,10:09:30,1,1,0,RedAmber,C
310,03-Jun-17,10:09:30,1,1,0,RedAmber,C
311,03-Jun-17,10:09:30,1,1,0,RedAmber,C
312,03-Jun-17,10:09:30,1,1,0,RedAmber,C
313,03-Jun-17,10:09:31,1,1,0,RedAmber,C
314,03-Jun-17,10:09:31,1,1,0,RedAmber,C
315,03-Jun-17,10:09:31,1,1,0,RedAmber,C
316,03-Jun-17,10:09:31,1,1,0,RedAmber,C
727,03-Jun-17,10:10:53,1,1,0,RedAmber,C
728,03-Jun-17,10:10:54,1,1,0,RedAmber,C
729,03-Jun-17,10:10:54,1,1,0,RedAmber,C
730,03-Jun-17,10:10:54,1,1,0,RedAmber,C
731,03-Jun-17,10:10:54,1,1,0,RedAmber,C
732,03-Jun-17,10:10:54,1,1,0,RedAmber,C
733,03-Jun-17,10:10:55,1,1,0,RedAmber,C
734,03-Jun-17,10:10:55,1,1,0,RedAmber,C
735,03-Jun-17,10:10:55,1,1,0,RedAmber,C
736,03-Jun-17,10:10:55,1,1,0,RedAmber,C
1027,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1028,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1029,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1030,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1031,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1032,03-Jun-17,10:11:54,1,1,0,RedAmber,C
1033,03-Jun-17,10:11:55,1,1,0,RedAmber,C
1034,03-Jun-17,10:11:55,1,1,0,RedAmber,C
1035,03-Jun-17,10:11:55,1,1,0,RedAmber,C
1036,03-Jun-17,10:11:55,1,1,0,RedAmber,C
1327,03-Jun-17,10:12:54,1,1,0,RedAmber,C
1328,03-Jun-17,10:12:54,1,1,0,RedAmber,C
1329,03-Jun-17,10:12:54,1,1,0,RedAmber,C
1330,03-Jun-17,10:12:54,1,1,0,RedAmber,C
1331,03-Jun-17,10:12:54,1,1,0,RedAmber,C
1332,03-Jun-17,10:12:55,1,1,0,RedAmber,C
1333,03-Jun-17,10:12:55,1,1,0,RedAmber,C
1334,03-Jun-17,10:12:55,1,1,0,RedAmber,C
1335,03-Jun-17,10:12:55,1,1,0,RedAmber,C
1336,03-Jun-17,10:12:55,1,1,0,RedAmber,C
1627,03-Jun-17,10:13:54,1,1,0,RedAmber,C
1628,03-Jun-17,10:13:54,1,1,0,RedAmber,C
1629,03-Jun-17,10:13:54,1,1,0,RedAmber,C
1630,03-Jun-17,10:13:54,1,1,0,RedAmber,C
1631,03-Jun-17,10:13:54,1,1,0,RedAmber,C
1632,03-Jun-17,10:13:55,1,1,0,RedAmber,C
1633,03-Jun-17,10:13:55,1,1,0,RedAmber,C
1634,03-Jun-17,10:13:55,1,1,0,RedAmber,C
1635,03-Jun-17,10:13:55,1,1,0,RedAmber,C
1636,03-Jun-17,10:13:55,1,1,0,RedAmber,C
1927,03-Jun-17,10:14:53,1,1,0,RedAmber,C
1928,03-Jun-17,10:14:54,1,1,0,RedAmber,C
1929,03-Jun-17,10:14:54,1,1,0,RedAmber,C
1930,03-Jun-17,10:14:54,1,1,0,RedAmber,C
1931,03-Jun-17,10:14:54,1,1,0,RedAmber,C
1932,03-Jun-17,10:14:55,1,1,0,RedAmber,C
1933,03-Jun-17,10:14:55,1,1,0,RedAmber,C
1934,03-Jun-17,10:14:55,1,1,0,RedAmber,C
1935,03-Jun-17,10:14:55,1,1,0,RedAmber,C
1936,03-Jun-17,10:14:56,1,1,0,RedAmber,C
2227,03-Jun-17,10:15:53,1,1,0,RedAmber,C
2228,03-Jun-17,10:15:54,1,1,0,RedAmber,C
2229,03-Jun-17,10:15:54,1,1,0,RedAmber,C
2230,03-Jun-17,10:15:54,1,1,0,RedAmber,C
2231,03-Jun-17,10:15:54,1,1,0,RedAmber,C
2232,03-Jun-17,10:15:54,1,1,0,RedAmber,C
2233,03-Jun-17,10:15:55,1,1,0,RedAmber,C
2234,03-Jun-17,10:15:55,1,1,0,RedAmber,C
2235,03-Jun-17,10:15:55,1,1,0,RedAmber,C
2236,03-Jun-17,10:15:55,1,1,0,RedAmber,C
2527,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2528,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2529,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2530,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2531,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2532,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2533,03-Jun-17,10:16:54,1,1,0,RedAmber,C
2534,03-Jun-17,10:16:55,1,1,0,RedAmber,C
2535,03-Jun-17,10:16:55,1,1,0,RedAmber,C
2536,03-Jun-17,10:16:55,1,1,0,RedAmber,C
2827,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2828,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2829,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2830,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2831,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2832,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2833,03-Jun-17,10:17:54,1,1,0,RedAmber,C
2834,03-Jun-17,10:17:55,1,1,0,RedAmber,C
2835,03-Jun-17,10:17:55,1,1,0,RedAmber,C
2836,03-Jun-17,10:17:55,1,1,0,RedAmber,C
3127,03-Jun-17,10:18:53,1,1,0,RedAmber,C
3128,03-Jun-17,10:18:54,1,1,0,RedAmber,C
3129,03-Jun-17,10:18:54,1,1,0,RedAmber,C
3130,03-Jun-17,10:18:54,1,1,0,RedAmber,C
3131,03-Jun-17,10:18:54,1,1,0,RedAmber,C
3132,03-Jun-17,10:18:55,1,1,0,RedAmber,C
3133,03-Jun-17,10:18:55,1,1,0,RedAmber,C
3134,03-Jun-17,10:18:55,1,1,0,RedAmber,C
3135,03-Jun-17,10:18:55,1,1,0,RedAmber,C
3136,03-Jun-17,10:18:56,1,1,0,RedAmber,C
3427,03-Jun-17,10:19:53,1,1,0,RedAmber,C
3428,03-Jun-17,10:19:54,1,1,0,RedAmber,C
3429,03-Jun-17,10:19:54,1,1,0,RedAmber,C
3430,03-Jun-17,10:19:54,1,1,0,RedAmber,C
3431,03-Jun-17,10:19:54,1,1,0,RedAmber,C
3432,03-Jun-17,10:19:54,1,1,0,RedAmber,C
3433,03-Jun-17,10:19:55,1,1,0,RedAmber,C
3434,03-Jun-17,10:19:55,1,1,0,RedAmber,C
3435,03-Jun-17,10:19:55,1,1,0,RedAmber,C
3436,03-Jun-17,10:19:55,1,1,0,RedAmber,C
3727,03-Jun-17,10:20:53,1,1,0,RedAmber,C
3728,03-Jun-17,10:20:54,1,1,0,RedAmber,C
3729,03-Jun-17,10:20:54,1,1,0,RedAmber,C
3730,03-Jun-17,10:20:54,1,1,0,RedAmber,C
3731,03-Jun-17,10:20:54,1,1,0,RedAmber,C
3732,03-Jun-17,10:20:54,1,1,0,RedAmber,C
3733,03-Jun-17,10:20:55,1,1,0,RedAmber,C
3734,03-Jun-17,10:20:55,1,1,0,RedAmber,C
3735,03-Jun-17,10:20:55,1,1,0,RedAmber,C
3736,03-Jun-17,10:20:55,1,1,0,RedAmber,C
4027,03-Jun-17,10:21:54,1,1,0,RedAmber,C
4028,03-Jun-17,10:21:54,1,1,0,RedAmber,C
4029,03-Jun-17,10:21:54,1,1,0,RedAmber,C
4030,03-Jun-17,10:21:54,1,1,0,RedAmber,C
4031,03-Jun-17,10:21:54,1,1,0,RedAmber,C
4032,03-Jun-17,10:21:55,1,1,0,RedAmber,C
4033,03-Jun-17,10:21:55,1,1,0,RedAmber,C
4034,03-Jun-17,10:21:55,1,1,0,RedAmber,C
4035,03-Jun-17,10:21:55,1,1,0,RedAmber,C
4036,03-Jun-17,10:21:55,1,1,0,RedAmber,C
4327,03-Jun-17,10:22:53,1,1,0,RedAmber,C
4328,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4329,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4330,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4331,03-Jun-17,10:22:54,1,1,0,RedAmber,C
4332,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4333,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4334,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4335,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4336,03-Jun-17,10:22:55,1,1,0,RedAmber,C
4627,03-Jun-17,10:23:53,1,1,0,RedAmber,C
4628,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4629,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4630,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4631,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4632,03-Jun-17,10:23:54,1,1,0,RedAmber,C
4633,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4634,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4635,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4636,03-Jun-17,10:23:55,1,1,0,RedAmber,C
4927,03-Jun-17,10:24:53,1,1,0,RedAmber,C
4928,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4929,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4930,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4931,03-Jun-17,10:24:54,1,1,0,RedAmber,C
4932,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4933,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4934,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4935,03-Jun-17,10:24:55,1,1,0,RedAmber,C
4936,03-Jun-17,10:24:55,1,1,0,RedAmber,C
5227,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5228,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5229,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5230,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5231,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5232,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5233,03-Jun-17,10:25:54,1,1,0,RedAmber,C
5234,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5235,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5236,03-Jun-17,10:25:55,1,1,0,RedAmber,C
5527,03-Jun-17,10:26:53,1,1,0,RedAmber,C
5528,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5529,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5530,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5531,03-Jun-17,10:26:54,1,1,0,RedAmber,C
5532,03-Jun-17,10:26:54,1,1,0,RedAmber,C
