,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
42,03-Jun-17,10:08:36,1,0,0,Red,C
43,03-Jun-17,10:08:37,1,0,0,Red,C
44,03-Jun-17,10:08:37,1,0,0,Red,C
45,03-Jun-17,10:08:37,1,0,0,Red,C
46,03-Jun-17,10:08:37,1,0,0,Red,C
47,03-Jun-17,10:08:37,1,0,0,Red,C
48,03-Jun-17,10:08:37,1,0,0,Red,C
49,03-Jun-17,10:08:38,1,0,0,Red,C
50,03-Jun-17,10:08:38,1,0,0,Red,C
51,03-Jun-17,10:08:38,1,0,0,Red,C
52,03-Jun-17,10:08:38,1,0,0,Red,C
53,03-Jun-17,10:08:39,1,0,0,Red,C
54,03-Jun-17,10:08:39,1,0,0,Red,C
55,03-Jun-17,10:08:39,1,0,0,Red,C
56,03-Jun-17,10:08:39,1,0,0,Red,C
57,03-Jun-17,10:08:39,1,0,0,Red,C
58,03-Jun-17,10:08:40,1,0,0,Red,C
59,03-Jun-17,10:08:40,1,0,0,Red,C
60,03-Jun-17,10:08:40,1,0,0,Red,C
61,03-Jun-17,10:08:40,1,0,0,Red,C
62,03-Jun-17,10:08:40,1,0,0,Red,C
63,03-Jun-17,10:08:40,1,0,0,Red,C
64,03-Jun-17,10:08:41,1,0,0,Red,C
65,03-Jun-17,10:08:41,1,0,0,Red,C
66,03-Jun-17,10:08:41,1,0,0,Red,C
67,03-Jun-17,10:08:41,1,0,0,Red,C
68,03-Jun-17,10:08:42,1,0,0,Red,C
69,03-Jun-17,10:08:42,1,0,0,Red,C
70,03-Jun-17,10:08:42,1,0,0,Red,C
71,03-Jun-17,10:08:42,1,0,0,Red,C
72,03-Jun-17,10:08:42,1,0,0,Red,C
73,03-Jun-17,10:08:42,1,0,0,Red,C
74,03-Jun-17,10:08:43,1,0,0,Red,C
75,03-Jun-17,10:08:43,1,0,0,Red,C
76,03-Jun-17,10:08:43,1,0,0,Red,C
77,03-Jun-17,10:08:43,1,0,0,Red,C
78,03-Jun-17,10:08:44,1,0,0,Red,C
79,03-Jun-17,10:08:44,1,0,0,Red,C
80,03-Jun-17,10:08:44,1,0,0,Red,C
81,03-Jun-17,10:08:44,1,0,0,Red,C
82,03-Jun-17,10:08:44,1,0,0,Red,C
83,03-Jun-17,10:08:45,1,0,0,Red,C
84,03-Jun-17,10:08:45,1,0,0,Red,C
85,03-Jun-17,10:08:45,1,0,0,Red,C
86,03-Jun-17,10:08:45,1,0,0,Red,C
87,03-Jun-17,10:08:45,1,0,0,Red,C
88,03-Jun-17,10:08:45,1,0,0,Red,C
89,03-Jun-17,10:08:46,1,0,0,Red,C
90,03-Jun-17,10:08:46,1,0,0,Red,C
91,03-Jun-17,10:08:46,1,0,0,Red,C
92,03-Jun-17,10:08:46,1,0,0,Red,C
93,03-Jun-17,10:08:47,1,0,0,Red,C
94,03-Jun-17,10:08:47,1,0,0,Red,C
95,03-Jun-17,10:08:47,1,0,0,Red,C
96,03-Jun-17,10:08:47,1,0,0,Red,C
97,03-Jun-17,10:08:47,1,0,0,Red,C
98,03-Jun-17,10:08:48,1,0,0,Red,C
99,03-Jun-17,10:08:48,1,0,0,Red,C
100,03-Jun-17,10:08:48,1,0,0,Red,C
101,03-Jun-17,10:08:48,1,0,0,Red,C
102,03-Jun-17,10:08:48,1,0,0,Red,C
103,03-Jun-17,10:08:48,1,0,0,Red,C
