,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
27,03-Jun-17,10:08:34,0,1,0,Amber,D
28,03-Jun-17,10:08:34,0,1,0,Amber,D
29,03-Jun-17,10:08:34,0,1,0,Amber,D
30,03-Jun-17,10:08:34,0,1,0,Amber,D
31,03-Jun-17,10:08:34,0,1,0,Amber,D
32,03-Jun-17,10:08:34,0,1,0,Amber,D
33,03-Jun-17,10:08:34,0,1,0,Amber,D
34,03-Jun-17,10:08:35,0,1,0,Amber,D
35,03-Jun-17,10:08:35,0,1,0,Amber,D
36,03-Jun-17,10:08:35,0,1,0,Amber,D
37,03-Jun-17,10:08:35,0,1,0,Amber,D
38,03-Jun-17,10:08:35,0,1,0,Amber,D
39,03-Jun-17,10:08:36,0,1,0,Amber,D
40,03-Jun-17,10:08:36,0,1,0,Amber,D
41,03-Jun-17,10:08:36,0,1,0,Amber,D
362,03-Jun-17,10:09:40,0,1,0,Amber,D
363,03-Jun-17,10:09:40,0,1,0,Amber,D
364,03-Jun-17,10:09:41,0,1,0,Amber,D
365,03-Jun-17,10:09:41,0,1,0,Amber,D
366,03-Jun-17,10:09:41,0,1,0,Amber,D
367,03-Jun-17,10:09:41,0,1,0,Amber,D
368,03-Jun-17,10:09:42,0,1,0,Amber,D
369,03-Jun-17,10:09:42,0,1,0,Amber,D
370,03-Jun-17,10:09:42,0,1,0,Amber,D
371,03-Jun-17,10:09:42,0,1,0,Amber,D
372,03-Jun-17,10:09:43,0,1,0,Amber,D
373,03-Jun-17,10:09:43,0,1,0,Amber,D
374,03-Jun-17,10:09:43,0,1,0,Amber,D
375,03-Jun-17,10:09:43,0,1,0,Amber,D
376,03-Jun-17,10:09:43,0,1,0,Amber,D
782,03-Jun-17,10:11:04,0,1,0,Amber,D
783,03-Jun-17,10:11:05,0,1,0,Amber,D
784,03-Jun-17,10:11:05,0,1,0,Amber,D
785,03-Jun-17,10:11:05,0,1,0,Amber,D
786,03-Jun-17,10:11:05,0,1,0,Amber,D
787,03-Jun-17,10:11:05,0,1,0,Amber,D
788,03-Jun-17,10:11:06,0,1,0,Amber,D
789,03-Jun-17,10:11:06,0,1,0,Amber,D
790,03-Jun-17,10:11:06,0,1,0,Amber,D
791,03-Jun-17,10:11:06,0,1,0,Amber,D
792,03-Jun-17,10:11:06,0,1,0,Amber,D
793,03-Jun-17,10:11:06,0,1,0,Amber,D
794,03-Jun-17,10:11:07,0,1,0,Amber,D
795,03-Jun-17,10:11:07,0,1,0,Amber,D
796,03-Jun-17,10:11:07,0,1,0,Amber,D
1082,03-Jun-17,10:12:04,0,1,0,Amber,D
1083,03-Jun-17,10:12:05,0,1,0,Amber,D
1084,03-Jun-17,10:12:05,0,1,0,Amber,D
1085,03-Jun-17,10:12:05,0,1,0,Amber,D
1086,03-Jun-17,10:12:05,0,1,0,Amber,D
1087,03-Jun-17,10:12:05,0,1,0,Amber,D
1088,03-Jun-17,10:12:06,0,1,0,Amber,D
1089,03-Jun-17,10:12:06,0,1,0,Amber,D
1090,03-Jun-17,10:12:06,0,1,0,Amber,D
1091,03-Jun-17,10:12:06,0,1,0,Amber,D
1092,03-Jun-17,10:12:06,0,1,0,Amber,D
1093,03-Jun-17,10:12:06,0,1,0,Amber,D
1094,03-Jun-17,10:12:07,0,1,0,Amber,D
1095,03-Jun-17,10:12:07,0,1,0,Amber,D
1096,03-Jun-17,10:12:07,0,1,0,Amber,D
1382,03-Jun-17,10:13:05,0,1,0,Amber,D
1383,03-Jun-17,10:13:05,0,1,0,Amber,D
1384,03-Jun-17,10:13:05,0,1,0,Amber,D
1385,03-Jun-17,10:13:05,0,1,0,Amber,D
1386,03-Jun-17,10:13:05,0,1,0,Amber,D
1387,03-Jun-17,10:13:05,0,1,0,Amber,D
1388,03-Jun-17,10:13:06,0,1,0,Amber,D
1389,03-Jun-17,10:13:06,0,1,0,Amber,D
1390,03-Jun-17,10:13:06,0,1,0,Amber,D
1391,03-Jun-17,10:13:06,0,1,0,Amber,D
1392,03-Jun-17,10:13:06,0,1,0,Amber,D
1393,03-Jun-17,10:13:07,0,1,0,Amber,D
1394,03-Jun-17,10:13:07,0,1,0,Amber,D
1395,03-Jun-17,10:13:07,0,1,0,Amber,D
1396,03-Jun-17,10:13:07,0,1,0,Amber,D
1682,03-Jun-17,10:14:04,0,1,0,Amber,D
1683,03-Jun-17,10:14:05,0,1,0,Amber,D
1684,03-Jun-17,10:14:05,0,1,0,Amber,D
1685,03-Jun-17,10:14:05,0,1,0,Amber,D
1686,03-Jun-17,10:14:05,0,1,0,Amber,D
1687,03-Jun-17,10:14:06,0,1,0,Amber,D
1688,03-Jun-17,10:14:06,0,1,0,Amber,D
1689,03-Jun-17,10:14:06,0,1,0,Amber,D
1690,03-Jun-17,10:14:06,0,1,0,Amber,D
1691,03-Jun-17,10:14:06,0,1,0,Amber,D
1692,03-Jun-17,10:14:07,0,1,0,Amber,D
1693,03-Jun-17,10:14:07,0,1,0,Amber,D
1694,03-Jun-17,10:14:07,0,1,0,Amber,D
1695,03-Jun-17,10:14:07,0,1,0,Amber,D
1696,03-Jun-17,10:14:07,0,1,0,Amber,D
1982,03-Jun-17,10:15:04,0,1,0,Amber,D
1983,03-Jun-17,10:15:05,0,1,0,Amber,D
1984,03-Jun-17,10:15:05,0,1,0,Amber,D
1985,03-Jun-17,10:15:05,0,1,0,Amber,D
1986,03-Jun-17,10:15:05,0,1,0,Amber,D
1987,03-Jun-17,10:15:06,0,1,0,Amber,D
1988,03-Jun-17,10:15:06,0,1,0,Amber,D
1989,03-Jun-17,10:15:06,0,1,0,Amber,D
1990,03-Jun-17,10:15:06,0,1,0,Amber,D
1991,03-Jun-17,10:15:06,0,1,0,Amber,D
1992,03-Jun-17,10:15:06,0,1,0,Amber,D
1993,03-Jun-17,10:15:07,0,1,0,Amber,D
1994,03-Jun-17,10:15:07,0,1,0,Amber,D
1995,03-Jun-17,10:15:07,0,1,0,Amber,D
1996,03-Jun-17,10:15:07,0,1,0,Amber,D
2282,03-Jun-17,10:16:04,0,1,0,Amber,D
2283,03-Jun-17,10:16:04,0,1,0,Amber,D
2284,03-Jun-17,10:16:05,0,1,0,Amber,D
2285,03-Jun-17,10:16:05,0,1,0,Amber,D
2286,03-Jun-17,10:16:05,0,1,0,Amber,D
2287,03-Jun-17,10:16:05,0,1,0,Amber,D
2288,03-Jun-17,10:16:05,0,1,0,Amber,D
2289,03-Jun-17,10:16:06,0,1,0,Amber,D
2290,03-Jun-17,10:16:06,0,1,0,Amber,D
2291,03-Jun-17,10:16:06,0,1,0,Amber,D
2292,03-Jun-17,10:16:06,0,1,0,Amber,D
2293,03-Jun-17,10:16:07,0,1,0,Amber,D
2294,03-Jun-17,10:16:07,0,1,0,Amber,D
2295,03-Jun-17,10:16:07,0,1,0,Amber,D
