,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
322,03-Jun-17,10:09:32,0,0,1,Green,D
323,03-Jun-17,10:09:32,0,0,1,Green,D
324,03-Jun-17,10:09:33,0,0,1,Green,D
325,03-Jun-17,10:09:33,0,0,1,Green,D
326,03-Jun-17,10:09:33,0,0,1,Green,D
327,03-Jun-17,10:09:33,0,0,1,Green,D
328,03-Jun-17,10:09:34,0,0,1,Green,D
329,03-Jun-17,10:09:34,0,0,1,Green,D
330,03-Jun-17,10:09:34,0,0,1,Green,D
331,03-Jun-17,10:09:34,0,0,1,Green,D
332,03-Jun-17,10:09:34,0,0,1,Green,D
333,03-Jun-17,10:09:34,0,0,1,Green,D
334,03-Jun-17,10:09:35,0,0,1,Green,D
335,03-Jun-17,10:09:35,0,0,1,Green,D
336,03-Jun-17,10:09:35,0,0,1,Green,D
337,03-Jun-17,10:09:35,0,0,1,Green,D
338,03-Jun-17,10:09:36,0,0,1,Green,D
339,03-Jun-17,10:09:36,0,0,1,Green,D
340,03-Jun-17,10:09:36,0,0,1,Green,D
341,03-Jun-17,10:09:36,0,0,1,Green,D
342,03-Jun-17,10:09:36,0,0,1,Green,D
343,03-Jun-17,10:09:37,0,0,1,Green,D
344,03-Jun-17,10:09:37,0,0,1,Green,D
345,03-Jun-17,10:09:37,0,0,1,Green,D
346,03-Jun-17,10:09:37,0,0,1,Green,D
347,03-Jun-17,10:09:37,0,0,1,Green,D
348,03-Jun-17,10:09:37,0,0,1,Green,D
349,03-Jun-17,10:09:38,0,0,1,Green,D
350,03-Jun-17,10:09:38,0,0,1,Green,D
351,03-Jun-17,10:09:38,0,0,1,Green,D
352,03-Jun-17,10:09:38,0,0,1,Green,D
353,03-Jun-17,10:09:39,0,0,1,Green,D
354,03-Jun-17,10:09:39,0,0,1,Green,D
355,03-Jun-17,10:09:39,0,0,1,Green,D
356,03-Jun-17,10:09:39,0,0,1,Green,D
357,03-Jun-17,10:09:39,0,0,1,Green,D
358,03-Jun-17,10:09:40,0,0,1,Green,D
359,03-Jun-17,10:09:40,0,0,1,Green,D
360,03-Jun-17,10:09:40,0,0,1,Green,D
361,03-Jun-17,10:09:40,0,0,1,Green,D
742,03-Jun-17,10:10:57,0,0,1,Green,D
743,03-Jun-17,10:10:57,0,0,1,Green,D
744,03-Jun-17,10:10:57,0,0,1,Green,D
745,03-Jun-17,10:10:57,0,0,1,Green,D
746,03-Jun-17,10:10:57,0,0,1,Green,D
747,03-Jun-17,10:10:57,0,0,1,Green,D
748,03-Jun-17,10:10:57,0,0,1,Green,D
749,03-Jun-17,10:10:58,0,0,1,Green,D
750,03-Jun-17,10:10:58,0,0,1,Green,D
751,03-Jun-17,10:10:58,0,0,1,Green,D
752,03-Jun-17,10:10:58,0,0,1,Green,D
753,03-Jun-17,10:10:59,0,0,1,Green,D
754,03-Jun-17,10:10:59,0,0,1,Green,D
755,03-Jun-17,10:10:59,0,0,1,Green,D
756,03-Jun-17,10:10:59,0,0,1,Green,D
757,03-Jun-17,10:11:00,0,0,1,Green,D
758,03-Jun-17,10:11:00,0,0,1,Green,D
759,03-Jun-17,10:11:00,0,0,1,Green,D
760,03-Jun-17,10:11:00,0,0,1,Green,D
761,03-Jun-17,10:11:00,0,0,1,Green,D
762,03-Jun-17,10:11:00,0,0,1,Green,D
763,03-Jun-17,10:11:00,0,0,1,Green,D
764,03-Jun-17,10:11:01,0,0,1,Green,D
765,03-Jun-17,10:11:01,0,0,1,Green,D
766,03-Jun-17,10:11:01,0,0,1,Green,D
767,03-Jun-17,10:11:01,0,0,1,Green,D
768,03-Jun-17,10:11:02,0,0,1,Green,D
769,03-Jun-17,10:11:02,0,0,1,Green,D
770,03-Jun-17,10:11:02,0,0,1,Green,D
771,03-Jun-17,10:11:02,0,0,1,Green,D
772,03-Jun-17,10:11:03,0,0,1,Green,D
773,03-Jun-17,10:11:03,0,0,1,Green,D
774,03-Jun-17,10:11:03,0,0,1,Green,D
775,03-Jun-17,10:11:03,0,0,1,Green,D
776,03-Jun-17,10:11:03,0,0,1,Green,D
777,03-Jun-17,10:11:03,0,0,1,Green,D
778,03-Jun-17,10:11:03,0,0,1,Green,D
779,03-Jun-17,10:11:04,0,0,1,Green,D
780,03-Jun-17,10:11:04,0,0,1,Green,D
781,03-Jun-17,10:11:04,0,0,1,Green,D
1042,03-Jun-17,10:11:56,0,0,1,Green,D
1043,03-Jun-17,10:11:57,0,0,1,Green,D
1044,03-Jun-17,10:11:57,0,0,1,Green,D
1045,03-Jun-17,10:11:57,0,0,1,Green,D
1046,03-Jun-17,10:11:57,0,0,1,Green,D
1047,03-Jun-17,10:11:58,0,0,1,Green,D
1048,03-Jun-17,10:11:58,0,0,1,Green,D
1049,03-Jun-17,10:11:58,0,0,1,Green,D
1050,03-Jun-17,10:11:58,0,0,1,Green,D
1051,03-Jun-17,10:11:58,0,0,1,Green,D
1052,03-Jun-17,10:11:58,0,0,1,Green,D
1053,03-Jun-17,10:11:59,0,0,1,Green,D
1054,03-Jun-17,10:11:59,0,0,1,Green,D
1055,03-Jun-17,10:11:59,0,0,1,Green,D
1056,03-Jun-17,10:11:59,0,0,1,Green,D
1057,03-Jun-17,10:11:59,0,0,1,Green,D
1058,03-Jun-17,10:12:00,0,0,1,Green,D
1059,03-Jun-17,10:12:00,0,0,1,Green,D
1060,03-Jun-17,10:12:00,0,0,1,Green,D
1061,03-Jun-17,10:12:00,0,0,1,Green,D
1062,03-Jun-17,10:12:00,0,0,1,Green,D
1063,03-Jun-17,10:12:01,0,0,1,Green,D
1064,03-Jun-17,10:12:01,0,0,1,Green,D
1065,03-Jun-17,10:12:01,0,0,1,Green,D
1066,03-Jun-17,10:12:01,0,0,1,Green,D
1067,03-Jun-17,10:12:01,0,0,1,Green,D
1068,03-Jun-17,10:12:01,0,0,1,Green,D
1069,03-Jun-17,10:12:02,0,0,1,Green,D
1070,03-Jun-17,10:12:02,0,0,1,Green,D
1071,03-Jun-17,10:12:02,0,0,1,Green,D
1072,03-Jun-17,10:12:02,0,0,1,Green,D
1073,03-Jun-17,10:12:03,0,0,1,Green,D
1074,03-Jun-17,10:12:03,0,0,1,Green,D
1075,03-Jun-17,10:12:03,0,0,1,Green,D
1076,03-Jun-17,10:12:03,0,0,1,Green,D
1077,03-Jun-17,10:12:03,0,0,1,Green,D
1078,03-Jun-17,10:12:03,0,0,1,Green,D
1079,03-Jun-17,10:12:04,0,0,1,Green,D
1080,03-Jun-17,10:12:04,0,0,1,Green,D
