,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
312,03-Jun-17,10:09:30,1,1,0,RedAmber,D
313,03-Jun-17,10:09:31,1,1,0,RedAmber,D
314,03-Jun-17,10:09:31,1,1,0,RedAmber,D
315,03-Jun-17,10:09:31,1,1,0,RedAmber,D
316,03-Jun-17,10:09:31,1,1,0,RedAmber,D
317,03-Jun-17,10:09:31,1,1,0,RedAmber,D
318,03-Jun-17,10:09:31,1,1,0,RedAmber,D
319,03-Jun-17,10:09:32,1,1,0,RedAmber,D
320,03-Jun-17,10:09:32,1,1,0,RedAmber,D
321,03-Jun-17,10:09:32,1,1,0,RedAmber,D
732,03-Jun-17,10:10:54,1,1,0,RedAmber,D
733,03-Jun-17,10:10:55,1,1,0,RedAmber,D
734,03-Jun-17,10:10:55,1,1,0,RedAmber,D
735,03-Jun-17,10:10:55,1,1,0,RedAmber,D
736,03-Jun-17,10:10:55,1,1,0,RedAmber,D
737,03-Jun-17,10:10:56,1,1,0,RedAmber,D
738,03-Jun-17,10:10:56,1,1,0,RedAmber,D
739,03-Jun-17,10:10:56,1,1,0,RedAmber,D
740,03-Jun-17,10:10:56,1,1,0,RedAmber,D
741,03-Jun-17,10:10:56,1,1,0,RedAmber,D
1032,03-Jun-17,10:11:54,1,1,0,RedAmber,D
1033,03-Jun-17,10:11:55,1,1,0,RedAmber,D
1034,03-Jun-17,10:11:55,1,1,0,RedAmber,D
1035,03-Jun-17,10:11:55,1,1,0,RedAmber,D
1036,03-Jun-17,10:11:55,1,1,0,RedAmber,D
1037,03-Jun-17,10:11:56,1,1,0,RedAmber,D
1038,03-Jun-17,10:11:56,1,1,0,RedAmber,D
1039,03-Jun-17,10:11:56,1,1,0,RedAmber,D
1040,03-Jun-17,10:11:56,1,1,0,RedAmber,D
1041,03-Jun-17,10:11:56,1,1,0,RedAmber,D
1332,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1333,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1334,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1335,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1336,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1337,03-Jun-17,10:12:55,1,1,0,RedAmber,D
1338,03-Jun-17,10:12:56,1,1,0,RedAmber,D
1339,03-Jun-17,10:12:56,1,1,0,RedAmber,D
1340,03-Jun-17,10:12:56,1,1,0,RedAmber,D
1341,03-Jun-17,10:12:56,1,1,0,RedAmber,D
1632,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1633,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1634,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1635,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1636,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1637,03-Jun-17,10:13:55,1,1,0,RedAmber,D
1638,03-Jun-17,10:13:56,1,1,0,RedAmber,D
1639,03-Jun-17,10:13:56,1,1,0,RedAmber,D
1640,03-Jun-17,10:13:56,1,1,0,RedAmber,D
1641,03-Jun-17,10:13:56,1,1,0,RedAmber,D
1932,03-Jun-17,10:14:55,1,1,0,RedAmber,D
1933,03-Jun-17,10:14:55,1,1,0,RedAmber,D
1934,03-Jun-17,10:14:55,1,1,0,RedAmber,D
1935,03-Jun-17,10:14:55,1,1,0,RedAmber,D
1936,03-Jun-17,10:14:56,1,1,0,RedAmber,D
1937,03-Jun-17,10:14:56,1,1,0,RedAmber,D
1938,03-Jun-17,10:14:56,1,1,0,RedAmber,D
1939,03-Jun-17,10:14:56,1,1,0,RedAmber,D
1940,03-Jun-17,10:14:56,1,1,0,RedAmber,D
1941,03-Jun-17,10:14:57,1,1,0,RedAmber,D
2232,03-Jun-17,10:15:54,1,1,0,RedAmber,D
2233,03-Jun-17,10:15:55,1,1,0,RedAmber,D
2234,03-Jun-17,10:15:55,1,1,0,RedAmber,D
2235,03-Jun-17,10:15:55,1,1,0,RedAmber,D
2236,03-Jun-17,10:15:55,1,1,0,RedAmber,D
2237,03-Jun-17,10:15:56,1,1,0,RedAmber,D
2238,03-Jun-17,10:15:56,1,1,0,RedAmber,D
2239,03-Jun-17,10:15:56,1,1,0,RedAmber,D
2240,03-Jun-17,10:15:56,1,1,0,RedAmber,D
2241,03-Jun-17,10:15:56,1,1,0,RedAmber,D
2532,03-Jun-17,10:16:54,1,1,0,RedAmber,D
2533,03-Jun-17,10:16:54,1,1,0,RedAmber,D
2534,03-Jun-17,10:16:55,1,1,0,RedAmber,D
2535,03-Jun-17,10:16:55,1,1,0,RedAmber,D
2536,03-Jun-17,10:16:55,1,1,0,RedAmber,D
2537,03-Jun-17,10:16:55,1,1,0,RedAmber,D
2538,03-Jun-17,10:16:56,1,1,0,RedAmber,D
2539,03-Jun-17,10:16:56,1,1,0,RedAmber,D
2540,03-Jun-17,10:16:56,1,1,0,RedAmber,D
2541,03-Jun-17,10:16:56,1,1,0,RedAmber,D
2832,03-Jun-17,10:17:54,1,1,0,RedAmber,D
2833,03-Jun-17,10:17:54,1,1,0,RedAmber,D
2834,03-Jun-17,10:17:55,1,1,0,RedAmber,D
2835,03-Jun-17,10:17:55,1,1,0,RedAmber,D
2836,03-Jun-17,10:17:55,1,1,0,RedAmber,D
2837,03-Jun-17,10:17:55,1,1,0,RedAmber,D
2838,03-Jun-17,10:17:56,1,1,0,RedAmber,D
2839,03-Jun-17,10:17:56,1,1,0,RedAmber,D
2840,03-Jun-17,10:17:56,1,1,0,RedAmber,D
2841,03-Jun-17,10:17:56,1,1,0,RedAmber,D
