,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
42,03-Jun-17,10:08:36,1,0,0,Red,D
43,03-Jun-17,10:08:37,1,0,0,Red,D
44,03-Jun-17,10:08:37,1,0,0,Red,D
45,03-Jun-17,10:08:37,1,0,0,Red,D
46,03-Jun-17,10:08:37,1,0,0,Red,D
47,03-Jun-17,10:08:37,1,0,0,Red,D
48,03-Jun-17,10:08:37,1,0,0,Red,D
49,03-Jun-17,10:08:38,1,0,0,Red,D
50,03-Jun-17,10:08:38,1,0,0,Red,D
51,03-Jun-17,10:08:38,1,0,0,Red,D
52,03-Jun-17,10:08:38,1,0,0,Red,D
53,03-Jun-17,10:08:39,1,0,0,Red,D
54,03-Jun-17,10:08:39,1,0,0,Red,D
55,03-Jun-17,10:08:39,1,0,0,Red,D
56,03-Jun-17,10:08:39,1,0,0,Red,D
57,03-Jun-17,10:08:39,1,0,0,Red,D
58,03-Jun-17,10:08:40,1,0,0,Red,D
59,03-Jun-17,10:08:40,1,0,0,Red,D
60,03-Jun-17,10:08:40,1,0,0,Red,D
61,03-Jun-17,10:08:40,1,0,0,Red,D
62,03-Jun-17,10:08:40,1,0,0,Red,D
63,03-Jun-17,10:08:40,1,0,0,Red,D
64,03-Jun-17,10:08:41,1,0,0,Red,D
65,03-Jun-17,10:08:41,1,0,0,Red,D
66,03-Jun-17,10:08:41,1,0,0,Red,D
67,03-Jun-17,10:08:41,1,0,0,Red,D
68,03-Jun-17,10:08:42,1,0,0,Red,D
69,03-Jun-17,10:08:42,1,0,0,Red,D
70,03-Jun-17,10:08:42,1,0,0,Red,D
71,03-Jun-17,10:08:42,1,0,0,Red,D
72,03-Jun-17,10:08:42,1,0,0,Red,D
73,03-Jun-17,10:08:42,1,0,0,Red,D
74,03-Jun-17,10:08:43,1,0,0,Red,D
75,03-Jun-17,10:08:43,1,0,0,Red,D
76,03-Jun-17,10:08:43,1,0,0,Red,D
77,03-Jun-17,10:08:43,1,0,0,Red,D
78,03-Jun-17,10:08:44,1,0,0,Red,D
79,03-Jun-17,10:08:44,1,0,0,Red,D
80,03-Jun-17,10:08:44,1,0,0,Red,D
81,03-Jun-17,10:08:44,1,0,0,Red,D
82,03-Jun-17,10:08:44,1,0,0,Red,D
83,03-Jun-17,10:08:45,1,0,0,Red,D
84,03-Jun-17,10:08:45,1,0,0,Red,D
85,03-Jun-17,10:08:45,1,0,0,Red,D
86,03-Jun-17,10:08:45,1,0,0,Red,D
87,03-Jun-17,10:08:45,1,0,0,Red,D
88,03-Jun-17,10:08:45,1,0,0,Red,D
89,03-Jun-17,10:08:46,1,0,0,Red,D
90,03-Jun-17,10:08:46,1,0,0,Red,D
91,03-Jun-17,10:08:46,1,0,0,Red,D
92,03-Jun-17,10:08:46,1,0,0,Red,D
93,03-Jun-17,10:08:47,1,0,0,Red,D
94,03-Jun-17,10:08:47,1,0,0,Red,D
95,03-Jun-17,10:08:47,1,0,0,Red,D
96,03-Jun-17,10:08:47,1,0,0,Red,D
97,03-Jun-17,10:08:47,1,0,0,Red,D
98,03-Jun-17,10:08:48,1,0,0,Red,D
99,03-Jun-17,10:08:48,1,0,0,Red,D
100,03-Jun-17,10:08:48,1,0,0,Red,D
101,03-Jun-17,10:08:48,1,0,0,Red,D
102,03-Jun-17,10:08:48,1,0,0,Red,D
103,03-Jun-17,10:08:48,1,0,0,Red,D
104,03-Jun-17,10:08:49,1,0,0,Red,D
105,03-Jun-17,10:08:49,1,0,0,Red,D
106,03-Jun-17,10:08:49,1,0,0,Red,D
107,03-Jun-17,10:08:49,1,0,0,Red,D
108,03-Jun-17,10:08:50,1,0,0,Red,D
109,03-Jun-17,10:08:50,1,0,0,Red,D
110,03-Jun-17,10:08:50,1,0,0,Red,D
111,03-Jun-17,10:08:50,1,0,0,Red,D
112,03-Jun-17,10:08:50,1,0,0,Red,D
113,03-Jun-17,10:08:50,1,0,0,Red,D
114,03-Jun-17,10:08:51,1,0,0,Red,D
115,03-Jun-17,10:08:51,1,0,0,Red,D
116,03-Jun-17,10:08:51,1,0,0,Red,D
117,03-Jun-17,10:08:51,1,0,0,Red,D
118,03-Jun-17,10:08:51,1,0,0,Red,D
119,03-Jun-17,10:08:52,1,0,0,Red,D
120,03-Jun-17,10:08:52,1,0,0,Red,D
121,03-Jun-17,10:08:52,1,0,0,Red,D
122,03-Jun-17,10:08:52,1,0,0,Red,D
123,03-Jun-17,10:08:53,1,0,0,Red,D
124,03-Jun-17,10:08:53,1,0,0,Red,D
125,03-Jun-17,10:08:53,1,0,0,Red,D
126,03-Jun-17,10:08:53,1,0,0,Red,D
127,03-Jun-17,10:08:53,1,0,0,Red,D
128,03-Jun-17,10:08:54,1,0,0,Red,D
129,03-Jun-17,10:08:54,1,0,0,Red,D
130,03-Jun-17,10:08:54,1,0,0,Red,D
131,03-Jun-17,10:08:54,1,0,0,Red,D
132,03-Jun-17,10:08:55,1,0,0,Red,D
133,03-Jun-17,10:08:55,1,0,0,Red,D
134,03-Jun-17,10:08:55,1,0,0,Red,D
135,03-Jun-17,10:08:55,1,0,0,Red,D
136,03-Jun-17,10:08:55,1,0,0,Red,D
137,03-Jun-17,10:08:55,1,0,0,Red,D
138,03-Jun-17,10:08:55,1,0,0,Red,D
139,03-Jun-17,10:08:56,1,0,0,Red,D
140,03-Jun-17,10:08:56,1,0,0,Red,D
141,03-Jun-17,10:08:56,1,0,0,Red,D
142,03-Jun-17,10:08:56,1,0,0,Red,D
143,03-Jun-17,10:08:57,1,0,0,Red,D
144,03-Jun-17,10:08:57,1,0,0,Red,D
145,03-Jun-17,10:08:57,1,0,0,Red,D
146,03-Jun-17,10:08:57,1,0,0,Red,D
147,03-Jun-17,10:08:57,1,0,0,Red,D
148,03-Jun-17,10:08:58,1,0,0,Red,D
149,03-Jun-17,10:08:58,1,0,0,Red,D
150,03-Jun-17,10:08:58,1,0,0,Red,D
151,03-Jun-17,10:08:58,1,0,0,Red,D
152,03-Jun-17,10:08:59,1,0,0,Red,D
153,03-Jun-17,10:08:59,1,0,0,Red,D
154,03-Jun-17,10:08:59,1,0,0,Red,D
155,03-Jun-17,10:08:59,1,0,0,Red,D
156,03-Jun-17,10:08:59,1,0,0,Red,D
157,03-Jun-17,10:08:59,1,0,0,Red,D
158,03-Jun-17,10:08:59,1,0,0,Red,D
159,03-Jun-17,10:09:00,1,0,0,Red,D
160,03-Jun-17,10:09:00,1,0,0,Red,D
161,03-Jun-17,10:09:00,1,0,0,Red,D
162,03-Jun-17,10:09:00,1,0,0,Red,D
163,03-Jun-17,10:09:01,1,0,0,Red,D
164,03-Jun-17,10:09:01,1,0,0,Red,D
165,03-Jun-17,10:09:01,1,0,0,Red,D
166,03-Jun-17,10:09:01,1,0,0,Red,D
167,03-Jun-17,10:09:01,1,0,0,Red,D
168,03-Jun-17,10:09:02,1,0,0,Red,D
169,03-Jun-17,10:09:02,1,0,0,Red,D
170,03-Jun-17,10:09:02,1,0,0,Red,D
171,03-Jun-17,10:09:02,1,0,0,Red,D
172,03-Jun-17,10:09:03,1,0,0,Red,D
173,03-Jun-17,10:09:03,1,0,0,Red,D
174,03-Jun-17,10:09:03,1,0,0,Red,D
175,03-Jun-17,10:09:03,1,0,0,Red,D
176,03-Jun-17,10:09:03,1,0,0,Red,D
177,03-Jun-17,10:09:03,1,0,0,Red,D
178,03-Jun-17,10:09:03,1,0,0,Red,D
179,03-Jun-17,10:09:04,1,0,0,Red,D
180,03-Jun-17,10:09:04,1,0,0,Red,D
181,03-Jun-17,10:09:04,1,0,0,Red,D
182,03-Jun-17,10:09:04,1,0,0,Red,D
183,03-Jun-17,10:09:04,1,0,0,Red,D
184,03-Jun-17,10:09:05,1,0,0,Red,D
185,03-Jun-17,10:09:05,1,0,0,Red,D
186,03-Jun-17,10:09:05,1,0,0,Red,D
187,03-Jun-17,10:09:05,1,0,0,Red,D
188,03-Jun-17,10:09:06,1,0,0,Red,D
189,03-Jun-17,10:09:06,1,0,0,Red,D
190,03-Jun-17,10:09:06,1,0,0,Red,D
191,03-Jun-17,10:09:06,1,0,0,Red,D
192,03-Jun-17,10:09:06,1,0,0,Red,D
193,03-Jun-17,10:09:06,1,0,0,Red,D
194,03-Jun-17,10:09:07,1,0,0,Red,D
195,03-Jun-17,10:09:07,1,0,0,Red,D
196,03-Jun-17,10:09:07,1,0,0,Red,D
197,03-Jun-17,10:09:07,1,0,0,Red,D
198,03-Jun-17,10:09:08,1,0,0,Red,D
199,03-Jun-17,10:09:08,1,0,0,Red,D
200,03-Jun-17,10:09:08,1,0,0,Red,D
201,03-Jun-17,10:09:08,1,0,0,Red,D
202,03-Jun-17,10:09:08,1,0,0,Red,D
203,03-Jun-17,10:09:09,1,0,0,Red,D
204,03-Jun-17,10:09:09,1,0,0,Red,D
205,03-Jun-17,10:09:09,1,0,0,Red,D
206,03-Jun-17,10:09:09,1,0,0,Red,D
207,03-Jun-17,10:09:09,1,0,0,Red,D
208,03-Jun-17,10:09:09,1,0,0,Red,D
209,03-Jun-17,10:09:10,1,0,0,Red,D
210,03-Jun-17,10:09:10,1,0,0,Red,D
211,03-Jun-17,10:09:10,1,0,0,Red,D
212,03-Jun-17,10:09:10,1,0,0,Red,D
213,03-Jun-17,10:09:10,1,0,0,Red,D
214,03-Jun-17,10:09:11,1,0,0,Red,D
215,03-Jun-17,10:09:11,1,0,0,Red,D
216,03-Jun-17,10:09:11,1,0,0,Red,D
217,03-Jun-17,10:09:11,1,0,0,Red,D
218,03-Jun-17,10:09:12,1,0,0,Red,D
219,03-Jun-17,10:09:12,1,0,0,Red,D
220,03-Jun-17,10:09:12,1,0,0,Red,D
221,03-Jun-17,10:09:12,1,0,0,Red,D
222,03-Jun-17,10:09:12,1,0,0,Red,D
223,03-Jun-17,10:09:13,1,0,0,Red,D
224,03-Jun-17,10:09:13,1,0,0,Red,D
225,03-Jun-17,10:09:13,1,0,0,Red,D
226,03-Jun-17,10:09:13,1,0,0,Red,D
227,03-Jun-17,10:09:13,1,0,0,Red,D
228,03-Jun-17,10:09:13,1,0,0,Red,D
229,03-Jun-17,10:09:14,1,0,0,Red,D
230,03-Jun-17,10:09:14,1,0,0,Red,D
231,03-Jun-17,10:09:14,1,0,0,Red,D
232,03-Jun-17,10:09:14,1,0,0,Red,D
233,03-Jun-17,10:09:15,1,0,0,Red,D
234,03-Jun-17,10:09:15,1,0,0,Red,D
235,03-Jun-17,10:09:15,1,0,0,Red,D
236,03-Jun-17,10:09:15,1,0,0,Red,D
237,03-Jun-17,10:09:15,1,0,0,Red,D
238,03-Jun-17,10:09:16,1,0,0,Red,D
239,03-Jun-17,10:09:16,1,0,0,Red,D
240,03-Jun-17,10:09:16,1,0,0,Red,D
241,03-Jun-17,10:09:16,1,0,0,Red,D
242,03-Jun-17,10:09:17,1,0,0,Red,D
243,03-Jun-17,10:09:17,1,0,0,Red,D
244,03-Jun-17,10:09:17,1,0,0,Red,D
245,03-Jun-17,10:09:17,1,0,0,Red,D
246,03-Jun-17,10:09:17,1,0,0,Red,D
247,03-Jun-17,10:09:17,1,0,0,Red,D
248,03-Jun-17,10:09:17,1,0,0,Red,D
249,03-Jun-17,10:09:18,1,0,0,Red,D
250,03-Jun-17,10:09:18,1,0,0,Red,D
251,03-Jun-17,10:09:18,1,0,0,Red,D
252,03-Jun-17,10:09:18,1,0,0,Red,D
253,03-Jun-17,10:09:19,1,0,0,Red,D
254,03-Jun-17,10:09:19,1,0,0,Red,D
255,03-Jun-17,10:09:19,1,0,0,Red,D
256,03-Jun-17,10:09:19,1,0,0,Red,D
257,03-Jun-17,10:09:19,1,0,0,Red,D
258,03-Jun-17,10:09:20,1,0,0,Red,D
259,03-Jun-17,10:09:20,1,0,0,Red,D
260,03-Jun-17,10:09:20,1,0,0,Red,D
261,03-Jun-17,10:09:20,1,0,0,Red,D
262,03-Jun-17,10:09:21,1,0,0,Red,D
263,03-Jun-17,10:09:21,1,0,0,Red,D
264,03-Jun-17,10:09:21,1,0,0,Red,D
265,03-Jun-17,10:09:21,1,0,0,Red,D
266,03-Jun-17,10:09:21,1,0,0,Red,D
267,03-Jun-17,10:09:21,1,0,0,Red,D
268,03-Jun-17,10:09:21,1,0,0,Red,D
269,03-Jun-17,10:09:22,1,0,0,Red,D
270,03-Jun-17,10:09:22,1,0,0,Red,D
271,03-Jun-17,10:09:22,1,0,0,Red,D
272,03-Jun-17,10:09:22,1,0,0,Red,D
273,03-Jun-17,10:09:22,1,0,0,Red,D
274,03-Jun-17,10:09:23,1,0,0,Red,D
275,03-Jun-17,10:09:23,1,0,0,Red,D
276,03-Jun-17,10:09:23,1,0,0,Red,D
277,03-Jun-17,10:09:23,1,0,0,Red,D
278,03-Jun-17,10:09:24,1,0,0,Red,D
279,03-Jun-17,10:09:24,1,0,0,Red,D
280,03-Jun-17,10:09:24,1,0,0,Red,D
281,03-Jun-17,10:09:24,1,0,0,Red,D
282,03-Jun-17,10:09:25,1,0,0,Red,D
283,03-Jun-17,10:09:25,1,0,0,Red,D
284,03-Jun-17,10:09:25,1,0,0,Red,D
285,03-Jun-17,10:09:25,1,0,0,Red,D
286,03-Jun-17,10:09:25,1,0,0,Red,D
287,03-Jun-17,10:09:25,1,0,0,Red,D
288,03-Jun-17,10:09:25,1,0,0,Red,D
289,03-Jun-17,10:09:26,1,0,0,Red,D
290,03-Jun-17,10:09:26,1,0,0,Red,D
291,03-Jun-17,10:09:26,1,0,0,Red,D
292,03-Jun-17,10:09:26,1,0,0,Red,D
293,03-Jun-17,10:09:27,1,0,0,Red,D
294,03-Jun-17,10:09:27,1,0,0,Red,D
295,03-Jun-17,10:09:27,1,0,0,Red,D
296,03-Jun-17,10:09:27,1,0,0,Red,D
297,03-Jun-17,10:09:28,1,0,0,Red,D
298,03-Jun-17,10:09:28,1,0,0,Red,D
299,03-Jun-17,10:09:28,1,0,0,Red,D
300,03-Jun-17,10:09:28,1,0,0,Red,D
301,03-Jun-17,10:09:28,1,0,0,Red,D
302,03-Jun-17,10:09:28,1,0,0,Red,D
303,03-Jun-17,10:09:28,1,0,0,Red,D
304,03-Jun-17,10:09:29,1,0,0,Red,D
305,03-Jun-17,10:09:29,1,0,0,Red,D
306,03-Jun-17,10:09:29,1,0,0,Red,D
307,03-Jun-17,10:09:29,1,0,0,Red,D
308,03-Jun-17,10:09:30,1,0,0,Red,D
309,03-Jun-17,10:09:30,1,0,0,Red,D
310,03-Jun-17,10:09:30,1,0,0,Red,D
311,03-Jun-17,10:09:30,1,0,0,Red,D
377,03-Jun-17,10:09:43,1,0,0,Red,D
378,03-Jun-17,10:09:43,1,0,0,Red,D
379,03-Jun-17,10:09:44,1,0,0,Red,D
380,03-Jun-17,10:09:44,1,0,0,Red,D
381,03-Jun-17,10:09:44,1,0,0,Red,D
382,03-Jun-17,10:09:44,1,0,0,Red,D
383,03-Jun-17,10:09:45,1,0,0,Red,D
384,03-Jun-17,10:09:45,1,0,0,Red,D
385,03-Jun-17,10:09:45,1,0,0,Red,D
