,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,Green,E
403,03-Jun-17,10:09:48,0,0,1,Green,E
404,03-Jun-17,10:09:49,0,0,1,Green,E
405,03-Jun-17,10:09:49,0,0,1,Green,E
406,03-Jun-17,10:09:49,0,0,1,Green,E
407,03-Jun-17,10:09:49,0,0,1,Green,E
408,03-Jun-17,10:09:50,0,0,1,Green,E
409,03-Jun-17,10:09:50,0,0,1,Green,E
410,03-Jun-17,10:09:50,0,0,1,Green,E
411,03-Jun-17,10:09:50,0,0,1,Green,E
412,03-Jun-17,10:09:50,0,0,1,Green,E
413,03-Jun-17,10:09:50,0,0,1,Green,E
414,03-Jun-17,10:09:51,0,0,1,Green,E
415,03-Jun-17,10:09:51,0,0,1,Green,E
416,03-Jun-17,10:09:51,0,0,1,Green,E
417,03-Jun-17,10:09:51,0,0,1,Green,E
418,03-Jun-17,10:09:52,0,0,1,Green,E
419,03-Jun-17,10:09:52,0,0,1,Green,E
420,03-Jun-17,10:09:52,0,0,1,Green,E
421,03-Jun-17,10:09:52,0,0,1,Green,E
422,03-Jun-17,10:09:53,0,0,1,Green,E
423,03-Jun-17,10:09:53,0,0,1,Green,E
424,03-Jun-17,10:09:53,0,0,1,Green,E
425,03-Jun-17,10:09:53,0,0,1,Green,E
426,03-Jun-17,10:09:53,0,0,1,Green,E
427,03-Jun-17,10:09:53,0,0,1,Green,E
428,03-Jun-17,10:09:53,0,0,1,Green,E
429,03-Jun-17,10:09:54,0,0,1,Green,E
430,03-Jun-17,10:09:54,0,0,1,Green,E
431,03-Jun-17,10:09:54,0,0,1,Green,E
