,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,RedAmber,E
28,03-Jun-17,10:08:34,1,1,0,RedAmber,E
29,03-Jun-17,10:08:34,1,1,0,RedAmber,E
30,03-Jun-17,10:08:34,1,1,0,RedAmber,E
31,03-Jun-17,10:08:34,1,1,0,RedAmber,E
32,03-Jun-17,10:08:34,1,1,0,RedAmber,E
33,03-Jun-17,10:08:34,1,1,0,RedAmber,E
34,03-Jun-17,10:08:35,1,1,0,RedAmber,E
35,03-Jun-17,10:08:35,1,1,0,RedAmber,E
36,03-Jun-17,10:08:35,1,1,0,RedAmber,E
37,03-Jun-17,10:08:35,1,1,0,RedAmber,E
38,03-Jun-17,10:08:35,1,1,0,RedAmber,E
39,03-Jun-17,10:08:36,1,1,0,RedAmber,E
40,03-Jun-17,10:08:36,1,1,0,RedAmber,E
41,03-Jun-17,10:08:36,1,1,0,RedAmber,E
42,03-Jun-17,10:08:36,1,1,0,RedAmber,E
43,03-Jun-17,10:08:37,1,1,0,RedAmber,E
44,03-Jun-17,10:08:37,1,1,0,RedAmber,E
45,03-Jun-17,10:08:37,1,1,0,RedAmber,E
46,03-Jun-17,10:08:37,1,1,0,RedAmber,E
47,03-Jun-17,10:08:37,1,1,0,RedAmber,E
48,03-Jun-17,10:08:37,1,1,0,RedAmber,E
49,03-Jun-17,10:08:38,1,1,0,RedAmber,E
50,03-Jun-17,10:08:38,1,1,0,RedAmber,E
51,03-Jun-17,10:08:38,1,1,0,RedAmber,E
52,03-Jun-17,10:08:38,1,1,0,RedAmber,E
53,03-Jun-17,10:08:39,1,1,0,RedAmber,E
54,03-Jun-17,10:08:39,1,1,0,RedAmber,E
55,03-Jun-17,10:08:39,1,1,0,RedAmber,E
56,03-Jun-17,10:08:39,1,1,0,RedAmber,E
57,03-Jun-17,10:08:39,1,1,0,RedAmber,E
58,03-Jun-17,10:08:40,1,1,0,RedAmber,E
59,03-Jun-17,10:08:40,1,1,0,RedAmber,E
60,03-Jun-17,10:08:40,1,1,0,RedAmber,E
61,03-Jun-17,10:08:40,1,1,0,RedAmber,E
62,03-Jun-17,10:08:40,1,1,0,RedAmber,E
63,03-Jun-17,10:08:40,1,1,0,RedAmber,E
64,03-Jun-17,10:08:41,1,1,0,RedAmber,E
65,03-Jun-17,10:08:41,1,1,0,RedAmber,E
66,03-Jun-17,10:08:41,1,1,0,RedAmber,E
67,03-Jun-17,10:08:41,1,1,0,RedAmber,E
68,03-Jun-17,10:08:42,1,1,0,RedAmber,E
69,03-Jun-17,10:08:42,1,1,0,RedAmber,E
70,03-Jun-17,10:08:42,1,1,0,RedAmber,E
71,03-Jun-17,10:08:42,1,1,0,RedAmber,E
72,03-Jun-17,10:08:42,1,1,0,RedAmber,E
73,03-Jun-17,10:08:42,1,1,0,RedAmber,E
74,03-Jun-17,10:08:43,1,1,0,RedAmber,E
75,03-Jun-17,10:08:43,1,1,0,RedAmber,E
76,03-Jun-17,10:08:43,1,1,0,RedAmber,E
77,03-Jun-17,10:08:43,1,1,0,RedAmber,E
78,03-Jun-17,10:08:44,1,1,0,RedAmber,E
79,03-Jun-17,10:08:44,1,1,0,RedAmber,E
80,03-Jun-17,10:08:44,1,1,0,RedAmber,E
81,03-Jun-17,10:08:44,1,1,0,RedAmber,E
82,03-Jun-17,10:08:44,1,1,0,RedAmber,E
83,03-Jun-17,10:08:45,1,1,0,RedAmber,E
84,03-Jun-17,10:08:45,1,1,0,RedAmber,E
85,03-Jun-17,10:08:45,1,1,0,RedAmber,E
86,03-Jun-17,10:08:45,1,1,0,RedAmber,E
87,03-Jun-17,10:08:45,1,1,0,RedAmber,E
88,03-Jun-17,10:08:45,1,1,0,RedAmber,E
89,03-Jun-17,10:08:46,1,1,0,RedAmber,E
90,03-Jun-17,10:08:46,1,1,0,RedAmber,E
91,03-Jun-17,10:08:46,1,1,0,RedAmber,E
92,03-Jun-17,10:08:46,1,1,0,RedAmber,E
93,03-Jun-17,10:08:47,1,1,0,RedAmber,E
94,03-Jun-17,10:08:47,1,1,0,RedAmber,E
95,03-Jun-17,10:08:47,1,1,0,RedAmber,E
96,03-Jun-17,10:08:47,1,1,0,RedAmber,E
97,03-Jun-17,10:08:47,1,1,0,RedAmber,E
98,03-Jun-17,10:08:48,1,1,0,RedAmber,E
99,03-Jun-17,10:08:48,1,1,0,RedAmber,E
100,03-Jun-17,10:08:48,1,1,0,RedAmber,E
101,03-Jun-17,10:08:48,1,1,0,RedAmber,E
102,03-Jun-17,10:08:48,1,1,0,RedAmber,E
103,03-Jun-17,10:08:48,1,1,0,RedAmber,E
104,03-Jun-17,10:08:49,1,1,0,RedAmber,E
105,03-Jun-17,10:08:49,1,1,0,RedAmber,E
106,03-Jun-17,10:08:49,1,1,0,RedAmber,E
107,03-Jun-17,10:08:49,1,1,0,RedAmber,E
108,03-Jun-17,10:08:50,1,1,0,RedAmber,E
109,03-Jun-17,10:08:50,1,1,0,RedAmber,E
110,03-Jun-17,10:08:50,1,1,0,RedAmber,E
111,03-Jun-17,10:08:50,1,1,0,RedAmber,E
112,03-Jun-17,10:08:50,1,1,0,RedAmber,E
113,03-Jun-17,10:08:50,1,1,0,RedAmber,E
114,03-Jun-17,10:08:51,1,1,0,RedAmber,E
115,03-Jun-17,10:08:51,1,1,0,RedAmber,E
116,03-Jun-17,10:08:51,1,1,0,RedAmber,E
117,03-Jun-17,10:08:51,1,1,0,RedAmber,E
118,03-Jun-17,10:08:51,1,1,0,RedAmber,E
119,03-Jun-17,10:08:52,1,1,0,RedAmber,E
120,03-Jun-17,10:08:52,1,1,0,RedAmber,E
121,03-Jun-17,10:08:52,1,1,0,RedAmber,E
122,03-Jun-17,10:08:52,1,1,0,RedAmber,E
123,03-Jun-17,10:08:53,1,1,0,RedAmber,E
124,03-Jun-17,10:08:53,1,1,0,RedAmber,E
125,03-Jun-17,10:08:53,1,1,0,RedAmber,E
126,03-Jun-17,10:08:53,1,1,0,RedAmber,E
127,03-Jun-17,10:08:53,1,1,0,RedAmber,E
128,03-Jun-17,10:08:54,1,1,0,RedAmber,E
129,03-Jun-17,10:08:54,1,1,0,RedAmber,E
130,03-Jun-17,10:08:54,1,1,0,RedAmber,E
131,03-Jun-17,10:08:54,1,1,0,RedAmber,E
132,03-Jun-17,10:08:55,1,1,0,RedAmber,E
133,03-Jun-17,10:08:55,1,1,0,RedAmber,E
134,03-Jun-17,10:08:55,1,1,0,RedAmber,E
135,03-Jun-17,10:08:55,1,1,0,RedAmber,E
136,03-Jun-17,10:08:55,1,1,0,RedAmber,E
137,03-Jun-17,10:08:55,1,1,0,RedAmber,E
138,03-Jun-17,10:08:55,1,1,0,RedAmber,E
139,03-Jun-17,10:08:56,1,1,0,RedAmber,E
140,03-Jun-17,10:08:56,1,1,0,RedAmber,E
141,03-Jun-17,10:08:56,1,1,0,RedAmber,E
142,03-Jun-17,10:08:56,1,1,0,RedAmber,E
143,03-Jun-17,10:08:57,1,1,0,RedAmber,E
144,03-Jun-17,10:08:57,1,1,0,RedAmber,E
145,03-Jun-17,10:08:57,1,1,0,RedAmber,E
146,03-Jun-17,10:08:57,1,1,0,RedAmber,E
147,03-Jun-17,10:08:57,1,1,0,RedAmber,E
148,03-Jun-17,10:08:58,1,1,0,RedAmber,E
149,03-Jun-17,10:08:58,1,1,0,RedAmber,E
150,03-Jun-17,10:08:58,1,1,0,RedAmber,E
151,03-Jun-17,10:08:58,1,1,0,RedAmber,E
152,03-Jun-17,10:08:59,1,1,0,RedAmber,E
153,03-Jun-17,10:08:59,1,1,0,RedAmber,E
154,03-Jun-17,10:08:59,1,1,0,RedAmber,E
155,03-Jun-17,10:08:59,1,1,0,RedAmber,E
156,03-Jun-17,10:08:59,1,1,0,RedAmber,E
157,03-Jun-17,10:08:59,1,1,0,RedAmber,E
158,03-Jun-17,10:08:59,1,1,0,RedAmber,E
159,03-Jun-17,10:09:00,1,1,0,RedAmber,E
160,03-Jun-17,10:09:00,1,1,0,RedAmber,E
161,03-Jun-17,10:09:00,1,1,0,RedAmber,E
162,03-Jun-17,10:09:00,1,1,0,RedAmber,E
163,03-Jun-17,10:09:01,1,1,0,RedAmber,E
164,03-Jun-17,10:09:01,1,1,0,RedAmber,E
165,03-Jun-17,10:09:01,1,1,0,RedAmber,E
166,03-Jun-17,10:09:01,1,1,0,RedAmber,E
167,03-Jun-17,10:09:01,1,1,0,RedAmber,E
168,03-Jun-17,10:09:02,1,1,0,RedAmber,E
169,03-Jun-17,10:09:02,1,1,0,RedAmber,E
170,03-Jun-17,10:09:02,1,1,0,RedAmber,E
171,03-Jun-17,10:09:02,1,1,0,RedAmber,E
172,03-Jun-17,10:09:03,1,1,0,RedAmber,E
173,03-Jun-17,10:09:03,1,1,0,RedAmber,E
174,03-Jun-17,10:09:03,1,1,0,RedAmber,E
175,03-Jun-17,10:09:03,1,1,0,RedAmber,E
176,03-Jun-17,10:09:03,1,1,0,RedAmber,E
177,03-Jun-17,10:09:03,1,1,0,RedAmber,E
178,03-Jun-17,10:09:03,1,1,0,RedAmber,E
179,03-Jun-17,10:09:04,1,1,0,RedAmber,E
180,03-Jun-17,10:09:04,1,1,0,RedAmber,E
181,03-Jun-17,10:09:04,1,1,0,RedAmber,E
182,03-Jun-17,10:09:04,1,1,0,RedAmber,E
183,03-Jun-17,10:09:04,1,1,0,RedAmber,E
184,03-Jun-17,10:09:05,1,1,0,RedAmber,E
185,03-Jun-17,10:09:05,1,1,0,RedAmber,E
186,03-Jun-17,10:09:05,1,1,0,RedAmber,E
187,03-Jun-17,10:09:05,1,1,0,RedAmber,E
188,03-Jun-17,10:09:06,1,1,0,RedAmber,E
189,03-Jun-17,10:09:06,1,1,0,RedAmber,E
190,03-Jun-17,10:09:06,1,1,0,RedAmber,E
191,03-Jun-17,10:09:06,1,1,0,RedAmber,E
192,03-Jun-17,10:09:06,1,1,0,RedAmber,E
193,03-Jun-17,10:09:06,1,1,0,RedAmber,E
194,03-Jun-17,10:09:07,1,1,0,RedAmber,E
195,03-Jun-17,10:09:07,1,1,0,RedAmber,E
196,03-Jun-17,10:09:07,1,1,0,RedAmber,E
197,03-Jun-17,10:09:07,1,1,0,RedAmber,E
198,03-Jun-17,10:09:08,1,1,0,RedAmber,E
199,03-Jun-17,10:09:08,1,1,0,RedAmber,E
200,03-Jun-17,10:09:08,1,1,0,RedAmber,E
201,03-Jun-17,10:09:08,1,1,0,RedAmber,E
202,03-Jun-17,10:09:08,1,1,0,RedAmber,E
203,03-Jun-17,10:09:09,1,1,0,RedAmber,E
204,03-Jun-17,10:09:09,1,1,0,RedAmber,E
205,03-Jun-17,10:09:09,1,1,0,RedAmber,E
206,03-Jun-17,10:09:09,1,1,0,RedAmber,E
207,03-Jun-17,10:09:09,1,1,0,RedAmber,E
208,03-Jun-17,10:09:09,1,1,0,RedAmber,E
209,03-Jun-17,10:09:10,1,1,0,RedAmber,E
210,03-Jun-17,10:09:10,1,1,0,RedAmber,E
211,03-Jun-17,10:09:10,1,1,0,RedAmber,E
212,03-Jun-17,10:09:10,1,1,0,RedAmber,E
213,03-Jun-17,10:09:10,1,1,0,RedAmber,E
214,03-Jun-17,10:09:11,1,1,0,RedAmber,E
215,03-Jun-17,10:09:11,1,1,0,RedAmber,E
216,03-Jun-17,10:09:11,1,1,0,RedAmber,E
217,03-Jun-17,10:09:11,1,1,0,RedAmber,E
218,03-Jun-17,10:09:12,1,1,0,RedAmber,E
219,03-Jun-17,10:09:12,1,1,0,RedAmber,E
220,03-Jun-17,10:09:12,1,1,0,RedAmber,E
221,03-Jun-17,10:09:12,1,1,0,RedAmber,E
222,03-Jun-17,10:09:12,1,1,0,RedAmber,E
223,03-Jun-17,10:09:13,1,1,0,RedAmber,E
224,03-Jun-17,10:09:13,1,1,0,RedAmber,E
225,03-Jun-17,10:09:13,1,1,0,RedAmber,E
226,03-Jun-17,10:09:13,1,1,0,RedAmber,E
227,03-Jun-17,10:09:13,1,1,0,RedAmber,E
228,03-Jun-17,10:09:13,1,1,0,RedAmber,E
229,03-Jun-17,10:09:14,1,1,0,RedAmber,E
230,03-Jun-17,10:09:14,1,1,0,RedAmber,E
231,03-Jun-17,10:09:14,1,1,0,RedAmber,E
232,03-Jun-17,10:09:14,1,1,0,RedAmber,E
233,03-Jun-17,10:09:15,1,1,0,RedAmber,E
234,03-Jun-17,10:09:15,1,1,0,RedAmber,E
235,03-Jun-17,10:09:15,1,1,0,RedAmber,E
236,03-Jun-17,10:09:15,1,1,0,RedAmber,E
237,03-Jun-17,10:09:15,1,1,0,RedAmber,E
238,03-Jun-17,10:09:16,1,1,0,RedAmber,E
239,03-Jun-17,10:09:16,1,1,0,RedAmber,E
240,03-Jun-17,10:09:16,1,1,0,RedAmber,E
241,03-Jun-17,10:09:16,1,1,0,RedAmber,E
242,03-Jun-17,10:09:17,1,1,0,RedAmber,E
243,03-Jun-17,10:09:17,1,1,0,RedAmber,E
244,03-Jun-17,10:09:17,1,1,0,RedAmber,E
245,03-Jun-17,10:09:17,1,1,0,RedAmber,E
246,03-Jun-17,10:09:17,1,1,0,RedAmber,E
247,03-Jun-17,10:09:17,1,1,0,RedAmber,E
248,03-Jun-17,10:09:17,1,1,0,RedAmber,E
249,03-Jun-17,10:09:18,1,1,0,RedAmber,E
250,03-Jun-17,10:09:18,1,1,0,RedAmber,E
251,03-Jun-17,10:09:18,1,1,0,RedAmber,E
252,03-Jun-17,10:09:18,1,1,0,RedAmber,E
253,03-Jun-17,10:09:19,1,1,0,RedAmber,E
254,03-Jun-17,10:09:19,1,1,0,RedAmber,E
255,03-Jun-17,10:09:19,1,1,0,RedAmber,E
256,03-Jun-17,10:09:19,1,1,0,RedAmber,E
257,03-Jun-17,10:09:19,1,1,0,RedAmber,E
258,03-Jun-17,10:09:20,1,1,0,RedAmber,E
259,03-Jun-17,10:09:20,1,1,0,RedAmber,E
260,03-Jun-17,10:09:20,1,1,0,RedAmber,E
261,03-Jun-17,10:09:20,1,1,0,RedAmber,E
262,03-Jun-17,10:09:21,1,1,0,RedAmber,E
