,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
432,03-Jun-17,10:09:54,1,0,0,Red,E
433,03-Jun-17,10:09:54,1,0,0,Red,E
434,03-Jun-17,10:09:55,1,0,0,Red,E
435,03-Jun-17,10:09:55,1,0,0,Red,E
436,03-Jun-17,10:09:55,1,0,0,Red,E
437,03-Jun-17,10:09:55,1,0,0,Red,E
438,03-Jun-17,10:09:56,1,0,0,Red,E
439,03-Jun-17,10:09:56,1,0,0,Red,E
440,03-Jun-17,10:09:56,1,0,0,Red,E
441,03-Jun-17,10:09:56,1,0,0,Red,E
442,03-Jun-17,10:09:56,1,0,0,Red,E
443,03-Jun-17,10:09:57,1,0,0,Red,E
444,03-Jun-17,10:09:57,1,0,0,Red,E
445,03-Jun-17,10:09:57,1,0,0,Red,E
446,03-Jun-17,10:09:57,1,0,0,Red,E
447,03-Jun-17,10:09:58,1,0,0,Red,E
448,03-Jun-17,10:09:58,1,0,0,Red,E
449,03-Jun-17,10:09:58,1,0,0,Red,E
450,03-Jun-17,10:09:58,1,0,0,Red,E
451,03-Jun-17,10:09:58,1,0,0,Red,E
452,03-Jun-17,10:09:58,1,0,0,Red,E
453,03-Jun-17,10:09:58,1,0,0,Red,E
454,03-Jun-17,10:09:59,1,0,0,Red,E
455,03-Jun-17,10:09:59,1,0,0,Red,E
456,03-Jun-17,10:09:59,1,0,0,Red,E
457,03-Jun-17,10:09:59,1,0,0,Red,E
458,03-Jun-17,10:10:00,1,0,0,Red,E
459,03-Jun-17,10:10:00,1,0,0,Red,E
460,03-Jun-17,10:10:00,1,0,0,Red,E
461,03-Jun-17,10:10:00,1,0,0,Red,E
462,03-Jun-17,10:10:00,1,0,0,Red,E
463,03-Jun-17,10:10:01,1,0,0,Red,E
464,03-Jun-17,10:10:01,1,0,0,Red,E
465,03-Jun-17,10:10:01,1,0,0,Red,E
466,03-Jun-17,10:10:01,1,0,0,Red,E
467,03-Jun-17,10:10:01,1,0,0,Red,E
468,03-Jun-17,10:10:01,1,0,0,Red,E
469,03-Jun-17,10:10:02,1,0,0,Red,E
470,03-Jun-17,10:10:02,1,0,0,Red,E
471,03-Jun-17,10:10:02,1,0,0,Red,E
472,03-Jun-17,10:10:02,1,0,0,Red,E
473,03-Jun-17,10:10:03,1,0,0,Red,E
474,03-Jun-17,10:10:03,1,0,0,Red,E
475,03-Jun-17,10:10:03,1,0,0,Red,E
476,03-Jun-17,10:10:03,1,0,0,Red,E
477,03-Jun-17,10:10:03,1,0,0,Red,E
478,03-Jun-17,10:10:03,1,0,0,Red,E
479,03-Jun-17,10:10:04,1,0,0,Red,E
480,03-Jun-17,10:10:04,1,0,0,Red,E
481,03-Jun-17,10:10:04,1,0,0,Red,E
482,03-Jun-17,10:10:04,1,0,0,Red,E
483,03-Jun-17,10:10:04,1,0,0,Red,E
484,03-Jun-17,10:10:05,1,0,0,Red,E
485,03-Jun-17,10:10:05,1,0,0,Red,E
486,03-Jun-17,10:10:05,1,0,0,Red,E
487,03-Jun-17,10:10:05,1,0,0,Red,E
488,03-Jun-17,10:10:06,1,0,0,Red,E
489,03-Jun-17,10:10:06,1,0,0,Red,E
490,03-Jun-17,10:10:06,1,0,0,Red,E
491,03-Jun-17,10:10:06,1,0,0,Red,E
492,03-Jun-17,10:10:06,1,0,0,Red,E
493,03-Jun-17,10:10:06,1,0,0,Red,E
