,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,Green,F
403,03-Jun-17,10:09:48,0,0,1,Green,F
404,03-Jun-17,10:09:49,0,0,1,Green,F
405,03-Jun-17,10:09:49,0,0,1,Green,F
406,03-Jun-17,10:09:49,0,0,1,Green,F
407,03-Jun-17,10:09:49,0,0,1,Green,F
408,03-Jun-17,10:09:50,0,0,1,Green,F
409,03-Jun-17,10:09:50,0,0,1,Green,F
410,03-Jun-17,10:09:50,0,0,1,Green,F
411,03-Jun-17,10:09:50,0,0,1,Green,F
412,03-Jun-17,10:09:50,0,0,1,Green,F
413,03-Jun-17,10:09:50,0,0,1,Green,F
414,03-Jun-17,10:09:51,0,0,1,Green,F
415,03-Jun-17,10:09:51,0,0,1,Green,F
416,03-Jun-17,10:09:51,0,0,1,Green,F
417,03-Jun-17,10:09:51,0,0,1,Green,F
418,03-Jun-17,10:09:52,0,0,1,Green,F
419,03-Jun-17,10:09:52,0,0,1,Green,F
420,03-Jun-17,10:09:52,0,0,1,Green,F
421,03-Jun-17,10:09:52,0,0,1,Green,F
422,03-Jun-17,10:09:53,0,0,1,Green,F
423,03-Jun-17,10:09:53,0,0,1,Green,F
424,03-Jun-17,10:09:53,0,0,1,Green,F
425,03-Jun-17,10:09:53,0,0,1,Green,F
426,03-Jun-17,10:09:53,0,0,1,Green,F
427,03-Jun-17,10:09:53,0,0,1,Green,F
428,03-Jun-17,10:09:53,0,0,1,Green,F
429,03-Jun-17,10:09:54,0,0,1,Green,F
430,03-Jun-17,10:09:54,0,0,1,Green,F
431,03-Jun-17,10:09:54,0,0,1,Green,F
