,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,RedAmber,F
28,03-Jun-17,10:08:34,1,1,0,RedAmber,F
29,03-Jun-17,10:08:34,1,1,0,RedAmber,F
30,03-Jun-17,10:08:34,1,1,0,RedAmber,F
31,03-Jun-17,10:08:34,1,1,0,RedAmber,F
32,03-Jun-17,10:08:34,1,1,0,RedAmber,F
33,03-Jun-17,10:08:34,1,1,0,RedAmber,F
34,03-Jun-17,10:08:35,1,1,0,RedAmber,F
35,03-Jun-17,10:08:35,1,1,0,RedAmber,F
36,03-Jun-17,10:08:35,1,1,0,RedAmber,F
37,03-Jun-17,10:08:35,1,1,0,RedAmber,F
38,03-Jun-17,10:08:35,1,1,0,RedAmber,F
39,03-Jun-17,10:08:36,1,1,0,RedAmber,F
40,03-Jun-17,10:08:36,1,1,0,RedAmber,F
41,03-Jun-17,10:08:36,1,1,0,RedAmber,F
42,03-Jun-17,10:08:36,1,1,0,RedAmber,F
43,03-Jun-17,10:08:37,1,1,0,RedAmber,F
44,03-Jun-17,10:08:37,1,1,0,RedAmber,F
45,03-Jun-17,10:08:37,1,1,0,RedAmber,F
46,03-Jun-17,10:08:37,1,1,0,RedAmber,F
47,03-Jun-17,10:08:37,1,1,0,RedAmber,F
48,03-Jun-17,10:08:37,1,1,0,RedAmber,F
49,03-Jun-17,10:08:38,1,1,0,RedAmber,F
50,03-Jun-17,10:08:38,1,1,0,RedAmber,F
51,03-Jun-17,10:08:38,1,1,0,RedAmber,F
52,03-Jun-17,10:08:38,1,1,0,RedAmber,F
53,03-Jun-17,10:08:39,1,1,0,RedAmber,F
54,03-Jun-17,10:08:39,1,1,0,RedAmber,F
55,03-Jun-17,10:08:39,1,1,0,RedAmber,F
56,03-Jun-17,10:08:39,1,1,0,RedAmber,F
57,03-Jun-17,10:08:39,1,1,0,RedAmber,F
58,03-Jun-17,10:08:40,1,1,0,RedAmber,F
59,03-Jun-17,10:08:40,1,1,0,RedAmber,F
60,03-Jun-17,10:08:40,1,1,0,RedAmber,F
61,03-Jun-17,10:08:40,1,1,0,RedAmber,F
62,03-Jun-17,10:08:40,1,1,0,RedAmber,F
63,03-Jun-17,10:08:40,1,1,0,RedAmber,F
64,03-Jun-17,10:08:41,1,1,0,RedAmber,F
65,03-Jun-17,10:08:41,1,1,0,RedAmber,F
66,03-Jun-17,10:08:41,1,1,0,RedAmber,F
67,03-Jun-17,10:08:41,1,1,0,RedAmber,F
68,03-Jun-17,10:08:42,1,1,0,RedAmber,F
69,03-Jun-17,10:08:42,1,1,0,RedAmber,F
70,03-Jun-17,10:08:42,1,1,0,RedAmber,F
71,03-Jun-17,10:08:42,1,1,0,RedAmber,F
72,03-Jun-17,10:08:42,1,1,0,RedAmber,F
73,03-Jun-17,10:08:42,1,1,0,RedAmber,F
74,03-Jun-17,10:08:43,1,1,0,RedAmber,F
75,03-Jun-17,10:08:43,1,1,0,RedAmber,F
76,03-Jun-17,10:08:43,1,1,0,RedAmber,F
77,03-Jun-17,10:08:43,1,1,0,RedAmber,F
78,03-Jun-17,10:08:44,1,1,0,RedAmber,F
79,03-Jun-17,10:08:44,1,1,0,RedAmber,F
80,03-Jun-17,10:08:44,1,1,0,RedAmber,F
81,03-Jun-17,10:08:44,1,1,0,RedAmber,F
82,03-Jun-17,10:08:44,1,1,0,RedAmber,F
83,03-Jun-17,10:08:45,1,1,0,RedAmber,F
84,03-Jun-17,10:08:45,1,1,0,RedAmber,F
85,03-Jun-17,10:08:45,1,1,0,RedAmber,F
86,03-Jun-17,10:08:45,1,1,0,RedAmber,F
87,03-Jun-17,10:08:45,1,1,0,RedAmber,F
88,03-Jun-17,10:08:45,1,1,0,RedAmber,F
89,03-Jun-17,10:08:46,1,1,0,RedAmber,F
90,03-Jun-17,10:08:46,1,1,0,RedAmber,F
91,03-Jun-17,10:08:46,1,1,0,RedAmber,F
92,03-Jun-17,10:08:46,1,1,0,RedAmber,F
93,03-Jun-17,10:08:47,1,1,0,RedAmber,F
94,03-Jun-17,10:08:47,1,1,0,RedAmber,F
95,03-Jun-17,10:08:47,1,1,0,RedAmber,F
96,03-Jun-17,10:08:47,1,1,0,RedAmber,F
97,03-Jun-17,10:08:47,1,1,0,RedAmber,F
98,03-Jun-17,10:08:48,1,1,0,RedAmber,F
99,03-Jun-17,10:08:48,1,1,0,RedAmber,F
100,03-Jun-17,10:08:48,1,1,0,RedAmber,F
101,03-Jun-17,10:08:48,1,1,0,RedAmber,F
102,03-Jun-17,10:08:48,1,1,0,RedAmber,F
103,03-Jun-17,10:08:48,1,1,0,RedAmber,F
104,03-Jun-17,10:08:49,1,1,0,RedAmber,F
105,03-Jun-17,10:08:49,1,1,0,RedAmber,F
106,03-Jun-17,10:08:49,1,1,0,RedAmber,F
107,03-Jun-17,10:08:49,1,1,0,RedAmber,F
108,03-Jun-17,10:08:50,1,1,0,RedAmber,F
109,03-Jun-17,10:08:50,1,1,0,RedAmber,F
110,03-Jun-17,10:08:50,1,1,0,RedAmber,F
111,03-Jun-17,10:08:50,1,1,0,RedAmber,F
112,03-Jun-17,10:08:50,1,1,0,RedAmber,F
113,03-Jun-17,10:08:50,1,1,0,RedAmber,F
114,03-Jun-17,10:08:51,1,1,0,RedAmber,F
115,03-Jun-17,10:08:51,1,1,0,RedAmber,F
116,03-Jun-17,10:08:51,1,1,0,RedAmber,F
117,03-Jun-17,10:08:51,1,1,0,RedAmber,F
118,03-Jun-17,10:08:51,1,1,0,RedAmber,F
119,03-Jun-17,10:08:52,1,1,0,RedAmber,F
120,03-Jun-17,10:08:52,1,1,0,RedAmber,F
121,03-Jun-17,10:08:52,1,1,0,RedAmber,F
122,03-Jun-17,10:08:52,1,1,0,RedAmber,F
123,03-Jun-17,10:08:53,1,1,0,RedAmber,F
124,03-Jun-17,10:08:53,1,1,0,RedAmber,F
125,03-Jun-17,10:08:53,1,1,0,RedAmber,F
126,03-Jun-17,10:08:53,1,1,0,RedAmber,F
127,03-Jun-17,10:08:53,1,1,0,RedAmber,F
128,03-Jun-17,10:08:54,1,1,0,RedAmber,F
129,03-Jun-17,10:08:54,1,1,0,RedAmber,F
130,03-Jun-17,10:08:54,1,1,0,RedAmber,F
131,03-Jun-17,10:08:54,1,1,0,RedAmber,F
132,03-Jun-17,10:08:55,1,1,0,RedAmber,F
133,03-Jun-17,10:08:55,1,1,0,RedAmber,F
134,03-Jun-17,10:08:55,1,1,0,RedAmber,F
135,03-Jun-17,10:08:55,1,1,0,RedAmber,F
136,03-Jun-17,10:08:55,1,1,0,RedAmber,F
137,03-Jun-17,10:08:55,1,1,0,RedAmber,F
138,03-Jun-17,10:08:55,1,1,0,RedAmber,F
139,03-Jun-17,10:08:56,1,1,0,RedAmber,F
140,03-Jun-17,10:08:56,1,1,0,RedAmber,F
141,03-Jun-17,10:08:56,1,1,0,RedAmber,F
142,03-Jun-17,10:08:56,1,1,0,RedAmber,F
143,03-Jun-17,10:08:57,1,1,0,RedAmber,F
144,03-Jun-17,10:08:57,1,1,0,RedAmber,F
145,03-Jun-17,10:08:57,1,1,0,RedAmber,F
146,03-Jun-17,10:08:57,1,1,0,RedAmber,F
