,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
432,03-Jun-17,10:09:54,1,0,0,Red,F
433,03-Jun-17,10:09:54,1,0,0,Red,F
434,03-Jun-17,10:09:55,1,0,0,Red,F
435,03-Jun-17,10:09:55,1,0,0,Red,F
436,03-Jun-17,10:09:55,1,0,0,Red,F
437,03-Jun-17,10:09:55,1,0,0,Red,F
438,03-Jun-17,10:09:56,1,0,0,Red,F
439,03-Jun-17,10:09:56,1,0,0,Red,F
440,03-Jun-17,10:09:56,1,0,0,Red,F
441,03-Jun-17,10:09:56,1,0,0,Red,F
442,03-Jun-17,10:09:56,1,0,0,Red,F
443,03-Jun-17,10:09:57,1,0,0,Red,F
444,03-Jun-17,10:09:57,1,0,0,Red,F
445,03-Jun-17,10:09:57,1,0,0,Red,F
446,03-Jun-17,10:09:57,1,0,0,Red,F
447,03-Jun-17,10:09:58,1,0,0,Red,F
448,03-Jun-17,10:09:58,1,0,0,Red,F
449,03-Jun-17,10:09:58,1,0,0,Red,F
450,03-Jun-17,10:09:58,1,0,0,Red,F
451,03-Jun-17,10:09:58,1,0,0,Red,F
452,03-Jun-17,10:09:58,1,0,0,Red,F
453,03-Jun-17,10:09:58,1,0,0,Red,F
454,03-Jun-17,10:09:59,1,0,0,Red,F
455,03-Jun-17,10:09:59,1,0,0,Red,F
456,03-Jun-17,10:09:59,1,0,0,Red,F
457,03-Jun-17,10:09:59,1,0,0,Red,F
458,03-Jun-17,10:10:00,1,0,0,Red,F
459,03-Jun-17,10:10:00,1,0,0,Red,F
460,03-Jun-17,10:10:00,1,0,0,Red,F
461,03-Jun-17,10:10:00,1,0,0,Red,F
462,03-Jun-17,10:10:00,1,0,0,Red,F
463,03-Jun-17,10:10:01,1,0,0,Red,F
464,03-Jun-17,10:10:01,1,0,0,Red,F
465,03-Jun-17,10:10:01,1,0,0,Red,F
466,03-Jun-17,10:10:01,1,0,0,Red,F
467,03-Jun-17,10:10:01,1,0,0,Red,F
468,03-Jun-17,10:10:01,1,0,0,Red,F
469,03-Jun-17,10:10:02,1,0,0,Red,F
470,03-Jun-17,10:10:02,1,0,0,Red,F
471,03-Jun-17,10:10:02,1,0,0,Red,F
472,03-Jun-17,10:10:02,1,0,0,Red,F
473,03-Jun-17,10:10:03,1,0,0,Red,F
474,03-Jun-17,10:10:03,1,0,0,Red,F
475,03-Jun-17,10:10:03,1,0,0,Red,F
476,03-Jun-17,10:10:03,1,0,0,Red,F
477,03-Jun-17,10:10:03,1,0,0,Red,F
478,03-Jun-17,10:10:03,1,0,0,Red,F
479,03-Jun-17,10:10:04,1,0,0,Red,F
480,03-Jun-17,10:10:04,1,0,0,Red,F
481,03-Jun-17,10:10:04,1,0,0,Red,F
482,03-Jun-17,10:10:04,1,0,0,Red,F
483,03-Jun-17,10:10:04,1,0,0,Red,F
484,03-Jun-17,10:10:05,1,0,0,Red,F
485,03-Jun-17,10:10:05,1,0,0,Red,F
486,03-Jun-17,10:10:05,1,0,0,Red,F
487,03-Jun-17,10:10:05,1,0,0,Red,F
488,03-Jun-17,10:10:06,1,0,0,Red,F
489,03-Jun-17,10:10:06,1,0,0,Red,F
490,03-Jun-17,10:10:06,1,0,0,Red,F
491,03-Jun-17,10:10:06,1,0,0,Red,F
492,03-Jun-17,10:10:06,1,0,0,Red,F
493,03-Jun-17,10:10:06,1,0,0,Red,F
494,03-Jun-17,10:10:07,1,0,0,Red,F
495,03-Jun-17,10:10:07,1,0,0,Red,F
496,03-Jun-17,10:10:07,1,0,0,Red,F
497,03-Jun-17,10:10:07,1,0,0,Red,F
498,03-Jun-17,10:10:07,1,0,0,Red,F
499,03-Jun-17,10:10:08,1,0,0,Red,F
500,03-Jun-17,10:10:08,1,0,0,Red,F
501,03-Jun-17,10:10:08,1,0,0,Red,F
502,03-Jun-17,10:10:08,1,0,0,Red,F
503,03-Jun-17,10:10:08,1,0,0,Red,F
504,03-Jun-17,10:10:09,1,0,0,Red,F
505,03-Jun-17,10:10:09,1,0,0,Red,F
506,03-Jun-17,10:10:09,1,0,0,Red,F
507,03-Jun-17,10:10:09,1,0,0,Red,F
508,03-Jun-17,10:10:10,1,0,0,Red,F
509,03-Jun-17,10:10:10,1,0,0,Red,F
510,03-Jun-17,10:10:10,1,0,0,Red,F
511,03-Jun-17,10:10:10,1,0,0,Red,F
512,03-Jun-17,10:10:10,1,0,0,Red,F
513,03-Jun-17,10:10:11,1,0,0,Red,F
514,03-Jun-17,10:10:11,1,0,0,Red,F
515,03-Jun-17,10:10:11,1,0,0,Red,F
516,03-Jun-17,10:10:11,1,0,0,Red,F
517,03-Jun-17,10:10:11,1,0,0,Red,F
518,03-Jun-17,10:10:11,1,0,0,Red,F
519,03-Jun-17,10:10:12,1,0,0,Red,F
520,03-Jun-17,10:10:12,1,0,0,Red,F
521,03-Jun-17,10:10:12,1,0,0,Red,F
522,03-Jun-17,10:10:12,1,0,0,Red,F
523,03-Jun-17,10:10:13,1,0,0,Red,F
524,03-Jun-17,10:10:13,1,0,0,Red,F
525,03-Jun-17,10:10:13,1,0,0,Red,F
526,03-Jun-17,10:10:13,1,0,0,Red,F
527,03-Jun-17,10:10:13,1,0,0,Red,F
528,03-Jun-17,10:10:14,1,0,0,Red,F
529,03-Jun-17,10:10:14,1,0,0,Red,F
530,03-Jun-17,10:10:14,1,0,0,Red,F
531,03-Jun-17,10:10:14,1,0,0,Red,F
532,03-Jun-17,10:10:14,1,0,0,Red,F
533,03-Jun-17,10:10:14,1,0,0,Red,F
534,03-Jun-17,10:10:15,1,0,0,Red,F
535,03-Jun-17,10:10:15,1,0,0,Red,F
536,03-Jun-17,10:10:15,1,0,0,Red,F
537,03-Jun-17,10:10:15,1,0,0,Red,F
538,03-Jun-17,10:10:15,1,0,0,Red,F
539,03-Jun-17,10:10:16,1,0,0,Red,F
540,03-Jun-17,10:10:16,1,0,0,Red,F
541,03-Jun-17,10:10:16,1,0,0,Red,F
542,03-Jun-17,10:10:16,1,0,0,Red,F
543,03-Jun-17,10:10:17,1,0,0,Red,F
544,03-Jun-17,10:10:17,1,0,0,Red,F
545,03-Jun-17,10:10:17,1,0,0,Red,F
546,03-Jun-17,10:10:17,1,0,0,Red,F
547,03-Jun-17,10:10:17,1,0,0,Red,F
548,03-Jun-17,10:10:18,1,0,0,Red,F
549,03-Jun-17,10:10:18,1,0,0,Red,F
550,03-Jun-17,10:10:18,1,0,0,Red,F
551,03-Jun-17,10:10:18,1,0,0,Red,F
552,03-Jun-17,10:10:19,1,0,0,Red,F
553,03-Jun-17,10:10:19,1,0,0,Red,F
554,03-Jun-17,10:10:19,1,0,0,Red,F
555,03-Jun-17,10:10:19,1,0,0,Red,F
556,03-Jun-17,10:10:19,1,0,0,Red,F
557,03-Jun-17,10:10:19,1,0,0,Red,F
558,03-Jun-17,10:10:19,1,0,0,Red,F
559,03-Jun-17,10:10:20,1,0,0,Red,F
560,03-Jun-17,10:10:20,1,0,0,Red,F
561,03-Jun-17,10:10:20,1,0,0,Red,F
562,03-Jun-17,10:10:20,1,0,0,Red,F
563,03-Jun-17,10:10:21,1,0,0,Red,F
564,03-Jun-17,10:10:21,1,0,0,Red,F
565,03-Jun-17,10:10:21,1,0,0,Red,F
566,03-Jun-17,10:10:21,1,0,0,Red,F
567,03-Jun-17,10:10:21,1,0,0,Red,F
568,03-Jun-17,10:10:22,1,0,0,Red,F
569,03-Jun-17,10:10:22,1,0,0,Red,F
570,03-Jun-17,10:10:22,1,0,0,Red,F
571,03-Jun-17,10:10:22,1,0,0,Red,F
572,03-Jun-17,10:10:23,1,0,0,Red,F
573,03-Jun-17,10:10:23,1,0,0,Red,F
574,03-Jun-17,10:10:23,1,0,0,Red,F
575,03-Jun-17,10:10:23,1,0,0,Red,F
576,03-Jun-17,10:10:23,1,0,0,Red,F
577,03-Jun-17,10:10:23,1,0,0,Red,F
578,03-Jun-17,10:10:24,1,0,0,Red,F
579,03-Jun-17,10:10:24,1,0,0,Red,F
580,03-Jun-17,10:10:24,1,0,0,Red,F
581,03-Jun-17,10:10:24,1,0,0,Red,F
582,03-Jun-17,10:10:24,1,0,0,Red,F
583,03-Jun-17,10:10:25,1,0,0,Red,F
584,03-Jun-17,10:10:25,1,0,0,Red,F
585,03-Jun-17,10:10:25,1,0,0,Red,F
586,03-Jun-17,10:10:25,1,0,0,Red,F
587,03-Jun-17,10:10:25,1,0,0,Red,F
588,03-Jun-17,10:10:26,1,0,0,Red,F
589,03-Jun-17,10:10:26,1,0,0,Red,F
590,03-Jun-17,10:10:26,1,0,0,Red,F
591,03-Jun-17,10:10:26,1,0,0,Red,F
592,03-Jun-17,10:10:27,1,0,0,Red,F
593,03-Jun-17,10:10:27,1,0,0,Red,F
594,03-Jun-17,10:10:27,1,0,0,Red,F
595,03-Jun-17,10:10:27,1,0,0,Red,F
596,03-Jun-17,10:10:27,1,0,0,Red,F
597,03-Jun-17,10:10:27,1,0,0,Red,F
598,03-Jun-17,10:10:27,1,0,0,Red,F
599,03-Jun-17,10:10:28,1,0,0,Red,F
600,03-Jun-17,10:10:28,1,0,0,Red,F
601,03-Jun-17,10:10:28,1,0,0,Red,F
602,03-Jun-17,10:10:28,1,0,0,Red,F
603,03-Jun-17,10:10:28,1,0,0,Red,F
604,03-Jun-17,10:10:29,1,0,0,Red,F
605,03-Jun-17,10:10:29,1,0,0,Red,F
606,03-Jun-17,10:10:29,1,0,0,Red,F
607,03-Jun-17,10:10:29,1,0,0,Red,F
608,03-Jun-17,10:10:30,1,0,0,Red,F
609,03-Jun-17,10:10:30,1,0,0,Red,F
610,03-Jun-17,10:10:30,1,0,0,Red,F
611,03-Jun-17,10:10:30,1,0,0,Red,F
612,03-Jun-17,10:10:30,1,0,0,Red,F
613,03-Jun-17,10:10:31,1,0,0,Red,F
614,03-Jun-17,10:10:31,1,0,0,Red,F
615,03-Jun-17,10:10:31,1,0,0,Red,F
616,03-Jun-17,10:10:31,1,0,0,Red,F
617,03-Jun-17,10:10:31,1,0,0,Red,F
618,03-Jun-17,10:10:32,1,0,0,Red,F
619,03-Jun-17,10:10:32,1,0,0,Red,F
620,03-Jun-17,10:10:32,1,0,0,Red,F
621,03-Jun-17,10:10:32,1,0,0,Red,F
622,03-Jun-17,10:10:32,1,0,0,Red,F
