,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,Green,G
403,03-Jun-17,10:09:48,0,0,1,Green,G
404,03-Jun-17,10:09:49,0,0,1,Green,G
405,03-Jun-17,10:09:49,0,0,1,Green,G
406,03-Jun-17,10:09:49,0,0,1,Green,G
407,03-Jun-17,10:09:49,0,0,1,Green,G
408,03-Jun-17,10:09:50,0,0,1,Green,G
409,03-Jun-17,10:09:50,0,0,1,Green,G
410,03-Jun-17,10:09:50,0,0,1,Green,G
411,03-Jun-17,10:09:50,0,0,1,Green,G
412,03-Jun-17,10:09:50,0,0,1,Green,G
413,03-Jun-17,10:09:50,0,0,1,Green,G
414,03-Jun-17,10:09:51,0,0,1,Green,G
415,03-Jun-17,10:09:51,0,0,1,Green,G
416,03-Jun-17,10:09:51,0,0,1,Green,G
417,03-Jun-17,10:09:51,0,0,1,Green,G
418,03-Jun-17,10:09:52,0,0,1,Green,G
419,03-Jun-17,10:09:52,0,0,1,Green,G
420,03-Jun-17,10:09:52,0,0,1,Green,G
421,03-Jun-17,10:09:52,0,0,1,Green,G
422,03-Jun-17,10:09:53,0,0,1,Green,G
423,03-Jun-17,10:09:53,0,0,1,Green,G
424,03-Jun-17,10:09:53,0,0,1,Green,G
425,03-Jun-17,10:09:53,0,0,1,Green,G
426,03-Jun-17,10:09:53,0,0,1,Green,G
427,03-Jun-17,10:09:53,0,0,1,Green,G
428,03-Jun-17,10:09:53,0,0,1,Green,G
429,03-Jun-17,10:09:54,0,0,1,Green,G
430,03-Jun-17,10:09:54,0,0,1,Green,G
431,03-Jun-17,10:09:54,0,0,1,Green,G
