,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,RedAmber,G
28,03-Jun-17,10:08:34,1,1,0,RedAmber,G
29,03-Jun-17,10:08:34,1,1,0,RedAmber,G
30,03-Jun-17,10:08:34,1,1,0,RedAmber,G
31,03-Jun-17,10:08:34,1,1,0,RedAmber,G
32,03-Jun-17,10:08:34,1,1,0,RedAmber,G
33,03-Jun-17,10:08:34,1,1,0,RedAmber,G
34,03-Jun-17,10:08:35,1,1,0,RedAmber,G
35,03-Jun-17,10:08:35,1,1,0,RedAmber,G
36,03-Jun-17,10:08:35,1,1,0,RedAmber,G
37,03-Jun-17,10:08:35,1,1,0,RedAmber,G
38,03-Jun-17,10:08:35,1,1,0,RedAmber,G
39,03-Jun-17,10:08:36,1,1,0,RedAmber,G
40,03-Jun-17,10:08:36,1,1,0,RedAmber,G
41,03-Jun-17,10:08:36,1,1,0,RedAmber,G
42,03-Jun-17,10:08:36,1,1,0,RedAmber,G
43,03-Jun-17,10:08:37,1,1,0,RedAmber,G
44,03-Jun-17,10:08:37,1,1,0,RedAmber,G
45,03-Jun-17,10:08:37,1,1,0,RedAmber,G
46,03-Jun-17,10:08:37,1,1,0,RedAmber,G
47,03-Jun-17,10:08:37,1,1,0,RedAmber,G
48,03-Jun-17,10:08:37,1,1,0,RedAmber,G
49,03-Jun-17,10:08:38,1,1,0,RedAmber,G
50,03-Jun-17,10:08:38,1,1,0,RedAmber,G
51,03-Jun-17,10:08:38,1,1,0,RedAmber,G
52,03-Jun-17,10:08:38,1,1,0,RedAmber,G
53,03-Jun-17,10:08:39,1,1,0,RedAmber,G
54,03-Jun-17,10:08:39,1,1,0,RedAmber,G
55,03-Jun-17,10:08:39,1,1,0,RedAmber,G
56,03-Jun-17,10:08:39,1,1,0,RedAmber,G
57,03-Jun-17,10:08:39,1,1,0,RedAmber,G
58,03-Jun-17,10:08:40,1,1,0,RedAmber,G
59,03-Jun-17,10:08:40,1,1,0,RedAmber,G
60,03-Jun-17,10:08:40,1,1,0,RedAmber,G
61,03-Jun-17,10:08:40,1,1,0,RedAmber,G
62,03-Jun-17,10:08:40,1,1,0,RedAmber,G
63,03-Jun-17,10:08:40,1,1,0,RedAmber,G
64,03-Jun-17,10:08:41,1,1,0,RedAmber,G
65,03-Jun-17,10:08:41,1,1,0,RedAmber,G
66,03-Jun-17,10:08:41,1,1,0,RedAmber,G
67,03-Jun-17,10:08:41,1,1,0,RedAmber,G
68,03-Jun-17,10:08:42,1,1,0,RedAmber,G
69,03-Jun-17,10:08:42,1,1,0,RedAmber,G
70,03-Jun-17,10:08:42,1,1,0,RedAmber,G
71,03-Jun-17,10:08:42,1,1,0,RedAmber,G
72,03-Jun-17,10:08:42,1,1,0,RedAmber,G
73,03-Jun-17,10:08:42,1,1,0,RedAmber,G
74,03-Jun-17,10:08:43,1,1,0,RedAmber,G
75,03-Jun-17,10:08:43,1,1,0,RedAmber,G
76,03-Jun-17,10:08:43,1,1,0,RedAmber,G
77,03-Jun-17,10:08:43,1,1,0,RedAmber,G
78,03-Jun-17,10:08:44,1,1,0,RedAmber,G
79,03-Jun-17,10:08:44,1,1,0,RedAmber,G
80,03-Jun-17,10:08:44,1,1,0,RedAmber,G
81,03-Jun-17,10:08:44,1,1,0,RedAmber,G
82,03-Jun-17,10:08:44,1,1,0,RedAmber,G
83,03-Jun-17,10:08:45,1,1,0,RedAmber,G
84,03-Jun-17,10:08:45,1,1,0,RedAmber,G
85,03-Jun-17,10:08:45,1,1,0,RedAmber,G
86,03-Jun-17,10:08:45,1,1,0,RedAmber,G
87,03-Jun-17,10:08:45,1,1,0,RedAmber,G
88,03-Jun-17,10:08:45,1,1,0,RedAmber,G
89,03-Jun-17,10:08:46,1,1,0,RedAmber,G
90,03-Jun-17,10:08:46,1,1,0,RedAmber,G
91,03-Jun-17,10:08:46,1,1,0,RedAmber,G
92,03-Jun-17,10:08:46,1,1,0,RedAmber,G
93,03-Jun-17,10:08:47,1,1,0,RedAmber,G
94,03-Jun-17,10:08:47,1,1,0,RedAmber,G
95,03-Jun-17,10:08:47,1,1,0,RedAmber,G
96,03-Jun-17,10:08:47,1,1,0,RedAmber,G
97,03-Jun-17,10:08:47,1,1,0,RedAmber,G
98,03-Jun-17,10:08:48,1,1,0,RedAmber,G
99,03-Jun-17,10:08:48,1,1,0,RedAmber,G
100,03-Jun-17,10:08:48,1,1,0,RedAmber,G
101,03-Jun-17,10:08:48,1,1,0,RedAmber,G
102,03-Jun-17,10:08:48,1,1,0,RedAmber,G
103,03-Jun-17,10:08:48,1,1,0,RedAmber,G
104,03-Jun-17,10:08:49,1,1,0,RedAmber,G
105,03-Jun-17,10:08:49,1,1,0,RedAmber,G
106,03-Jun-17,10:08:49,1,1,0,RedAmber,G
107,03-Jun-17,10:08:49,1,1,0,RedAmber,G
108,03-Jun-17,10:08:50,1,1,0,RedAmber,G
109,03-Jun-17,10:08:50,1,1,0,RedAmber,G
110,03-Jun-17,10:08:50,1,1,0,RedAmber,G
111,03-Jun-17,10:08:50,1,1,0,RedAmber,G
112,03-Jun-17,10:08:50,1,1,0,RedAmber,G
113,03-Jun-17,10:08:50,1,1,0,RedAmber,G
114,03-Jun-17,10:08:51,1,1,0,RedAmber,G
115,03-Jun-17,10:08:51,1,1,0,RedAmber,G
116,03-Jun-17,10:08:51,1,1,0,RedAmber,G
117,03-Jun-17,10:08:51,1,1,0,RedAmber,G
118,03-Jun-17,10:08:51,1,1,0,RedAmber,G
119,03-Jun-17,10:08:52,1,1,0,RedAmber,G
120,03-Jun-17,10:08:52,1,1,0,RedAmber,G
121,03-Jun-17,10:08:52,1,1,0,RedAmber,G
122,03-Jun-17,10:08:52,1,1,0,RedAmber,G
123,03-Jun-17,10:08:53,1,1,0,RedAmber,G
124,03-Jun-17,10:08:53,1,1,0,RedAmber,G
125,03-Jun-17,10:08:53,1,1,0,RedAmber,G
126,03-Jun-17,10:08:53,1,1,0,RedAmber,G
127,03-Jun-17,10:08:53,1,1,0,RedAmber,G
128,03-Jun-17,10:08:54,1,1,0,RedAmber,G
129,03-Jun-17,10:08:54,1,1,0,RedAmber,G
130,03-Jun-17,10:08:54,1,1,0,RedAmber,G
131,03-Jun-17,10:08:54,1,1,0,RedAmber,G
132,03-Jun-17,10:08:55,1,1,0,RedAmber,G
133,03-Jun-17,10:08:55,1,1,0,RedAmber,G
134,03-Jun-17,10:08:55,1,1,0,RedAmber,G
135,03-Jun-17,10:08:55,1,1,0,RedAmber,G
136,03-Jun-17,10:08:55,1,1,0,RedAmber,G
137,03-Jun-17,10:08:55,1,1,0,RedAmber,G
138,03-Jun-17,10:08:55,1,1,0,RedAmber,G
139,03-Jun-17,10:08:56,1,1,0,RedAmber,G
140,03-Jun-17,10:08:56,1,1,0,RedAmber,G
141,03-Jun-17,10:08:56,1,1,0,RedAmber,G
142,03-Jun-17,10:08:56,1,1,0,RedAmber,G
143,03-Jun-17,10:08:57,1,1,0,RedAmber,G
144,03-Jun-17,10:08:57,1,1,0,RedAmber,G
145,03-Jun-17,10:08:57,1,1,0,RedAmber,G
146,03-Jun-17,10:08:57,1,1,0,RedAmber,G
147,03-Jun-17,10:08:57,1,1,0,RedAmber,G
148,03-Jun-17,10:08:58,1,1,0,RedAmber,G
149,03-Jun-17,10:08:58,1,1,0,RedAmber,G
150,03-Jun-17,10:08:58,1,1,0,RedAmber,G
151,03-Jun-17,10:08:58,1,1,0,RedAmber,G
152,03-Jun-17,10:08:59,1,1,0,RedAmber,G
153,03-Jun-17,10:08:59,1,1,0,RedAmber,G
154,03-Jun-17,10:08:59,1,1,0,RedAmber,G
155,03-Jun-17,10:08:59,1,1,0,RedAmber,G
156,03-Jun-17,10:08:59,1,1,0,RedAmber,G
157,03-Jun-17,10:08:59,1,1,0,RedAmber,G
158,03-Jun-17,10:08:59,1,1,0,RedAmber,G
159,03-Jun-17,10:09:00,1,1,0,RedAmber,G
160,03-Jun-17,10:09:00,1,1,0,RedAmber,G
161,03-Jun-17,10:09:00,1,1,0,RedAmber,G
162,03-Jun-17,10:09:00,1,1,0,RedAmber,G
163,03-Jun-17,10:09:01,1,1,0,RedAmber,G
164,03-Jun-17,10:09:01,1,1,0,RedAmber,G
165,03-Jun-17,10:09:01,1,1,0,RedAmber,G
166,03-Jun-17,10:09:01,1,1,0,RedAmber,G
167,03-Jun-17,10:09:01,1,1,0,RedAmber,G
168,03-Jun-17,10:09:02,1,1,0,RedAmber,G
169,03-Jun-17,10:09:02,1,1,0,RedAmber,G
170,03-Jun-17,10:09:02,1,1,0,RedAmber,G
171,03-Jun-17,10:09:02,1,1,0,RedAmber,G
172,03-Jun-17,10:09:03,1,1,0,RedAmber,G
173,03-Jun-17,10:09:03,1,1,0,RedAmber,G
174,03-Jun-17,10:09:03,1,1,0,RedAmber,G
175,03-Jun-17,10:09:03,1,1,0,RedAmber,G
176,03-Jun-17,10:09:03,1,1,0,RedAmber,G
177,03-Jun-17,10:09:03,1,1,0,RedAmber,G
178,03-Jun-17,10:09:03,1,1,0,RedAmber,G
179,03-Jun-17,10:09:04,1,1,0,RedAmber,G
180,03-Jun-17,10:09:04,1,1,0,RedAmber,G
181,03-Jun-17,10:09:04,1,1,0,RedAmber,G
182,03-Jun-17,10:09:04,1,1,0,RedAmber,G
183,03-Jun-17,10:09:04,1,1,0,RedAmber,G
184,03-Jun-17,10:09:05,1,1,0,RedAmber,G
185,03-Jun-17,10:09:05,1,1,0,RedAmber,G
186,03-Jun-17,10:09:05,1,1,0,RedAmber,G
187,03-Jun-17,10:09:05,1,1,0,RedAmber,G
188,03-Jun-17,10:09:06,1,1,0,RedAmber,G
189,03-Jun-17,10:09:06,1,1,0,RedAmber,G
190,03-Jun-17,10:09:06,1,1,0,RedAmber,G
191,03-Jun-17,10:09:06,1,1,0,RedAmber,G
192,03-Jun-17,10:09:06,1,1,0,RedAmber,G
193,03-Jun-17,10:09:06,1,1,0,RedAmber,G
194,03-Jun-17,10:09:07,1,1,0,RedAmber,G
195,03-Jun-17,10:09:07,1,1,0,RedAmber,G
196,03-Jun-17,10:09:07,1,1,0,RedAmber,G
197,03-Jun-17,10:09:07,1,1,0,RedAmber,G
198,03-Jun-17,10:09:08,1,1,0,RedAmber,G
199,03-Jun-17,10:09:08,1,1,0,RedAmber,G
