,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
432,03-Jun-17,10:09:54,1,0,0,Red,G
433,03-Jun-17,10:09:54,1,0,0,Red,G
434,03-Jun-17,10:09:55,1,0,0,Red,G
435,03-Jun-17,10:09:55,1,0,0,Red,G
436,03-Jun-17,10:09:55,1,0,0,Red,G
437,03-Jun-17,10:09:55,1,0,0,Red,G
438,03-Jun-17,10:09:56,1,0,0,Red,G
439,03-Jun-17,10:09:56,1,0,0,Red,G
440,03-Jun-17,10:09:56,1,0,0,Red,G
441,03-Jun-17,10:09:56,1,0,0,Red,G
442,03-Jun-17,10:09:56,1,0,0,Red,G
443,03-Jun-17,10:09:57,1,0,0,Red,G
444,03-Jun-17,10:09:57,1,0,0,Red,G
445,03-Jun-17,10:09:57,1,0,0,Red,G
446,03-Jun-17,10:09:57,1,0,0,Red,G
447,03-Jun-17,10:09:58,1,0,0,Red,G
448,03-Jun-17,10:09:58,1,0,0,Red,G
449,03-Jun-17,10:09:58,1,0,0,Red,G
450,03-Jun-17,10:09:58,1,0,0,Red,G
451,03-Jun-17,10:09:58,1,0,0,Red,G
452,03-Jun-17,10:09:58,1,0,0,Red,G
453,03-Jun-17,10:09:58,1,0,0,Red,G
454,03-Jun-17,10:09:59,1,0,0,Red,G
455,03-Jun-17,10:09:59,1,0,0,Red,G
456,03-Jun-17,10:09:59,1,0,0,Red,G
457,03-Jun-17,10:09:59,1,0,0,Red,G
458,03-Jun-17,10:10:00,1,0,0,Red,G
459,03-Jun-17,10:10:00,1,0,0,Red,G
460,03-Jun-17,10:10:00,1,0,0,Red,G
461,03-Jun-17,10:10:00,1,0,0,Red,G
462,03-Jun-17,10:10:00,1,0,0,Red,G
463,03-Jun-17,10:10:01,1,0,0,Red,G
464,03-Jun-17,10:10:01,1,0,0,Red,G
465,03-Jun-17,10:10:01,1,0,0,Red,G
466,03-Jun-17,10:10:01,1,0,0,Red,G
467,03-Jun-17,10:10:01,1,0,0,Red,G
468,03-Jun-17,10:10:01,1,0,0,Red,G
469,03-Jun-17,10:10:02,1,0,0,Red,G
470,03-Jun-17,10:10:02,1,0,0,Red,G
471,03-Jun-17,10:10:02,1,0,0,Red,G
472,03-Jun-17,10:10:02,1,0,0,Red,G
473,03-Jun-17,10:10:03,1,0,0,Red,G
474,03-Jun-17,10:10:03,1,0,0,Red,G
475,03-Jun-17,10:10:03,1,0,0,Red,G
476,03-Jun-17,10:10:03,1,0,0,Red,G
477,03-Jun-17,10:10:03,1,0,0,Red,G
478,03-Jun-17,10:10:03,1,0,0,Red,G
479,03-Jun-17,10:10:04,1,0,0,Red,G
480,03-Jun-17,10:10:04,1,0,0,Red,G
481,03-Jun-17,10:10:04,1,0,0,Red,G
482,03-Jun-17,10:10:04,1,0,0,Red,G
483,03-Jun-17,10:10:04,1,0,0,Red,G
484,03-Jun-17,10:10:05,1,0,0,Red,G
485,03-Jun-17,10:10:05,1,0,0,Red,G
486,03-Jun-17,10:10:05,1,0,0,Red,G
487,03-Jun-17,10:10:05,1,0,0,Red,G
488,03-Jun-17,10:10:06,1,0,0,Red,G
489,03-Jun-17,10:10:06,1,0,0,Red,G
490,03-Jun-17,10:10:06,1,0,0,Red,G
491,03-Jun-17,10:10:06,1,0,0,Red,G
492,03-Jun-17,10:10:06,1,0,0,Red,G
493,03-Jun-17,10:10:06,1,0,0,Red,G
494,03-Jun-17,10:10:07,1,0,0,Red,G
495,03-Jun-17,10:10:07,1,0,0,Red,G
496,03-Jun-17,10:10:07,1,0,0,Red,G
497,03-Jun-17,10:10:07,1,0,0,Red,G
498,03-Jun-17,10:10:07,1,0,0,Red,G
499,03-Jun-17,10:10:08,1,0,0,Red,G
500,03-Jun-17,10:10:08,1,0,0,Red,G
501,03-Jun-17,10:10:08,1,0,0,Red,G
502,03-Jun-17,10:10:08,1,0,0,Red,G
503,03-Jun-17,10:10:08,1,0,0,Red,G
504,03-Jun-17,10:10:09,1,0,0,Red,G
505,03-Jun-17,10:10:09,1,0,0,Red,G
506,03-Jun-17,10:10:09,1,0,0,Red,G
507,03-Jun-17,10:10:09,1,0,0,Red,G
508,03-Jun-17,10:10:10,1,0,0,Red,G
509,03-Jun-17,10:10:10,1,0,0,Red,G
510,03-Jun-17,10:10:10,1,0,0,Red,G
511,03-Jun-17,10:10:10,1,0,0,Red,G
512,03-Jun-17,10:10:10,1,0,0,Red,G
513,03-Jun-17,10:10:11,1,0,0,Red,G
514,03-Jun-17,10:10:11,1,0,0,Red,G
515,03-Jun-17,10:10:11,1,0,0,Red,G
516,03-Jun-17,10:10:11,1,0,0,Red,G
517,03-Jun-17,10:10:11,1,0,0,Red,G
518,03-Jun-17,10:10:11,1,0,0,Red,G
519,03-Jun-17,10:10:12,1,0,0,Red,G
520,03-Jun-17,10:10:12,1,0,0,Red,G
521,03-Jun-17,10:10:12,1,0,0,Red,G
522,03-Jun-17,10:10:12,1,0,0,Red,G
523,03-Jun-17,10:10:13,1,0,0,Red,G
524,03-Jun-17,10:10:13,1,0,0,Red,G
525,03-Jun-17,10:10:13,1,0,0,Red,G
526,03-Jun-17,10:10:13,1,0,0,Red,G
527,03-Jun-17,10:10:13,1,0,0,Red,G
528,03-Jun-17,10:10:14,1,0,0,Red,G
529,03-Jun-17,10:10:14,1,0,0,Red,G
530,03-Jun-17,10:10:14,1,0,0,Red,G
531,03-Jun-17,10:10:14,1,0,0,Red,G
532,03-Jun-17,10:10:14,1,0,0,Red,G
533,03-Jun-17,10:10:14,1,0,0,Red,G
534,03-Jun-17,10:10:15,1,0,0,Red,G
535,03-Jun-17,10:10:15,1,0,0,Red,G
536,03-Jun-17,10:10:15,1,0,0,Red,G
537,03-Jun-17,10:10:15,1,0,0,Red,G
538,03-Jun-17,10:10:15,1,0,0,Red,G
539,03-Jun-17,10:10:16,1,0,0,Red,G
540,03-Jun-17,10:10:16,1,0,0,Red,G
541,03-Jun-17,10:10:16,1,0,0,Red,G
542,03-Jun-17,10:10:16,1,0,0,Red,G
543,03-Jun-17,10:10:17,1,0,0,Red,G
544,03-Jun-17,10:10:17,1,0,0,Red,G
545,03-Jun-17,10:10:17,1,0,0,Red,G
546,03-Jun-17,10:10:17,1,0,0,Red,G
547,03-Jun-17,10:10:17,1,0,0,Red,G
548,03-Jun-17,10:10:18,1,0,0,Red,G
549,03-Jun-17,10:10:18,1,0,0,Red,G
550,03-Jun-17,10:10:18,1,0,0,Red,G
551,03-Jun-17,10:10:18,1,0,0,Red,G
552,03-Jun-17,10:10:19,1,0,0,Red,G
553,03-Jun-17,10:10:19,1,0,0,Red,G
554,03-Jun-17,10:10:19,1,0,0,Red,G
555,03-Jun-17,10:10:19,1,0,0,Red,G
556,03-Jun-17,10:10:19,1,0,0,Red,G
557,03-Jun-17,10:10:19,1,0,0,Red,G
558,03-Jun-17,10:10:19,1,0,0,Red,G
559,03-Jun-17,10:10:20,1,0,0,Red,G
560,03-Jun-17,10:10:20,1,0,0,Red,G
561,03-Jun-17,10:10:20,1,0,0,Red,G
562,03-Jun-17,10:10:20,1,0,0,Red,G
563,03-Jun-17,10:10:21,1,0,0,Red,G
564,03-Jun-17,10:10:21,1,0,0,Red,G
565,03-Jun-17,10:10:21,1,0,0,Red,G
566,03-Jun-17,10:10:21,1,0,0,Red,G
567,03-Jun-17,10:10:21,1,0,0,Red,G
568,03-Jun-17,10:10:22,1,0,0,Red,G
569,03-Jun-17,10:10:22,1,0,0,Red,G
570,03-Jun-17,10:10:22,1,0,0,Red,G
571,03-Jun-17,10:10:22,1,0,0,Red,G
572,03-Jun-17,10:10:23,1,0,0,Red,G
573,03-Jun-17,10:10:23,1,0,0,Red,G
574,03-Jun-17,10:10:23,1,0,0,Red,G
575,03-Jun-17,10:10:23,1,0,0,Red,G
576,03-Jun-17,10:10:23,1,0,0,Red,G
577,03-Jun-17,10:10:23,1,0,0,Red,G
578,03-Jun-17,10:10:24,1,0,0,Red,G
579,03-Jun-17,10:10:24,1,0,0,Red,G
580,03-Jun-17,10:10:24,1,0,0,Red,G
581,03-Jun-17,10:10:24,1,0,0,Red,G
582,03-Jun-17,10:10:24,1,0,0,Red,G
583,03-Jun-17,10:10:25,1,0,0,Red,G
584,03-Jun-17,10:10:25,1,0,0,Red,G
585,03-Jun-17,10:10:25,1,0,0,Red,G
586,03-Jun-17,10:10:25,1,0,0,Red,G
587,03-Jun-17,10:10:25,1,0,0,Red,G
588,03-Jun-17,10:10:26,1,0,0,Red,G
589,03-Jun-17,10:10:26,1,0,0,Red,G
590,03-Jun-17,10:10:26,1,0,0,Red,G
591,03-Jun-17,10:10:26,1,0,0,Red,G
592,03-Jun-17,10:10:27,1,0,0,Red,G
593,03-Jun-17,10:10:27,1,0,0,Red,G
594,03-Jun-17,10:10:27,1,0,0,Red,G
595,03-Jun-17,10:10:27,1,0,0,Red,G
596,03-Jun-17,10:10:27,1,0,0,Red,G
597,03-Jun-17,10:10:27,1,0,0,Red,G
598,03-Jun-17,10:10:27,1,0,0,Red,G
599,03-Jun-17,10:10:28,1,0,0,Red,G
600,03-Jun-17,10:10:28,1,0,0,Red,G
601,03-Jun-17,10:10:28,1,0,0,Red,G
602,03-Jun-17,10:10:28,1,0,0,Red,G
603,03-Jun-17,10:10:28,1,0,0,Red,G
604,03-Jun-17,10:10:29,1,0,0,Red,G
605,03-Jun-17,10:10:29,1,0,0,Red,G
606,03-Jun-17,10:10:29,1,0,0,Red,G
607,03-Jun-17,10:10:29,1,0,0,Red,G
608,03-Jun-17,10:10:30,1,0,0,Red,G
609,03-Jun-17,10:10:30,1,0,0,Red,G
610,03-Jun-17,10:10:30,1,0,0,Red,G
611,03-Jun-17,10:10:30,1,0,0,Red,G
612,03-Jun-17,10:10:30,1,0,0,Red,G
613,03-Jun-17,10:10:31,1,0,0,Red,G
614,03-Jun-17,10:10:31,1,0,0,Red,G
615,03-Jun-17,10:10:31,1,0,0,Red,G
616,03-Jun-17,10:10:31,1,0,0,Red,G
617,03-Jun-17,10:10:31,1,0,0,Red,G
618,03-Jun-17,10:10:32,1,0,0,Red,G
619,03-Jun-17,10:10:32,1,0,0,Red,G
620,03-Jun-17,10:10:32,1,0,0,Red,G
621,03-Jun-17,10:10:32,1,0,0,Red,G
622,03-Jun-17,10:10:32,1,0,0,Red,G
623,03-Jun-17,10:10:32,1,0,0,Red,G
624,03-Jun-17,10:10:33,1,0,0,Red,G
625,03-Jun-17,10:10:33,1,0,0,Red,G
626,03-Jun-17,10:10:33,1,0,0,Red,G
627,03-Jun-17,10:10:33,1,0,0,Red,G
628,03-Jun-17,10:10:34,1,0,0,Red,G
629,03-Jun-17,10:10:34,1,0,0,Red,G
630,03-Jun-17,10:10:34,1,0,0,Red,G
631,03-Jun-17,10:10:34,1,0,0,Red,G
632,03-Jun-17,10:10:34,1,0,0,Red,G
633,03-Jun-17,10:10:35,1,0,0,Red,G
634,03-Jun-17,10:10:35,1,0,0,Red,G
635,03-Jun-17,10:10:35,1,0,0,Red,G
636,03-Jun-17,10:10:35,1,0,0,Red,G
637,03-Jun-17,10:10:36,1,0,0,Red,G
638,03-Jun-17,10:10:36,1,0,0,Red,G
639,03-Jun-17,10:10:36,1,0,0,Red,G
640,03-Jun-17,10:10:36,1,0,0,Red,G
641,03-Jun-17,10:10:36,1,0,0,Red,G
642,03-Jun-17,10:10:36,1,0,0,Red,G
643,03-Jun-17,10:10:36,1,0,0,Red,G
644,03-Jun-17,10:10:37,1,0,0,Red,G
645,03-Jun-17,10:10:37,1,0,0,Red,G
646,03-Jun-17,10:10:37,1,0,0,Red,G
647,03-Jun-17,10:10:37,1,0,0,Red,G
648,03-Jun-17,10:10:38,1,0,0,Red,G
649,03-Jun-17,10:10:38,1,0,0,Red,G
650,03-Jun-17,10:10:38,1,0,0,Red,G
651,03-Jun-17,10:10:38,1,0,0,Red,G
652,03-Jun-17,10:10:38,1,0,0,Red,G
653,03-Jun-17,10:10:39,1,0,0,Red,G
654,03-Jun-17,10:10:39,1,0,0,Red,G
655,03-Jun-17,10:10:39,1,0,0,Red,G
656,03-Jun-17,10:10:39,1,0,0,Red,G
657,03-Jun-17,10:10:39,1,0,0,Red,G
658,03-Jun-17,10:10:39,1,0,0,Red,G
659,03-Jun-17,10:10:40,1,0,0,Red,G
660,03-Jun-17,10:10:40,1,0,0,Red,G
661,03-Jun-17,10:10:40,1,0,0,Red,G
662,03-Jun-17,10:10:40,1,0,0,Red,G
663,03-Jun-17,10:10:40,1,0,0,Red,G
664,03-Jun-17,10:10:41,1,0,0,Red,G
665,03-Jun-17,10:10:41,1,0,0,Red,G
666,03-Jun-17,10:10:41,1,0,0,Red,G
667,03-Jun-17,10:10:41,1,0,0,Red,G
668,03-Jun-17,10:10:42,1,0,0,Red,G
669,03-Jun-17,10:10:42,1,0,0,Red,G
670,03-Jun-17,10:10:42,1,0,0,Red,G
671,03-Jun-17,10:10:42,1,0,0,Red,G
672,03-Jun-17,10:10:43,1,0,0,Red,G
673,03-Jun-17,10:10:43,1,0,0,Red,G
674,03-Jun-17,10:10:43,1,0,0,Red,G
675,03-Jun-17,10:10:43,1,0,0,Red,G
676,03-Jun-17,10:10:43,1,0,0,Red,G
677,03-Jun-17,10:10:43,1,0,0,Red,G
678,03-Jun-17,10:10:43,1,0,0,Red,G
679,03-Jun-17,10:10:44,1,0,0,Red,G
680,03-Jun-17,10:10:44,1,0,0,Red,G
681,03-Jun-17,10:10:44,1,0,0,Red,G
682,03-Jun-17,10:10:44,1,0,0,Red,G
683,03-Jun-17,10:10:45,1,0,0,Red,G
684,03-Jun-17,10:10:45,1,0,0,Red,G
685,03-Jun-17,10:10:45,1,0,0,Red,G
686,03-Jun-17,10:10:45,1,0,0,Red,G
687,03-Jun-17,10:10:45,1,0,0,Red,G
688,03-Jun-17,10:10:46,1,0,0,Red,G
689,03-Jun-17,10:10:46,1,0,0,Red,G
690,03-Jun-17,10:10:46,1,0,0,Red,G
691,03-Jun-17,10:10:46,1,0,0,Red,G
692,03-Jun-17,10:10:46,1,0,0,Red,G
693,03-Jun-17,10:10:47,1,0,0,Red,G
694,03-Jun-17,10:10:47,1,0,0,Red,G
695,03-Jun-17,10:10:47,1,0,0,Red,G
696,03-Jun-17,10:10:47,1,0,0,Red,G
697,03-Jun-17,10:10:48,1,0,0,Red,G
698,03-Jun-17,10:10:48,1,0,0,Red,G
699,03-Jun-17,10:10:48,1,0,0,Red,G
700,03-Jun-17,10:10:48,1,0,0,Red,G
701,03-Jun-17,10:10:48,1,0,0,Red,G
702,03-Jun-17,10:10:48,1,0,0,Red,G
703,03-Jun-17,10:10:48,1,0,0,Red,G
704,03-Jun-17,10:10:49,1,0,0,Red,G
705,03-Jun-17,10:10:49,1,0,0,Red,G
706,03-Jun-17,10:10:49,1,0,0,Red,G
707,03-Jun-17,10:10:49,1,0,0,Red,G
708,03-Jun-17,10:10:50,1,0,0,Red,G
709,03-Jun-17,10:10:50,1,0,0,Red,G
710,03-Jun-17,10:10:50,1,0,0,Red,G
711,03-Jun-17,10:10:50,1,0,0,Red,G
712,03-Jun-17,10:10:50,1,0,0,Red,G
713,03-Jun-17,10:10:51,1,0,0,Red,G
714,03-Jun-17,10:10:51,1,0,0,Red,G
715,03-Jun-17,10:10:51,1,0,0,Red,G
716,03-Jun-17,10:10:51,1,0,0,Red,G
717,03-Jun-17,10:10:52,1,0,0,Red,G
718,03-Jun-17,10:10:52,1,0,0,Red,G
719,03-Jun-17,10:10:52,1,0,0,Red,G
