,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,RedAmber,H
28,03-Jun-17,10:08:34,1,1,0,RedAmber,H
29,03-Jun-17,10:08:34,1,1,0,RedAmber,H
30,03-Jun-17,10:08:34,1,1,0,RedAmber,H
31,03-Jun-17,10:08:34,1,1,0,RedAmber,H
32,03-Jun-17,10:08:34,1,1,0,RedAmber,H
33,03-Jun-17,10:08:34,1,1,0,RedAmber,H
34,03-Jun-17,10:08:35,1,1,0,RedAmber,H
35,03-Jun-17,10:08:35,1,1,0,RedAmber,H
36,03-Jun-17,10:08:35,1,1,0,RedAmber,H
37,03-Jun-17,10:08:35,1,1,0,RedAmber,H
38,03-Jun-17,10:08:35,1,1,0,RedAmber,H
39,03-Jun-17,10:08:36,1,1,0,RedAmber,H
40,03-Jun-17,10:08:36,1,1,0,RedAmber,H
41,03-Jun-17,10:08:36,1,1,0,RedAmber,H
42,03-Jun-17,10:08:36,1,1,0,RedAmber,H
43,03-Jun-17,10:08:37,1,1,0,RedAmber,H
44,03-Jun-17,10:08:37,1,1,0,RedAmber,H
45,03-Jun-17,10:08:37,1,1,0,RedAmber,H
46,03-Jun-17,10:08:37,1,1,0,RedAmber,H
47,03-Jun-17,10:08:37,1,1,0,RedAmber,H
48,03-Jun-17,10:08:37,1,1,0,RedAmber,H
49,03-Jun-17,10:08:38,1,1,0,RedAmber,H
50,03-Jun-17,10:08:38,1,1,0,RedAmber,H
51,03-Jun-17,10:08:38,1,1,0,RedAmber,H
52,03-Jun-17,10:08:38,1,1,0,RedAmber,H
53,03-Jun-17,10:08:39,1,1,0,RedAmber,H
54,03-Jun-17,10:08:39,1,1,0,RedAmber,H
55,03-Jun-17,10:08:39,1,1,0,RedAmber,H
56,03-Jun-17,10:08:39,1,1,0,RedAmber,H
57,03-Jun-17,10:08:39,1,1,0,RedAmber,H
58,03-Jun-17,10:08:40,1,1,0,RedAmber,H
59,03-Jun-17,10:08:40,1,1,0,RedAmber,H
60,03-Jun-17,10:08:40,1,1,0,RedAmber,H
61,03-Jun-17,10:08:40,1,1,0,RedAmber,H
62,03-Jun-17,10:08:40,1,1,0,RedAmber,H
63,03-Jun-17,10:08:40,1,1,0,RedAmber,H
64,03-Jun-17,10:08:41,1,1,0,RedAmber,H
65,03-Jun-17,10:08:41,1,1,0,RedAmber,H
66,03-Jun-17,10:08:41,1,1,0,RedAmber,H
67,03-Jun-17,10:08:41,1,1,0,RedAmber,H
68,03-Jun-17,10:08:42,1,1,0,RedAmber,H
69,03-Jun-17,10:08:42,1,1,0,RedAmber,H
70,03-Jun-17,10:08:42,1,1,0,RedAmber,H
71,03-Jun-17,10:08:42,1,1,0,RedAmber,H
72,03-Jun-17,10:08:42,1,1,0,RedAmber,H
73,03-Jun-17,10:08:42,1,1,0,RedAmber,H
74,03-Jun-17,10:08:43,1,1,0,RedAmber,H
75,03-Jun-17,10:08:43,1,1,0,RedAmber,H
76,03-Jun-17,10:08:43,1,1,0,RedAmber,H
77,03-Jun-17,10:08:43,1,1,0,RedAmber,H
78,03-Jun-17,10:08:44,1,1,0,RedAmber,H
79,03-Jun-17,10:08:44,1,1,0,RedAmber,H
80,03-Jun-17,10:08:44,1,1,0,RedAmber,H
81,03-Jun-17,10:08:44,1,1,0,RedAmber,H
82,03-Jun-17,10:08:44,1,1,0,RedAmber,H
83,03-Jun-17,10:08:45,1,1,0,RedAmber,H
84,03-Jun-17,10:08:45,1,1,0,RedAmber,H
