,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
432,03-Jun-17,10:09:54,1,0,0,Red,H
433,03-Jun-17,10:09:54,1,0,0,Red,H
434,03-Jun-17,10:09:55,1,0,0,Red,H
435,03-Jun-17,10:09:55,1,0,0,Red,H
436,03-Jun-17,10:09:55,1,0,0,Red,H
437,03-Jun-17,10:09:55,1,0,0,Red,H
438,03-Jun-17,10:09:56,1,0,0,Red,H
439,03-Jun-17,10:09:56,1,0,0,Red,H
440,03-Jun-17,10:09:56,1,0,0,Red,H
441,03-Jun-17,10:09:56,1,0,0,Red,H
442,03-Jun-17,10:09:56,1,0,0,Red,H
443,03-Jun-17,10:09:57,1,0,0,Red,H
444,03-Jun-17,10:09:57,1,0,0,Red,H
445,03-Jun-17,10:09:57,1,0,0,Red,H
446,03-Jun-17,10:09:57,1,0,0,Red,H
447,03-Jun-17,10:09:58,1,0,0,Red,H
448,03-Jun-17,10:09:58,1,0,0,Red,H
449,03-Jun-17,10:09:58,1,0,0,Red,H
450,03-Jun-17,10:09:58,1,0,0,Red,H
451,03-Jun-17,10:09:58,1,0,0,Red,H
452,03-Jun-17,10:09:58,1,0,0,Red,H
453,03-Jun-17,10:09:58,1,0,0,Red,H
454,03-Jun-17,10:09:59,1,0,0,Red,H
455,03-Jun-17,10:09:59,1,0,0,Red,H
456,03-Jun-17,10:09:59,1,0,0,Red,H
457,03-Jun-17,10:09:59,1,0,0,Red,H
458,03-Jun-17,10:10:00,1,0,0,Red,H
459,03-Jun-17,10:10:00,1,0,0,Red,H
460,03-Jun-17,10:10:00,1,0,0,Red,H
461,03-Jun-17,10:10:00,1,0,0,Red,H
462,03-Jun-17,10:10:00,1,0,0,Red,H
463,03-Jun-17,10:10:01,1,0,0,Red,H
464,03-Jun-17,10:10:01,1,0,0,Red,H
465,03-Jun-17,10:10:01,1,0,0,Red,H
466,03-Jun-17,10:10:01,1,0,0,Red,H
467,03-Jun-17,10:10:01,1,0,0,Red,H
468,03-Jun-17,10:10:01,1,0,0,Red,H
469,03-Jun-17,10:10:02,1,0,0,Red,H
470,03-Jun-17,10:10:02,1,0,0,Red,H
471,03-Jun-17,10:10:02,1,0,0,Red,H
472,03-Jun-17,10:10:02,1,0,0,Red,H
473,03-Jun-17,10:10:03,1,0,0,Red,H
474,03-Jun-17,10:10:03,1,0,0,Red,H
475,03-Jun-17,10:10:03,1,0,0,Red,H
476,03-Jun-17,10:10:03,1,0,0,Red,H
477,03-Jun-17,10:10:03,1,0,0,Red,H
478,03-Jun-17,10:10:03,1,0,0,Red,H
