,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,Green,I
403,03-Jun-17,10:09:48,0,0,1,Green,I
404,03-Jun-17,10:09:49,0,0,1,Green,I
405,03-Jun-17,10:09:49,0,0,1,Green,I
406,03-Jun-17,10:09:49,0,0,1,Green,I
407,03-Jun-17,10:09:49,0,0,1,Green,I
408,03-Jun-17,10:09:50,0,0,1,Green,I
409,03-Jun-17,10:09:50,0,0,1,Green,I
410,03-Jun-17,10:09:50,0,0,1,Green,I
411,03-Jun-17,10:09:50,0,0,1,Green,I
412,03-Jun-17,10:09:50,0,0,1,Green,I
413,03-Jun-17,10:09:50,0,0,1,Green,I
414,03-Jun-17,10:09:51,0,0,1,Green,I
415,03-Jun-17,10:09:51,0,0,1,Green,I
416,03-Jun-17,10:09:51,0,0,1,Green,I
417,03-Jun-17,10:09:51,0,0,1,Green,I
418,03-Jun-17,10:09:52,0,0,1,Green,I
419,03-Jun-17,10:09:52,0,0,1,Green,I
420,03-Jun-17,10:09:52,0,0,1,Green,I
421,03-Jun-17,10:09:52,0,0,1,Green,I
422,03-Jun-17,10:09:53,0,0,1,Green,I
423,03-Jun-17,10:09:53,0,0,1,Green,I
424,03-Jun-17,10:09:53,0,0,1,Green,I
425,03-Jun-17,10:09:53,0,0,1,Green,I
426,03-Jun-17,10:09:53,0,0,1,Green,I
427,03-Jun-17,10:09:53,0,0,1,Green,I
428,03-Jun-17,10:09:53,0,0,1,Green,I
429,03-Jun-17,10:09:54,0,0,1,Green,I
430,03-Jun-17,10:09:54,0,0,1,Green,I
431,03-Jun-17,10:09:54,0,0,1,Green,I
