,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
447,03-Jun-17,10:09:58,1,0,0,Red,I
448,03-Jun-17,10:09:58,1,0,0,Red,I
449,03-Jun-17,10:09:58,1,0,0,Red,I
450,03-Jun-17,10:09:58,1,0,0,Red,I
451,03-Jun-17,10:09:58,1,0,0,Red,I
452,03-Jun-17,10:09:58,1,0,0,Red,I
453,03-Jun-17,10:09:58,1,0,0,Red,I
454,03-Jun-17,10:09:59,1,0,0,Red,I
455,03-Jun-17,10:09:59,1,0,0,Red,I
456,03-Jun-17,10:09:59,1,0,0,Red,I
457,03-Jun-17,10:09:59,1,0,0,Red,I
458,03-Jun-17,10:10:00,1,0,0,Red,I
459,03-Jun-17,10:10:00,1,0,0,Red,I
460,03-Jun-17,10:10:00,1,0,0,Red,I
461,03-Jun-17,10:10:00,1,0,0,Red,I
462,03-Jun-17,10:10:00,1,0,0,Red,I
463,03-Jun-17,10:10:01,1,0,0,Red,I
464,03-Jun-17,10:10:01,1,0,0,Red,I
465,03-Jun-17,10:10:01,1,0,0,Red,I
466,03-Jun-17,10:10:01,1,0,0,Red,I
467,03-Jun-17,10:10:01,1,0,0,Red,I
468,03-Jun-17,10:10:01,1,0,0,Red,I
469,03-Jun-17,10:10:02,1,0,0,Red,I
470,03-Jun-17,10:10:02,1,0,0,Red,I
471,03-Jun-17,10:10:02,1,0,0,Red,I
472,03-Jun-17,10:10:02,1,0,0,Red,I
473,03-Jun-17,10:10:03,1,0,0,Red,I
474,03-Jun-17,10:10:03,1,0,0,Red,I
475,03-Jun-17,10:10:03,1,0,0,Red,I
476,03-Jun-17,10:10:03,1,0,0,Red,I
477,03-Jun-17,10:10:03,1,0,0,Red,I
478,03-Jun-17,10:10:03,1,0,0,Red,I
479,03-Jun-17,10:10:04,1,0,0,Red,I
480,03-Jun-17,10:10:04,1,0,0,Red,I
481,03-Jun-17,10:10:04,1,0,0,Red,I
482,03-Jun-17,10:10:04,1,0,0,Red,I
483,03-Jun-17,10:10:04,1,0,0,Red,I
484,03-Jun-17,10:10:05,1,0,0,Red,I
485,03-Jun-17,10:10:05,1,0,0,Red,I
486,03-Jun-17,10:10:05,1,0,0,Red,I
487,03-Jun-17,10:10:05,1,0,0,Red,I
488,03-Jun-17,10:10:06,1,0,0,Red,I
489,03-Jun-17,10:10:06,1,0,0,Red,I
490,03-Jun-17,10:10:06,1,0,0,Red,I
491,03-Jun-17,10:10:06,1,0,0,Red,I
492,03-Jun-17,10:10:06,1,0,0,Red,I
493,03-Jun-17,10:10:06,1,0,0,Red,I
494,03-Jun-17,10:10:07,1,0,0,Red,I
495,03-Jun-17,10:10:07,1,0,0,Red,I
496,03-Jun-17,10:10:07,1,0,0,Red,I
497,03-Jun-17,10:10:07,1,0,0,Red,I
498,03-Jun-17,10:10:07,1,0,0,Red,I
499,03-Jun-17,10:10:08,1,0,0,Red,I
500,03-Jun-17,10:10:08,1,0,0,Red,I
501,03-Jun-17,10:10:08,1,0,0,Red,I
502,03-Jun-17,10:10:08,1,0,0,Red,I
503,03-Jun-17,10:10:08,1,0,0,Red,I
504,03-Jun-17,10:10:09,1,0,0,Red,I
505,03-Jun-17,10:10:09,1,0,0,Red,I
506,03-Jun-17,10:10:09,1,0,0,Red,I
507,03-Jun-17,10:10:09,1,0,0,Red,I
508,03-Jun-17,10:10:10,1,0,0,Red,I
509,03-Jun-17,10:10:10,1,0,0,Red,I
510,03-Jun-17,10:10:10,1,0,0,Red,I
511,03-Jun-17,10:10:10,1,0,0,Red,I
512,03-Jun-17,10:10:10,1,0,0,Red,I
513,03-Jun-17,10:10:11,1,0,0,Red,I
514,03-Jun-17,10:10:11,1,0,0,Red,I
515,03-Jun-17,10:10:11,1,0,0,Red,I
516,03-Jun-17,10:10:11,1,0,0,Red,I
517,03-Jun-17,10:10:11,1,0,0,Red,I
518,03-Jun-17,10:10:11,1,0,0,Red,I
519,03-Jun-17,10:10:12,1,0,0,Red,I
520,03-Jun-17,10:10:12,1,0,0,Red,I
521,03-Jun-17,10:10:12,1,0,0,Red,I
522,03-Jun-17,10:10:12,1,0,0,Red,I
523,03-Jun-17,10:10:13,1,0,0,Red,I
524,03-Jun-17,10:10:13,1,0,0,Red,I
525,03-Jun-17,10:10:13,1,0,0,Red,I
526,03-Jun-17,10:10:13,1,0,0,Red,I
527,03-Jun-17,10:10:13,1,0,0,Red,I
528,03-Jun-17,10:10:14,1,0,0,Red,I
529,03-Jun-17,10:10:14,1,0,0,Red,I
530,03-Jun-17,10:10:14,1,0,0,Red,I
531,03-Jun-17,10:10:14,1,0,0,Red,I
532,03-Jun-17,10:10:14,1,0,0,Red,I
533,03-Jun-17,10:10:14,1,0,0,Red,I
