,Date,Time,Result,Phase
0,24-Jun-17,16:50:34,Red,A
1,24-Jun-17,16:50:35,Red,A
2,24-Jun-17,16:50:35,Red,A
3,24-Jun-17,16:50:35,Red,A
4,24-Jun-17,16:50:35,Red,A
5,24-Jun-17,16:50:35,Red,A
6,24-Jun-17,16:50:35,Red,A
7,24-Jun-17,16:50:36,Red,A
8,24-Jun-17,16:50:36,Red,A
9,24-Jun-17,16:50:36,Red,A
10,24-Jun-17,16:50:36,Red,A
11,24-Jun-17,16:50:36,Red,A
12,24-Jun-17,16:50:37,Red,A
13,24-Jun-17,16:50:37,Red,A
14,24-Jun-17,16:50:37,Red,A
15,24-Jun-17,16:50:37,Red,A
16,24-Jun-17,16:50:38,Red,A
17,24-Jun-17,16:50:38,Red,A
18,24-Jun-17,16:50:38,Red,A
19,24-Jun-17,16:50:38,Red,A
20,24-Jun-17,16:50:38,Red,A
21,24-Jun-17,16:50:39,Red,A
22,24-Jun-17,16:50:39,Red,A
23,24-Jun-17,16:50:39,Red,A
24,24-Jun-17,16:50:39,Red,A
25,24-Jun-17,16:50:39,Red,A
26,24-Jun-17,16:50:40,Red,A
27,24-Jun-17,16:50:40,Red,A
28,24-Jun-17,16:50:40,Red,A
29,24-Jun-17,16:50:40,Red,A
30,24-Jun-17,16:50:40,Red,A
31,24-Jun-17,16:50:40,Red,A
32,24-Jun-17,16:50:41,Red,A
33,24-Jun-17,16:50:41,Red,A
34,24-Jun-17,16:50:41,Red,A
35,24-Jun-17,16:50:41,Red,A
36,24-Jun-17,16:50:41,Red,A
37,24-Jun-17,16:50:42,Red,A
38,24-Jun-17,16:50:42,Red,A
39,24-Jun-17,16:50:42,Red,A
40,24-Jun-17,16:50:42,Red,A
41,24-Jun-17,16:50:43,Red,A
42,24-Jun-17,16:50:43,Red,A
43,24-Jun-17,16:50:43,Red,A
44,24-Jun-17,16:50:43,Red,A
45,24-Jun-17,16:50:43,Red,A
46,24-Jun-17,16:50:44,Red,A
47,24-Jun-17,16:50:44,Red,A
48,24-Jun-17,16:50:44,Red,A
49,24-Jun-17,16:50:44,Red,A
50,24-Jun-17,16:50:44,Red,A
51,24-Jun-17,16:50:44,Red,A
52,24-Jun-17,16:50:45,Red,A
53,24-Jun-17,16:50:45,Red,A
54,24-Jun-17,16:50:45,Red,A
55,24-Jun-17,16:50:45,Red,A
56,24-Jun-17,16:50:46,Red,A
57,24-Jun-17,16:50:46,Red,A
58,24-Jun-17,16:50:46,Red,A
59,24-Jun-17,16:50:46,Red,A
60,24-Jun-17,16:50:46,Red,A
61,24-Jun-17,16:50:47,Red,A
62,24-Jun-17,16:50:47,Red,A
63,24-Jun-17,16:50:47,Red,A
64,24-Jun-17,16:50:47,Red,A
65,24-Jun-17,16:50:48,Red,A
66,24-Jun-17,16:50:48,Red,A
67,24-Jun-17,16:50:48,Red,A
68,24-Jun-17,16:50:48,Red,A
69,24-Jun-17,16:50:48,Red,A
70,24-Jun-17,16:50:48,Red,A
71,24-Jun-17,16:50:48,Red,A
72,24-Jun-17,16:50:49,Red,A
73,24-Jun-17,16:50:49,Red,A
74,24-Jun-17,16:50:49,Red,A
75,24-Jun-17,16:50:49,Red,A
76,24-Jun-17,16:50:50,Red,A
77,24-Jun-17,16:50:50,Red,A
78,24-Jun-17,16:50:50,Red,A
79,24-Jun-17,16:50:50,Red,A
80,24-Jun-17,16:50:50,Red,A
81,24-Jun-17,16:50:51,Red,A
82,24-Jun-17,16:50:51,Red,A
83,24-Jun-17,16:50:51,Red,A
84,24-Jun-17,16:50:51,Red,A
85,24-Jun-17,16:50:51,Red,A
86,24-Jun-17,16:50:51,Red,A
87,24-Jun-17,16:50:52,Red,A
88,24-Jun-17,16:50:52,Red,A
89,24-Jun-17,16:50:52,Red,A
90,24-Jun-17,16:50:52,Red,A
91,24-Jun-17,16:50:52,Red,A
92,24-Jun-17,16:50:53,Red,A
93,24-Jun-17,16:50:53,Red,A
94,24-Jun-17,16:50:53,Red,A
95,24-Jun-17,16:50:53,Red,A
96,24-Jun-17,16:50:54,Red,A
97,24-Jun-17,16:50:54,Red,A
98,24-Jun-17,16:50:54,Red,A
99,24-Jun-17,16:50:54,Red,A
100,24-Jun-17,16:50:54,Red,A
101,24-Jun-17,16:50:55,Red,A
102,24-Jun-17,16:50:55,Red,A
103,24-Jun-17,16:50:55,Red,A
104,24-Jun-17,16:50:55,Red,A
105,24-Jun-17,16:50:55,Red,A
106,24-Jun-17,16:50:55,Red,A
107,24-Jun-17,16:50:56,Red,A
108,24-Jun-17,16:50:56,Red,A
109,24-Jun-17,16:50:56,Red,A
110,24-Jun-17,16:50:56,Red,A
111,24-Jun-17,16:50:56,Red,A
112,24-Jun-17,16:50:57,Red,A
113,24-Jun-17,16:50:57,Red,A
114,24-Jun-17,16:50:57,Red,A
115,24-Jun-17,16:50:57,Red,A
116,24-Jun-17,16:50:58,Red,A
117,24-Jun-17,16:50:58,Red,A
118,24-Jun-17,16:50:58,Red,A
119,24-Jun-17,16:50:58,Red,A
120,24-Jun-17,16:50:59,Red,A
121,24-Jun-17,16:50:59,Red,A
122,24-Jun-17,16:50:59,Red,A
123,24-Jun-17,16:50:59,Red,A
124,24-Jun-17,16:50:59,Red,A
125,24-Jun-17,16:50:59,Red,A
126,24-Jun-17,16:50:59,Red,A
127,24-Jun-17,16:51:00,Red,A
128,24-Jun-17,16:51:00,Red,A
129,24-Jun-17,16:51:00,Red,A
130,24-Jun-17,16:51:01,Red,A
131,24-Jun-17,16:51:01,Red,A
132,24-Jun-17,16:51:01,Red,A
133,24-Jun-17,16:51:01,Red,A
134,24-Jun-17,16:51:01,Red,A
135,24-Jun-17,16:51:02,Red,A
136,24-Jun-17,16:51:02,Red,A
137,24-Jun-17,16:51:02,Red,A
138,24-Jun-17,16:51:02,Red,A
139,24-Jun-17,16:51:02,Red,A
140,24-Jun-17,16:51:02,Red,A
141,24-Jun-17,16:51:03,Red,A
142,24-Jun-17,16:51:03,Red,A
143,24-Jun-17,16:51:03,Red,A
144,24-Jun-17,16:51:03,Red,A
145,24-Jun-17,16:51:03,Red,A
146,24-Jun-17,16:51:04,Red,A
147,24-Jun-17,16:51:04,Red,A
148,24-Jun-17,16:51:04,Red,A
149,24-Jun-17,16:51:04,Red,A
150,24-Jun-17,16:51:05,Red,A
151,24-Jun-17,16:51:05,Red,A
152,24-Jun-17,16:51:05,Red,A
153,24-Jun-17,16:51:05,Red,A
154,24-Jun-17,16:51:05,Red,A
155,24-Jun-17,16:51:05,Red,A
156,24-Jun-17,16:51:06,Red,A
157,24-Jun-17,16:51:06,Red,A
158,24-Jun-17,16:51:06,Red,A
159,24-Jun-17,16:51:06,Red,A
160,24-Jun-17,16:51:06,Red,A
161,24-Jun-17,16:51:07,Red,A
162,24-Jun-17,16:51:07,Red,A
163,24-Jun-17,16:51:07,Red,A
164,24-Jun-17,16:51:07,Red,A
165,24-Jun-17,16:51:08,Red,A
166,24-Jun-17,16:51:08,Red,A
167,24-Jun-17,16:51:08,Red,A
168,24-Jun-17,16:51:08,Red,A
169,24-Jun-17,16:51:08,Red,A
170,24-Jun-17,16:51:09,Red,A
171,24-Jun-17,16:51:09,Red,A
172,24-Jun-17,16:51:09,Red,A
173,24-Jun-17,16:51:09,Red,A
174,24-Jun-17,16:51:09,Red,A
175,24-Jun-17,16:51:09,Red,A
176,24-Jun-17,16:51:10,Red,A
177,24-Jun-17,16:51:10,Red,A
178,24-Jun-17,16:51:10,Red,A
179,24-Jun-17,16:51:10,Red,A
180,24-Jun-17,16:51:10,Red,A
181,24-Jun-17,16:51:11,Red,A
182,24-Jun-17,16:51:11,Red,A
183,24-Jun-17,16:51:11,Red,A
184,24-Jun-17,16:51:11,Red,A
185,24-Jun-17,16:51:12,Red,A
186,24-Jun-17,16:51:12,Red,A
187,24-Jun-17,16:51:12,Red,A
188,24-Jun-17,16:51:12,Red,A
189,24-Jun-17,16:51:13,Red,A
190,24-Jun-17,16:51:13,Red,A
191,24-Jun-17,16:51:13,Red,A
192,24-Jun-17,16:51:13,Red,A
193,24-Jun-17,16:51:13,Red,A
194,24-Jun-17,16:51:13,Red,A
195,24-Jun-17,16:51:59,Red,A
196,24-Jun-17,16:51:59,Red,A
197,24-Jun-17,16:51:59,Red,A
198,24-Jun-17,16:51:59,Red,A
199,24-Jun-17,16:51:59,Red,A
200,24-Jun-17,16:51:59,Red,A
201,24-Jun-17,16:52:00,Red,A
202,24-Jun-17,16:52:00,Red,A
203,24-Jun-17,16:52:00,Red,A
204,24-Jun-17,16:52:00,Red,A
205,24-Jun-17,16:52:01,Red,A
206,24-Jun-17,16:52:01,Red,A
207,24-Jun-17,16:52:01,Red,A
208,24-Jun-17,16:52:01,Red,A
209,24-Jun-17,16:52:01,Red,A
210,24-Jun-17,16:52:02,Red,A
211,24-Jun-17,16:52:02,Red,A
212,24-Jun-17,16:52:02,Red,A
213,24-Jun-17,16:52:02,Red,A
214,24-Jun-17,16:52:03,Red,A
215,24-Jun-17,16:52:03,Red,A
216,24-Jun-17,16:52:03,Red,A
217,24-Jun-17,16:52:03,Red,A
218,24-Jun-17,16:52:03,Red,A
219,24-Jun-17,16:52:03,Red,A
220,24-Jun-17,16:52:03,Red,A
221,24-Jun-17,16:52:04,Red,A
222,24-Jun-17,16:52:04,Red,A
223,24-Jun-17,16:52:04,Red,A
224,24-Jun-17,16:52:04,Red,A
225,24-Jun-17,16:52:05,Red,A
226,24-Jun-17,16:52:05,Red,A
227,24-Jun-17,16:52:05,Red,A
228,24-Jun-17,16:52:05,Red,A
229,24-Jun-17,16:52:05,Red,A
230,24-Jun-17,16:52:06,Red,A
231,24-Jun-17,16:52:06,Red,A
232,24-Jun-17,16:52:06,Red,A
233,24-Jun-17,16:52:06,Red,A
234,24-Jun-17,16:52:06,Red,A
235,24-Jun-17,16:52:06,Red,A
236,24-Jun-17,16:52:07,Red,A
237,24-Jun-17,16:52:07,Red,A
238,24-Jun-17,16:52:07,Red,A
239,24-Jun-17,16:52:07,Red,A
240,24-Jun-17,16:52:07,Red,A
241,24-Jun-17,16:52:08,Red,A
242,24-Jun-17,16:52:08,Red,A
243,24-Jun-17,16:52:08,Red,A
244,24-Jun-17,16:52:08,Red,A
245,24-Jun-17,16:52:09,Red,A
246,24-Jun-17,16:52:09,Red,A
247,24-Jun-17,16:52:09,Red,A
248,24-Jun-17,16:52:09,Red,A
249,24-Jun-17,16:52:09,Red,A
250,24-Jun-17,16:52:10,Red,A
251,24-Jun-17,16:52:10,Red,A
252,24-Jun-17,16:52:10,Red,A
253,24-Jun-17,16:52:10,Red,A
254,24-Jun-17,16:52:10,Red,A
255,24-Jun-17,16:52:10,Red,A
256,24-Jun-17,16:52:11,Red,A
257,24-Jun-17,16:52:11,Red,A
258,24-Jun-17,16:52:11,Red,A
259,24-Jun-17,16:52:11,Red,A
260,24-Jun-17,16:52:12,Red,A
261,24-Jun-17,16:52:12,Red,A
262,24-Jun-17,16:52:12,Red,A
263,24-Jun-17,16:52:12,Red,A
264,24-Jun-17,16:52:12,Red,A
265,24-Jun-17,16:52:13,Red,A
266,24-Jun-17,16:52:13,Red,A
267,24-Jun-17,16:52:13,Red,A
268,24-Jun-17,16:52:13,Red,A
269,24-Jun-17,16:52:13,Red,A
270,24-Jun-17,16:52:58,Red,A
271,24-Jun-17,16:52:59,Red,A
272,24-Jun-17,16:52:59,Red,A
273,24-Jun-17,16:52:59,Red,A
274,24-Jun-17,16:52:59,Red,A
275,24-Jun-17,16:53:00,Red,A
276,24-Jun-17,16:53:00,Red,A
277,24-Jun-17,16:53:00,Red,A
278,24-Jun-17,16:53:00,Red,A
279,24-Jun-17,16:53:00,Red,A
280,24-Jun-17,16:53:01,Red,A
281,24-Jun-17,16:53:01,Red,A
282,24-Jun-17,16:53:01,Red,A
283,24-Jun-17,16:53:01,Red,A
284,24-Jun-17,16:53:01,Red,A
285,24-Jun-17,16:53:01,Red,A
286,24-Jun-17,16:53:01,Red,A
287,24-Jun-17,16:53:02,Red,A
288,24-Jun-17,16:53:02,Red,A
289,24-Jun-17,16:53:02,Red,A
290,24-Jun-17,16:53:02,Red,A
291,24-Jun-17,16:53:02,Red,A
292,24-Jun-17,16:53:03,Red,A
293,24-Jun-17,16:53:03,Red,A
294,24-Jun-17,16:53:03,Red,A
295,24-Jun-17,16:53:03,Red,A
296,24-Jun-17,16:53:04,Red,A
297,24-Jun-17,16:53:04,Red,A
298,24-Jun-17,16:53:04,Red,A
299,24-Jun-17,16:53:04,Red,A
300,24-Jun-17,16:53:04,Red,A
301,24-Jun-17,16:53:05,Red,A
302,24-Jun-17,16:53:05,Red,A
303,24-Jun-17,16:53:05,Red,A
304,24-Jun-17,16:53:05,Red,A
305,24-Jun-17,16:53:05,Red,A
306,24-Jun-17,16:53:05,Red,A
307,24-Jun-17,16:53:06,Red,A
308,24-Jun-17,16:53:06,Red,A
309,24-Jun-17,16:53:06,Red,A
310,24-Jun-17,16:53:06,Red,A
311,24-Jun-17,16:53:06,Red,A
312,24-Jun-17,16:53:07,Red,A
313,24-Jun-17,16:53:07,Red,A
314,24-Jun-17,16:53:07,Red,A
315,24-Jun-17,16:53:07,Red,A
316,24-Jun-17,16:53:08,Red,A
317,24-Jun-17,16:53:08,Red,A
318,24-Jun-17,16:53:08,Red,A
319,24-Jun-17,16:53:08,Red,A
320,24-Jun-17,16:53:08,Red,A
321,24-Jun-17,16:53:09,Red,A
322,24-Jun-17,16:53:09,Red,A
323,24-Jun-17,16:53:09,Red,A
324,24-Jun-17,16:53:09,Red,A
325,24-Jun-17,16:53:09,Red,A
326,24-Jun-17,16:53:09,Red,A
327,24-Jun-17,16:53:10,Red,A
328,24-Jun-17,16:53:10,Red,A
329,24-Jun-17,16:53:10,Red,A
330,24-Jun-17,16:53:10,Red,A
331,24-Jun-17,16:53:11,Red,A
332,24-Jun-17,16:53:11,Red,A
333,24-Jun-17,16:53:11,Red,A
334,24-Jun-17,16:53:11,Red,A
335,24-Jun-17,16:53:11,Red,A
336,24-Jun-17,16:53:12,Red,A
337,24-Jun-17,16:53:12,Red,A
338,24-Jun-17,16:53:12,Red,A
339,24-Jun-17,16:53:12,Red,A
340,24-Jun-17,16:53:13,Red,A
341,24-Jun-17,16:53:13,Red,A
342,24-Jun-17,16:53:13,Red,A
343,24-Jun-17,16:53:13,Red,A
344,24-Jun-17,16:53:13,Red,A
345,24-Jun-17,16:53:59,Red,A
346,24-Jun-17,16:53:59,Red,A
347,24-Jun-17,16:53:59,Red,A
348,24-Jun-17,16:53:59,Red,A
349,24-Jun-17,16:53:59,Red,A
350,24-Jun-17,16:53:59,Red,A
351,24-Jun-17,16:53:59,Red,A
352,24-Jun-17,16:54:00,Red,A
353,24-Jun-17,16:54:00,Red,A
354,24-Jun-17,16:54:00,Red,A
355,24-Jun-17,16:54:00,Red,A
356,24-Jun-17,16:54:00,Red,A
357,24-Jun-17,16:54:01,Red,A
358,24-Jun-17,16:54:01,Red,A
359,24-Jun-17,16:54:01,Red,A
360,24-Jun-17,16:54:01,Red,A
361,24-Jun-17,16:54:02,Red,A
362,24-Jun-17,16:54:02,Red,A
363,24-Jun-17,16:54:02,Red,A
364,24-Jun-17,16:54:02,Red,A
365,24-Jun-17,16:54:03,Red,A
366,24-Jun-17,16:54:03,Red,A
367,24-Jun-17,16:54:03,Red,A
368,24-Jun-17,16:54:03,Red,A
369,24-Jun-17,16:54:03,Red,A
370,24-Jun-17,16:54:03,Red,A
371,24-Jun-17,16:54:03,Red,A
372,24-Jun-17,16:54:04,Red,A
373,24-Jun-17,16:54:04,Red,A
374,24-Jun-17,16:54:04,Red,A
375,24-Jun-17,16:54:04,Red,A
376,24-Jun-17,16:54:05,Red,A
377,24-Jun-17,16:54:05,Red,A
378,24-Jun-17,16:54:05,Red,A
379,24-Jun-17,16:54:05,Red,A
380,24-Jun-17,16:54:05,Red,A
381,24-Jun-17,16:54:06,Red,A
382,24-Jun-17,16:54:06,Red,A
383,24-Jun-17,16:54:06,Red,A
384,24-Jun-17,16:54:06,Red,A
385,24-Jun-17,16:54:07,Red,A
386,24-Jun-17,16:54:07,Red,A
387,24-Jun-17,16:54:07,Red,A
388,24-Jun-17,16:54:07,Red,A
389,24-Jun-17,16:54:07,Red,A
390,24-Jun-17,16:54:07,Red,A
391,24-Jun-17,16:54:07,Red,A
392,24-Jun-17,16:54:08,Red,A
393,24-Jun-17,16:54:08,Red,A
394,24-Jun-17,16:54:08,Red,A
395,24-Jun-17,16:54:08,Red,A
396,24-Jun-17,16:54:09,Red,A
397,24-Jun-17,16:54:09,Red,A
398,24-Jun-17,16:54:09,Red,A
399,24-Jun-17,16:54:09,Red,A
400,24-Jun-17,16:54:09,Red,A
401,24-Jun-17,16:54:10,Red,A
402,24-Jun-17,16:54:10,Red,A
403,24-Jun-17,16:54:10,Red,A
404,24-Jun-17,16:54:10,Red,A
405,24-Jun-17,16:54:10,Red,A
406,24-Jun-17,16:54:10,Red,A
407,24-Jun-17,16:54:11,Red,A
408,24-Jun-17,16:54:11,Red,A
409,24-Jun-17,16:54:11,Red,A
410,24-Jun-17,16:54:11,Red,A
411,24-Jun-17,16:54:11,Red,A
412,24-Jun-17,16:54:12,Red,A
413,24-Jun-17,16:54:12,Red,A
414,24-Jun-17,16:54:12,Red,A
415,24-Jun-17,16:54:12,Red,A
416,24-Jun-17,16:54:13,Red,A
417,24-Jun-17,16:54:13,Red,A
418,24-Jun-17,16:54:13,Red,A
419,24-Jun-17,16:54:13,Red,A
420,24-Jun-17,16:54:58,Red,A
421,24-Jun-17,16:54:58,Red,A
422,24-Jun-17,16:54:59,Red,A
423,24-Jun-17,16:54:59,Red,A
424,24-Jun-17,16:54:59,Red,A
425,24-Jun-17,16:54:59,Red,A
426,24-Jun-17,16:54:59,Red,A
427,24-Jun-17,16:55:00,Red,A
428,24-Jun-17,16:55:00,Red,A
429,24-Jun-17,16:55:00,Red,A
430,24-Jun-17,16:55:00,Red,A
431,24-Jun-17,16:55:01,Red,A
432,24-Jun-17,16:55:01,Red,A
433,24-Jun-17,16:55:01,Red,A
434,24-Jun-17,16:55:01,Red,A
435,24-Jun-17,16:55:02,Red,A
436,24-Jun-17,16:55:02,Red,A
437,24-Jun-17,16:55:02,Red,A
438,24-Jun-17,16:55:02,Red,A
439,24-Jun-17,16:55:02,Red,A
440,24-Jun-17,16:55:02,Red,A
441,24-Jun-17,16:55:02,Red,A
442,24-Jun-17,16:55:03,Red,A
443,24-Jun-17,16:55:03,Red,A
444,24-Jun-17,16:55:03,Red,A
445,24-Jun-17,16:55:03,Red,A
446,24-Jun-17,16:55:04,Red,A
447,24-Jun-17,16:55:04,Red,A
448,24-Jun-17,16:55:04,Red,A
449,24-Jun-17,16:55:04,Red,A
450,24-Jun-17,16:55:04,Red,A
451,24-Jun-17,16:55:05,Red,A
