,Date,Time,Result,Phase
0,24-Jun-17,16:49:38,Amber,C
1,24-Jun-17,16:49:38,Amber,C
2,24-Jun-17,16:49:39,Amber,C
3,24-Jun-17,16:49:39,Amber,C
4,24-Jun-17,16:49:39,Amber,C
5,24-Jun-17,16:49:39,Amber,C
6,24-Jun-17,16:49:40,Amber,C
7,24-Jun-17,16:49:40,Amber,C
8,24-Jun-17,16:49:40,Amber,C
9,24-Jun-17,16:49:40,Amber,C
10,24-Jun-17,16:49:40,Amber,C
11,24-Jun-17,16:49:41,Amber,C
12,24-Jun-17,16:49:41,Amber,C
13,24-Jun-17,16:49:41,Amber,C
14,24-Jun-17,16:49:41,Amber,C
15,24-Jun-17,16:50:45,Amber,C
16,24-Jun-17,16:50:46,Amber,C
17,24-Jun-17,16:50:46,Amber,C
18,24-Jun-17,16:50:46,Amber,C
19,24-Jun-17,16:50:46,Amber,C
20,24-Jun-17,16:50:46,Amber,C
21,24-Jun-17,16:50:47,Amber,C
22,24-Jun-17,16:50:47,Amber,C
23,24-Jun-17,16:50:47,Amber,C
24,24-Jun-17,16:50:47,Amber,C
25,24-Jun-17,16:50:48,Amber,C
26,24-Jun-17,16:50:48,Amber,C
27,24-Jun-17,16:50:48,Amber,C
28,24-Jun-17,16:50:48,Amber,C
29,24-Jun-17,16:50:48,Amber,C
30,24-Jun-17,16:52:10,Amber,C
31,24-Jun-17,16:52:10,Amber,C
32,24-Jun-17,16:52:10,Amber,C
33,24-Jun-17,16:52:10,Amber,C
34,24-Jun-17,16:52:10,Amber,C
35,24-Jun-17,16:52:10,Amber,C
36,24-Jun-17,16:52:11,Amber,C
37,24-Jun-17,16:52:11,Amber,C
38,24-Jun-17,16:52:11,Amber,C
39,24-Jun-17,16:52:11,Amber,C
40,24-Jun-17,16:52:12,Amber,C
41,24-Jun-17,16:52:12,Amber,C
42,24-Jun-17,16:52:12,Amber,C
43,24-Jun-17,16:52:12,Amber,C
44,24-Jun-17,16:52:12,Amber,C
45,24-Jun-17,16:53:09,Amber,C
46,24-Jun-17,16:53:09,Amber,C
47,24-Jun-17,16:53:10,Amber,C
48,24-Jun-17,16:53:10,Amber,C
49,24-Jun-17,16:53:10,Amber,C
50,24-Jun-17,16:53:10,Amber,C
51,24-Jun-17,16:53:11,Amber,C
52,24-Jun-17,16:53:11,Amber,C
53,24-Jun-17,16:53:11,Amber,C
