,Date,Time,Result,Phase
0,03-Jun-17,10:08:47,0,C
1,03-Jun-17,10:08:47,0,C
2,03-Jun-17,10:08:47,0,C
3,03-Jun-17,10:08:47,0,C
4,03-Jun-17,10:08:48,0,C
5,03-Jun-17,10:08:48,0,C
6,03-Jun-17,10:08:48,0,C
7,03-Jun-17,10:08:48,0,C
8,03-Jun-17,10:08:48,0,C
9,03-Jun-17,10:08:48,0,C
10,03-Jun-17,10:08:49,0,C
11,03-Jun-17,10:08:49,0,C
12,03-Jun-17,10:08:49,0,C
13,03-Jun-17,10:08:49,0,C
14,03-Jun-17,10:08:50,0,C
15,03-Jun-17,10:08:50,0,C
16,03-Jun-17,10:08:50,0,C
17,03-Jun-17,10:08:50,0,C
18,03-Jun-17,10:08:50,0,C
19,03-Jun-17,10:08:50,0,C
20,03-Jun-17,10:08:51,0,C
21,03-Jun-17,10:08:51,0,C
22,03-Jun-17,10:08:51,0,C
23,03-Jun-17,10:08:51,0,C
24,03-Jun-17,10:08:51,0,C
25,03-Jun-17,10:08:52,0,C
26,03-Jun-17,10:08:52,0,C
27,03-Jun-17,10:08:52,0,C
28,03-Jun-17,10:08:52,0,C
29,03-Jun-17,10:08:53,0,C
30,03-Jun-17,10:08:53,0,C
31,03-Jun-17,10:08:53,0,C
32,03-Jun-17,10:08:53,0,C
33,03-Jun-17,10:08:53,0,C
34,03-Jun-17,10:08:54,0,C
35,03-Jun-17,10:08:54,0,C
36,03-Jun-17,10:08:54,0,C
37,03-Jun-17,10:08:54,0,C
38,03-Jun-17,10:08:55,0,C
39,03-Jun-17,10:08:55,0,C
40,03-Jun-17,10:08:55,0,C
41,03-Jun-17,10:08:55,0,C
42,03-Jun-17,10:08:55,0,C
43,03-Jun-17,10:08:55,0,C
44,03-Jun-17,10:08:55,0,C
45,03-Jun-17,10:08:56,0,C
46,03-Jun-17,10:08:56,0,C
47,03-Jun-17,10:08:56,0,C
48,03-Jun-17,10:08:56,0,C
49,03-Jun-17,10:08:57,0,C
50,03-Jun-17,10:08:57,0,C
51,03-Jun-17,10:08:57,0,C
52,03-Jun-17,10:08:57,0,C
53,03-Jun-17,10:08:57,0,C
54,03-Jun-17,10:08:58,0,C
55,03-Jun-17,10:08:58,0,C
56,03-Jun-17,10:08:58,0,C
57,03-Jun-17,10:08:58,0,C
58,03-Jun-17,10:08:59,0,C
59,03-Jun-17,10:08:59,0,C
60,03-Jun-17,10:08:59,0,C
