,Date,Time,Result,Phase
0,24-Jun-17,16:49:38,Amber,D
1,24-Jun-17,16:49:38,Amber,D
2,24-Jun-17,16:49:39,Amber,D
3,24-Jun-17,16:49:39,Amber,D
4,24-Jun-17,16:49:39,Amber,D
5,24-Jun-17,16:49:39,Amber,D
6,24-Jun-17,16:49:40,Amber,D
7,24-Jun-17,16:49:40,Amber,D
8,24-Jun-17,16:49:40,Amber,D
9,24-Jun-17,16:49:40,Amber,D
10,24-Jun-17,16:49:40,Amber,D
11,24-Jun-17,16:49:41,Amber,D
12,24-Jun-17,16:49:41,Amber,D
13,24-Jun-17,16:49:41,Amber,D
14,24-Jun-17,16:49:41,Amber,D
15,24-Jun-17,16:50:45,Amber,D
16,24-Jun-17,16:50:46,Amber,D
17,24-Jun-17,16:50:46,Amber,D
18,24-Jun-17,16:50:46,Amber,D
19,24-Jun-17,16:50:46,Amber,D
20,24-Jun-17,16:50:46,Amber,D
21,24-Jun-17,16:50:47,Amber,D
22,24-Jun-17,16:50:47,Amber,D
23,24-Jun-17,16:50:47,Amber,D
24,24-Jun-17,16:50:47,Amber,D
25,24-Jun-17,16:50:48,Amber,D
26,24-Jun-17,16:50:48,Amber,D
27,24-Jun-17,16:50:48,Amber,D
28,24-Jun-17,16:50:48,Amber,D
29,24-Jun-17,16:50:48,Amber,D
30,24-Jun-17,16:52:10,Amber,D
31,24-Jun-17,16:52:10,Amber,D
32,24-Jun-17,16:52:10,Amber,D
33,24-Jun-17,16:52:10,Amber,D
34,24-Jun-17,16:52:10,Amber,D
35,24-Jun-17,16:52:10,Amber,D
36,24-Jun-17,16:52:11,Amber,D
37,24-Jun-17,16:52:11,Amber,D
38,24-Jun-17,16:52:11,Amber,D
39,24-Jun-17,16:52:11,Amber,D
40,24-Jun-17,16:52:12,Amber,D
41,24-Jun-17,16:52:12,Amber,D
42,24-Jun-17,16:52:12,Amber,D
43,24-Jun-17,16:52:12,Amber,D
44,24-Jun-17,16:52:12,Amber,D
45,24-Jun-17,16:53:09,Amber,D
46,24-Jun-17,16:53:09,Amber,D
47,24-Jun-17,16:53:10,Amber,D
