,Date,Time,Result,Phase
0,11-Apr-17,20:27:16,Red,D
1,11-Apr-17,20:27:16,Red,D
2,11-Apr-17,20:27:17,Red,D
3,11-Apr-17,20:27:17,Red,D
4,11-Apr-17,20:27:17,Red,D
5,11-Apr-17,20:27:17,Red,D
6,11-Apr-17,20:27:18,Red,D
7,11-Apr-17,20:27:18,Red,D
8,11-Apr-17,20:27:18,Red,D
9,11-Apr-17,20:27:18,Red,D
10,11-Apr-17,20:27:18,Red,D
11,11-Apr-17,20:27:19,Red,D
12,11-Apr-17,20:27:19,Red,D
13,11-Apr-17,20:27:19,Red,D
14,11-Apr-17,20:27:19,Red,D
15,11-Apr-17,20:27:19,Red,D
16,11-Apr-17,20:27:19,Red,D
17,11-Apr-17,20:27:20,Red,D
18,11-Apr-17,20:27:20,Red,D
19,11-Apr-17,20:27:20,Red,D
20,11-Apr-17,20:27:20,Red,D
21,11-Apr-17,20:27:20,Red,D
22,11-Apr-17,20:27:21,Red,D
23,11-Apr-17,20:27:21,Red,D
24,11-Apr-17,20:27:21,Red,D
25,11-Apr-17,20:27:21,Red,D
26,11-Apr-17,20:27:22,Red,D
27,11-Apr-17,20:27:22,Red,D
28,11-Apr-17,20:27:22,Red,D
29,11-Apr-17,20:27:22,Red,D
30,11-Apr-17,20:27:22,Red,D
31,11-Apr-17,20:27:23,Red,D
32,11-Apr-17,20:27:23,Red,D
33,11-Apr-17,20:27:23,Red,D
34,11-Apr-17,20:27:23,Red,D
35,11-Apr-17,20:27:24,Red,D
36,11-Apr-17,20:27:24,Red,D
37,11-Apr-17,20:27:24,Red,D
38,11-Apr-17,20:27:24,Red,D
39,11-Apr-17,20:27:24,Red,D
40,11-Apr-17,20:27:24,Red,D
41,11-Apr-17,20:27:24,Red,D
42,11-Apr-17,20:27:25,Red,D
43,11-Apr-17,20:27:25,Red,D
44,11-Apr-17,20:27:26,Red,D
45,11-Apr-17,20:27:26,Red,D
46,11-Apr-17,20:27:26,Red,D
