,Date,Time,Result,Phase
0,11-Apr-17,20:27:13,RedAmber,E
1,11-Apr-17,20:27:14,RedAmber,E
2,11-Apr-17,20:27:14,RedAmber,E
3,11-Apr-17,20:27:14,RedAmber,E
4,11-Apr-17,20:27:14,RedAmber,E
5,11-Apr-17,20:27:14,RedAmber,E
6,11-Apr-17,20:27:15,RedAmber,E
7,11-Apr-17,20:27:15,RedAmber,E
8,11-Apr-17,20:27:15,RedAmber,E
9,11-Apr-17,20:27:15,RedAmber,E
10,11-Apr-17,20:27:15,RedAmber,E
11,11-Apr-17,20:27:16,RedAmber,E
12,11-Apr-17,20:27:16,RedAmber,E
13,11-Apr-17,20:27:16,RedAmber,E
14,11-Apr-17,20:27:16,RedAmber,E
15,11-Apr-17,20:27:16,RedAmber,E
16,11-Apr-17,20:27:16,RedAmber,E
17,11-Apr-17,20:27:17,RedAmber,E
18,11-Apr-17,20:27:17,RedAmber,E
19,11-Apr-17,20:27:17,RedAmber,E
20,11-Apr-17,20:27:17,RedAmber,E
21,11-Apr-17,20:27:18,RedAmber,E
22,11-Apr-17,20:27:18,RedAmber,E
23,11-Apr-17,20:27:18,RedAmber,E
24,11-Apr-17,20:27:18,RedAmber,E
25,11-Apr-17,20:27:18,RedAmber,E
26,11-Apr-17,20:27:19,RedAmber,E
27,11-Apr-17,20:27:19,RedAmber,E
28,11-Apr-17,20:27:19,RedAmber,E
29,11-Apr-17,20:27:19,RedAmber,E
30,11-Apr-17,20:27:19,RedAmber,E
31,11-Apr-17,20:27:19,RedAmber,E
32,11-Apr-17,20:27:20,RedAmber,E
33,11-Apr-17,20:27:20,RedAmber,E
34,11-Apr-17,20:27:20,RedAmber,E
35,11-Apr-17,20:27:20,RedAmber,E
36,11-Apr-17,20:27:20,RedAmber,E
37,11-Apr-17,20:27:21,RedAmber,E
38,11-Apr-17,20:27:21,RedAmber,E
39,11-Apr-17,20:27:21,RedAmber,E
40,11-Apr-17,20:27:21,RedAmber,E
41,11-Apr-17,20:27:22,RedAmber,E
42,11-Apr-17,20:27:22,RedAmber,E
43,11-Apr-17,20:27:22,RedAmber,E
44,11-Apr-17,20:27:22,RedAmber,E
45,11-Apr-17,20:27:22,RedAmber,E
46,11-Apr-17,20:27:23,RedAmber,E
47,11-Apr-17,20:27:23,RedAmber,E
48,11-Apr-17,20:27:23,RedAmber,E
49,11-Apr-17,20:27:23,RedAmber,E
50,11-Apr-17,20:27:24,RedAmber,E
51,11-Apr-17,20:27:24,RedAmber,E
52,11-Apr-17,20:27:24,RedAmber,E
53,11-Apr-17,20:27:24,RedAmber,E
54,11-Apr-17,20:27:24,RedAmber,E
55,11-Apr-17,20:27:24,RedAmber,E
56,11-Apr-17,20:27:24,RedAmber,E
57,11-Apr-17,20:27:25,RedAmber,E
58,11-Apr-17,20:27:25,RedAmber,E
59,11-Apr-17,20:27:26,RedAmber,E
60,11-Apr-17,20:27:26,RedAmber,E
61,11-Apr-17,20:27:26,RedAmber,E
