,Date,Time,Result,Phase
0,11-Apr-17,20:27:13,RedAmber,F
1,11-Apr-17,20:27:14,RedAmber,F
2,11-Apr-17,20:27:14,RedAmber,F
3,11-Apr-17,20:27:14,RedAmber,F
4,11-Apr-17,20:27:14,RedAmber,F
5,11-Apr-17,20:27:14,RedAmber,F
6,11-Apr-17,20:27:15,RedAmber,F
7,11-Apr-17,20:27:15,RedAmber,F
8,11-Apr-17,20:27:15,RedAmber,F
9,11-Apr-17,20:27:15,RedAmber,F
10,11-Apr-17,20:27:15,RedAmber,F
11,11-Apr-17,20:27:16,RedAmber,F
12,11-Apr-17,20:27:16,RedAmber,F
13,11-Apr-17,20:27:16,RedAmber,F
14,11-Apr-17,20:27:16,RedAmber,F
15,11-Apr-17,20:27:16,RedAmber,F
16,11-Apr-17,20:27:16,RedAmber,F
17,11-Apr-17,20:27:17,RedAmber,F
18,11-Apr-17,20:27:17,RedAmber,F
19,11-Apr-17,20:27:17,RedAmber,F
20,11-Apr-17,20:27:17,RedAmber,F
21,11-Apr-17,20:27:18,RedAmber,F
22,11-Apr-17,20:27:18,RedAmber,F
23,11-Apr-17,20:27:18,RedAmber,F
24,11-Apr-17,20:27:18,RedAmber,F
25,11-Apr-17,20:27:18,RedAmber,F
26,11-Apr-17,20:27:19,RedAmber,F
27,11-Apr-17,20:27:19,RedAmber,F
28,11-Apr-17,20:27:19,RedAmber,F
29,11-Apr-17,20:27:19,RedAmber,F
30,11-Apr-17,20:27:19,RedAmber,F
31,11-Apr-17,20:27:19,RedAmber,F
32,11-Apr-17,20:27:20,RedAmber,F
33,11-Apr-17,20:27:20,RedAmber,F
34,11-Apr-17,20:27:20,RedAmber,F
35,11-Apr-17,20:27:20,RedAmber,F
36,11-Apr-17,20:27:20,RedAmber,F
37,11-Apr-17,20:27:21,RedAmber,F
38,11-Apr-17,20:27:21,RedAmber,F
39,11-Apr-17,20:27:21,RedAmber,F
40,11-Apr-17,20:27:21,RedAmber,F
41,11-Apr-17,20:27:22,RedAmber,F
42,11-Apr-17,20:27:22,RedAmber,F
43,11-Apr-17,20:27:22,RedAmber,F
44,11-Apr-17,20:27:22,RedAmber,F
45,11-Apr-17,20:27:22,RedAmber,F
46,11-Apr-17,20:27:23,RedAmber,F
47,11-Apr-17,20:27:23,RedAmber,F
48,11-Apr-17,20:27:23,RedAmber,F
49,11-Apr-17,20:27:23,RedAmber,F
50,11-Apr-17,20:27:24,RedAmber,F
51,11-Apr-17,20:27:24,RedAmber,F
52,11-Apr-17,20:27:24,RedAmber,F
53,11-Apr-17,20:27:24,RedAmber,F
54,11-Apr-17,20:27:24,RedAmber,F
55,11-Apr-17,20:27:24,RedAmber,F
56,11-Apr-17,20:27:24,RedAmber,F
57,11-Apr-17,20:27:25,RedAmber,F
58,11-Apr-17,20:27:25,RedAmber,F
59,11-Apr-17,20:27:26,RedAmber,F
60,11-Apr-17,20:27:26,RedAmber,F
61,11-Apr-17,20:27:26,RedAmber,F
