,Date,Time,Result,Phase
0,11-Apr-17,20:27:13,RedAmber,G
1,11-Apr-17,20:27:14,RedAmber,G
2,11-Apr-17,20:27:14,RedAmber,G
3,11-Apr-17,20:27:14,RedAmber,G
4,11-Apr-17,20:27:14,RedAmber,G
5,11-Apr-17,20:27:14,RedAmber,G
6,11-Apr-17,20:27:15,RedAmber,G
7,11-Apr-17,20:27:15,RedAmber,G
8,11-Apr-17,20:27:15,RedAmber,G
9,11-Apr-17,20:27:15,RedAmber,G
10,11-Apr-17,20:27:15,RedAmber,G
11,11-Apr-17,20:27:16,RedAmber,G
12,11-Apr-17,20:27:16,RedAmber,G
13,11-Apr-17,20:27:16,RedAmber,G
14,11-Apr-17,20:27:16,RedAmber,G
15,11-Apr-17,20:27:16,RedAmber,G
16,11-Apr-17,20:27:16,RedAmber,G
17,11-Apr-17,20:27:17,RedAmber,G
18,11-Apr-17,20:27:17,RedAmber,G
19,11-Apr-17,20:27:17,RedAmber,G
20,11-Apr-17,20:27:17,RedAmber,G
21,11-Apr-17,20:27:18,RedAmber,G
22,11-Apr-17,20:27:18,RedAmber,G
23,11-Apr-17,20:27:18,RedAmber,G
24,11-Apr-17,20:27:18,RedAmber,G
25,11-Apr-17,20:27:18,RedAmber,G
26,11-Apr-17,20:27:19,RedAmber,G
27,11-Apr-17,20:27:19,RedAmber,G
28,11-Apr-17,20:27:19,RedAmber,G
29,11-Apr-17,20:27:19,RedAmber,G
30,11-Apr-17,20:27:19,RedAmber,G
31,11-Apr-17,20:27:19,RedAmber,G
32,11-Apr-17,20:27:20,RedAmber,G
33,11-Apr-17,20:27:20,RedAmber,G
34,11-Apr-17,20:27:20,RedAmber,G
35,11-Apr-17,20:27:20,RedAmber,G
36,11-Apr-17,20:27:20,RedAmber,G
37,11-Apr-17,20:27:21,RedAmber,G
38,11-Apr-17,20:27:21,RedAmber,G
39,11-Apr-17,20:27:21,RedAmber,G
40,11-Apr-17,20:27:21,RedAmber,G
41,11-Apr-17,20:27:22,RedAmber,G
42,11-Apr-17,20:27:22,RedAmber,G
43,11-Apr-17,20:27:22,RedAmber,G
44,11-Apr-17,20:27:22,RedAmber,G
45,11-Apr-17,20:27:22,RedAmber,G
46,11-Apr-17,20:27:23,RedAmber,G
47,11-Apr-17,20:27:23,RedAmber,G
48,11-Apr-17,20:27:23,RedAmber,G
49,11-Apr-17,20:27:23,RedAmber,G
50,11-Apr-17,20:27:24,RedAmber,G
51,11-Apr-17,20:27:24,RedAmber,G
52,11-Apr-17,20:27:24,RedAmber,G
53,11-Apr-17,20:27:24,RedAmber,G
54,11-Apr-17,20:27:24,RedAmber,G
55,11-Apr-17,20:27:24,RedAmber,G
56,11-Apr-17,20:27:24,RedAmber,G
57,11-Apr-17,20:27:25,RedAmber,G
58,11-Apr-17,20:27:25,RedAmber,G
59,11-Apr-17,20:27:26,RedAmber,G
60,11-Apr-17,20:27:26,RedAmber,G
61,11-Apr-17,20:27:26,RedAmber,G
