,Date,Time,Result,Phase
0,24-Jun-17,16:49:38,RedAmber,H
1,24-Jun-17,16:49:38,RedAmber,H
2,24-Jun-17,16:49:39,RedAmber,H
3,24-Jun-17,16:49:39,RedAmber,H
4,24-Jun-17,16:49:39,RedAmber,H
5,24-Jun-17,16:49:39,RedAmber,H
6,24-Jun-17,16:49:40,RedAmber,H
7,24-Jun-17,16:49:40,RedAmber,H
8,24-Jun-17,16:49:40,RedAmber,H
9,24-Jun-17,16:49:40,RedAmber,H
10,24-Jun-17,16:49:40,RedAmber,H
11,24-Jun-17,16:49:41,RedAmber,H
12,24-Jun-17,16:49:41,RedAmber,H
13,24-Jun-17,16:49:41,RedAmber,H
14,24-Jun-17,16:49:41,RedAmber,H
15,24-Jun-17,16:49:41,RedAmber,H
16,24-Jun-17,16:49:41,RedAmber,H
17,24-Jun-17,16:49:42,RedAmber,H
18,24-Jun-17,16:49:42,RedAmber,H
19,24-Jun-17,16:49:42,RedAmber,H
20,24-Jun-17,16:49:42,RedAmber,H
21,24-Jun-17,16:49:43,RedAmber,H
22,24-Jun-17,16:49:43,RedAmber,H
23,24-Jun-17,16:49:43,RedAmber,H
24,24-Jun-17,16:49:43,RedAmber,H
25,24-Jun-17,16:49:43,RedAmber,H
26,24-Jun-17,16:49:43,RedAmber,H
27,24-Jun-17,16:49:44,RedAmber,H
28,24-Jun-17,16:49:44,RedAmber,H
29,24-Jun-17,16:49:44,RedAmber,H
30,24-Jun-17,16:49:44,RedAmber,H
31,24-Jun-17,16:49:44,RedAmber,H
32,24-Jun-17,16:49:45,RedAmber,H
33,24-Jun-17,16:49:45,RedAmber,H
34,24-Jun-17,16:49:45,RedAmber,H
35,24-Jun-17,16:49:45,RedAmber,H
36,24-Jun-17,16:49:46,RedAmber,H
37,24-Jun-17,16:49:46,RedAmber,H
38,24-Jun-17,16:49:46,RedAmber,H
39,24-Jun-17,16:49:46,RedAmber,H
40,24-Jun-17,16:49:46,RedAmber,H
41,24-Jun-17,16:49:46,RedAmber,H
42,24-Jun-17,16:49:47,RedAmber,H
43,24-Jun-17,16:49:47,RedAmber,H
44,24-Jun-17,16:49:47,RedAmber,H
45,24-Jun-17,16:49:47,RedAmber,H
46,24-Jun-17,16:49:48,RedAmber,H
47,24-Jun-17,16:49:48,RedAmber,H
48,24-Jun-17,16:49:48,RedAmber,H
49,24-Jun-17,16:49:48,RedAmber,H
50,24-Jun-17,16:49:48,RedAmber,H
51,24-Jun-17,16:49:48,RedAmber,H
52,24-Jun-17,16:49:49,RedAmber,H
53,24-Jun-17,16:49:49,RedAmber,H
54,24-Jun-17,16:49:49,RedAmber,H
55,24-Jun-17,16:49:49,RedAmber,H
56,24-Jun-17,16:49:49,RedAmber,H
57,24-Jun-17,16:49:50,RedAmber,H
58,24-Jun-17,16:49:50,RedAmber,H
59,24-Jun-17,16:49:50,RedAmber,H
60,24-Jun-17,16:49:50,RedAmber,H
61,24-Jun-17,16:49:51,RedAmber,H
62,24-Jun-17,16:49:51,RedAmber,H
63,24-Jun-17,16:49:51,RedAmber,H
64,24-Jun-17,16:49:51,RedAmber,H
65,24-Jun-17,16:49:51,RedAmber,H
66,24-Jun-17,16:49:51,RedAmber,H
67,24-Jun-17,16:49:52,RedAmber,H
68,24-Jun-17,16:49:52,RedAmber,H
69,24-Jun-17,16:49:52,RedAmber,H
70,24-Jun-17,16:49:52,RedAmber,H
71,24-Jun-17,16:49:53,RedAmber,H
