,Date,Time,Result,Phase
0,24-Jun-17,16:49:38,RedAmber,I
1,24-Jun-17,16:49:38,RedAmber,I
2,24-Jun-17,16:49:39,RedAmber,I
3,24-Jun-17,16:49:39,RedAmber,I
4,24-Jun-17,16:49:39,RedAmber,I
5,24-Jun-17,16:49:39,RedAmber,I
6,24-Jun-17,16:49:40,RedAmber,I
7,24-Jun-17,16:49:40,RedAmber,I
8,24-Jun-17,16:49:40,RedAmber,I
9,24-Jun-17,16:49:40,RedAmber,I
10,24-Jun-17,16:49:40,RedAmber,I
11,24-Jun-17,16:49:41,RedAmber,I
12,24-Jun-17,16:49:41,RedAmber,I
13,24-Jun-17,16:49:41,RedAmber,I
14,24-Jun-17,16:49:41,RedAmber,I
15,24-Jun-17,16:49:41,RedAmber,I
16,24-Jun-17,16:49:41,RedAmber,I
17,24-Jun-17,16:49:42,RedAmber,I
18,24-Jun-17,16:49:42,RedAmber,I
19,24-Jun-17,16:49:42,RedAmber,I
20,24-Jun-17,16:49:42,RedAmber,I
21,24-Jun-17,16:49:43,RedAmber,I
22,24-Jun-17,16:49:43,RedAmber,I
23,24-Jun-17,16:49:43,RedAmber,I
24,24-Jun-17,16:49:43,RedAmber,I
25,24-Jun-17,16:49:43,RedAmber,I
26,24-Jun-17,16:49:43,RedAmber,I
27,24-Jun-17,16:49:44,RedAmber,I
28,24-Jun-17,16:49:44,RedAmber,I
29,24-Jun-17,16:49:44,RedAmber,I
30,24-Jun-17,16:49:44,RedAmber,I
31,24-Jun-17,16:49:44,RedAmber,I
32,24-Jun-17,16:49:45,RedAmber,I
33,24-Jun-17,16:49:45,RedAmber,I
34,24-Jun-17,16:49:45,RedAmber,I
35,24-Jun-17,16:49:45,RedAmber,I
36,24-Jun-17,16:49:46,RedAmber,I
37,24-Jun-17,16:49:46,RedAmber,I
38,24-Jun-17,16:49:46,RedAmber,I
39,24-Jun-17,16:49:46,RedAmber,I
40,24-Jun-17,16:49:46,RedAmber,I
41,24-Jun-17,16:49:46,RedAmber,I
42,24-Jun-17,16:49:47,RedAmber,I
43,24-Jun-17,16:49:47,RedAmber,I
44,24-Jun-17,16:49:47,RedAmber,I
45,24-Jun-17,16:49:47,RedAmber,I
46,24-Jun-17,16:49:48,RedAmber,I
47,24-Jun-17,16:49:48,RedAmber,I
48,24-Jun-17,16:49:48,RedAmber,I
49,24-Jun-17,16:49:48,RedAmber,I
50,24-Jun-17,16:49:48,RedAmber,I
51,24-Jun-17,16:49:48,RedAmber,I
52,24-Jun-17,16:49:49,RedAmber,I
53,24-Jun-17,16:49:49,RedAmber,I
54,24-Jun-17,16:49:49,RedAmber,I
55,24-Jun-17,16:49:49,RedAmber,I
56,24-Jun-17,16:49:49,RedAmber,I
57,24-Jun-17,16:49:50,RedAmber,I
58,24-Jun-17,16:49:50,RedAmber,I
59,24-Jun-17,16:49:50,RedAmber,I
60,24-Jun-17,16:49:50,RedAmber,I
61,24-Jun-17,16:49:51,RedAmber,I
62,24-Jun-17,16:49:51,RedAmber,I
63,24-Jun-17,16:49:51,RedAmber,I
64,24-Jun-17,16:49:51,RedAmber,I
65,24-Jun-17,16:49:51,RedAmber,I
66,24-Jun-17,16:49:51,RedAmber,I
67,24-Jun-17,16:49:52,RedAmber,I
68,24-Jun-17,16:49:52,RedAmber,I
69,24-Jun-17,16:49:52,RedAmber,I
70,24-Jun-17,16:49:52,RedAmber,I
71,24-Jun-17,16:49:53,RedAmber,I
72,24-Jun-17,16:49:53,RedAmber,I
73,24-Jun-17,16:49:53,RedAmber,I
74,24-Jun-17,16:49:53,RedAmber,I
75,24-Jun-17,16:49:53,RedAmber,I
76,24-Jun-17,16:49:54,RedAmber,I
77,24-Jun-17,16:49:54,RedAmber,I
78,24-Jun-17,16:49:54,RedAmber,I
79,24-Jun-17,16:49:54,RedAmber,I
80,24-Jun-17,16:49:54,RedAmber,I
81,24-Jun-17,16:49:54,RedAmber,I
82,24-Jun-17,16:49:55,RedAmber,I
83,24-Jun-17,16:49:55,RedAmber,I
84,24-Jun-17,16:49:55,RedAmber,I
85,24-Jun-17,16:49:55,RedAmber,I
86,24-Jun-17,16:49:55,RedAmber,I
87,24-Jun-17,16:49:56,RedAmber,I
88,24-Jun-17,16:49:56,RedAmber,I
89,24-Jun-17,16:49:56,RedAmber,I
90,24-Jun-17,16:49:56,RedAmber,I
91,24-Jun-17,16:49:57,RedAmber,I
92,24-Jun-17,16:49:57,RedAmber,I
93,24-Jun-17,16:49:57,RedAmber,I
94,24-Jun-17,16:49:57,RedAmber,I
95,24-Jun-17,16:49:57,RedAmber,I
96,24-Jun-17,16:49:57,RedAmber,I
97,24-Jun-17,16:49:58,RedAmber,I
98,24-Jun-17,16:49:58,RedAmber,I
99,24-Jun-17,16:49:58,RedAmber,I
100,24-Jun-17,16:49:58,RedAmber,I
101,24-Jun-17,16:49:58,RedAmber,I
102,24-Jun-17,16:49:59,RedAmber,I
103,24-Jun-17,16:49:59,RedAmber,I
104,24-Jun-17,16:49:59,RedAmber,I
105,24-Jun-17,16:49:59,RedAmber,I
106,24-Jun-17,16:50:00,RedAmber,I
107,24-Jun-17,16:50:00,RedAmber,I
108,24-Jun-17,16:50:00,RedAmber,I
109,24-Jun-17,16:50:00,RedAmber,I
110,24-Jun-17,16:50:01,RedAmber,I
111,24-Jun-17,16:50:01,RedAmber,I
112,24-Jun-17,16:50:01,RedAmber,I
113,24-Jun-17,16:50:01,RedAmber,I
114,24-Jun-17,16:50:01,RedAmber,I
115,24-Jun-17,16:50:01,RedAmber,I
116,24-Jun-17,16:50:01,RedAmber,I
117,24-Jun-17,16:50:02,RedAmber,I
118,24-Jun-17,16:50:02,RedAmber,I
119,24-Jun-17,16:50:02,RedAmber,I
120,24-Jun-17,16:50:02,RedAmber,I
121,24-Jun-17,16:50:02,RedAmber,I
122,24-Jun-17,16:50:03,RedAmber,I
123,24-Jun-17,16:50:03,RedAmber,I
124,24-Jun-17,16:50:03,RedAmber,I
125,24-Jun-17,16:50:03,RedAmber,I
126,24-Jun-17,16:50:04,RedAmber,I
127,24-Jun-17,16:50:04,RedAmber,I
128,24-Jun-17,16:50:04,RedAmber,I
129,24-Jun-17,16:50:04,RedAmber,I
130,24-Jun-17,16:50:04,RedAmber,I
131,24-Jun-17,16:50:04,RedAmber,I
132,24-Jun-17,16:50:05,RedAmber,I
133,24-Jun-17,16:50:05,RedAmber,I
134,24-Jun-17,16:50:05,RedAmber,I
135,24-Jun-17,16:50:05,RedAmber,I
136,24-Jun-17,16:50:05,RedAmber,I
137,24-Jun-17,16:50:06,RedAmber,I
138,24-Jun-17,16:50:06,RedAmber,I
139,24-Jun-17,16:50:06,RedAmber,I
140,24-Jun-17,16:50:06,RedAmber,I
141,24-Jun-17,16:50:07,RedAmber,I
142,24-Jun-17,16:50:07,RedAmber,I
143,24-Jun-17,16:50:07,RedAmber,I
144,24-Jun-17,16:50:07,RedAmber,I
145,24-Jun-17,16:50:07,RedAmber,I
146,24-Jun-17,16:50:08,RedAmber,I
147,24-Jun-17,16:50:08,RedAmber,I
148,24-Jun-17,16:50:08,RedAmber,I
149,24-Jun-17,16:50:08,RedAmber,I
150,24-Jun-17,16:50:08,RedAmber,I
151,24-Jun-17,16:50:08,RedAmber,I
152,24-Jun-17,16:50:09,RedAmber,I
153,24-Jun-17,16:50:09,RedAmber,I
154,24-Jun-17,16:50:09,RedAmber,I
155,24-Jun-17,16:50:09,RedAmber,I
156,24-Jun-17,16:50:09,RedAmber,I
157,24-Jun-17,16:50:10,RedAmber,I
158,24-Jun-17,16:50:10,RedAmber,I
159,24-Jun-17,16:50:10,RedAmber,I
160,24-Jun-17,16:50:10,RedAmber,I
161,24-Jun-17,16:50:11,RedAmber,I
162,24-Jun-17,16:50:11,RedAmber,I
163,24-Jun-17,16:50:11,RedAmber,I
164,24-Jun-17,16:50:11,RedAmber,I
165,24-Jun-17,16:50:11,RedAmber,I
166,24-Jun-17,16:50:12,RedAmber,I
167,24-Jun-17,16:50:12,RedAmber,I
168,24-Jun-17,16:50:12,RedAmber,I
169,24-Jun-17,16:50:12,RedAmber,I
170,24-Jun-17,16:50:12,RedAmber,I
171,24-Jun-17,16:50:12,RedAmber,I
172,24-Jun-17,16:50:13,RedAmber,I
173,24-Jun-17,16:50:13,RedAmber,I
174,24-Jun-17,16:50:13,RedAmber,I
175,24-Jun-17,16:50:13,RedAmber,I
176,24-Jun-17,16:50:13,RedAmber,I
177,24-Jun-17,16:50:14,RedAmber,I
178,24-Jun-17,16:50:14,RedAmber,I
179,24-Jun-17,16:50:14,RedAmber,I
180,24-Jun-17,16:50:14,RedAmber,I
181,24-Jun-17,16:50:15,RedAmber,I
182,24-Jun-17,16:50:15,RedAmber,I
183,24-Jun-17,16:50:15,RedAmber,I
184,24-Jun-17,16:50:15,RedAmber,I
185,24-Jun-17,16:50:16,RedAmber,I
186,24-Jun-17,16:50:16,RedAmber,I
187,24-Jun-17,16:50:16,RedAmber,I
188,24-Jun-17,16:50:16,RedAmber,I
189,24-Jun-17,16:50:16,RedAmber,I
190,24-Jun-17,16:50:16,RedAmber,I
191,24-Jun-17,16:50:16,RedAmber,I
192,24-Jun-17,16:50:17,RedAmber,I
193,24-Jun-17,16:50:17,RedAmber,I
194,24-Jun-17,16:50:17,RedAmber,I
195,24-Jun-17,16:50:17,RedAmber,I
196,24-Jun-17,16:50:17,RedAmber,I
197,24-Jun-17,16:50:18,RedAmber,I
