,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
292,24-Jun-17,16:50:31,0,1,0,Amber,A
293,24-Jun-17,16:50:31,0,1,0,Amber,A
294,24-Jun-17,16:50:32,0,1,0,Amber,A
295,24-Jun-17,16:50:32,0,1,0,Amber,A
296,24-Jun-17,16:50:32,0,1,0,Amber,A
297,24-Jun-17,16:50:32,0,1,0,Amber,A
298,24-Jun-17,16:50:32,0,1,0,Amber,A
299,24-Jun-17,16:50:33,0,1,0,Amber,A
300,24-Jun-17,16:50:33,0,1,0,Amber,A
301,24-Jun-17,16:50:33,0,1,0,Amber,A
302,24-Jun-17,16:50:33,0,1,0,Amber,A
303,24-Jun-17,16:50:34,0,1,0,Amber,A
304,24-Jun-17,16:50:34,0,1,0,Amber,A
305,24-Jun-17,16:50:34,0,1,0,Amber,A
306,24-Jun-17,16:50:34,0,1,0,Amber,A
712,24-Jun-17,16:51:55,0,1,0,Amber,A
713,24-Jun-17,16:51:56,0,1,0,Amber,A
714,24-Jun-17,16:51:56,0,1,0,Amber,A
715,24-Jun-17,16:51:56,0,1,0,Amber,A
716,24-Jun-17,16:51:56,0,1,0,Amber,A
717,24-Jun-17,16:51:56,0,1,0,Amber,A
718,24-Jun-17,16:51:57,0,1,0,Amber,A
719,24-Jun-17,16:51:57,0,1,0,Amber,A
720,24-Jun-17,16:51:57,0,1,0,Amber,A
721,24-Jun-17,16:51:57,0,1,0,Amber,A
722,24-Jun-17,16:51:58,0,1,0,Amber,A
723,24-Jun-17,16:51:58,0,1,0,Amber,A
724,24-Jun-17,16:51:58,0,1,0,Amber,A
725,24-Jun-17,16:51:58,0,1,0,Amber,A
726,24-Jun-17,16:51:59,0,1,0,Amber,A
1012,24-Jun-17,16:52:56,0,1,0,Amber,A
1013,24-Jun-17,16:52:56,0,1,0,Amber,A
1014,24-Jun-17,16:52:56,0,1,0,Amber,A
1015,24-Jun-17,16:52:56,0,1,0,Amber,A
1016,24-Jun-17,16:52:56,0,1,0,Amber,A
1017,24-Jun-17,16:52:57,0,1,0,Amber,A
1018,24-Jun-17,16:52:57,0,1,0,Amber,A
1019,24-Jun-17,16:52:57,0,1,0,Amber,A
1020,24-Jun-17,16:52:57,0,1,0,Amber,A
1021,24-Jun-17,16:52:57,0,1,0,Amber,A
1022,24-Jun-17,16:52:57,0,1,0,Amber,A
1023,24-Jun-17,16:52:58,0,1,0,Amber,A
1024,24-Jun-17,16:52:58,0,1,0,Amber,A
1025,24-Jun-17,16:52:58,0,1,0,Amber,A
1026,24-Jun-17,16:52:58,0,1,0,Amber,A
1312,24-Jun-17,16:53:55,0,1,0,Amber,A
1313,24-Jun-17,16:53:55,0,1,0,Amber,A
1314,24-Jun-17,16:53:56,0,1,0,Amber,A
1315,24-Jun-17,16:53:56,0,1,0,Amber,A
1316,24-Jun-17,16:53:56,0,1,0,Amber,A
1317,24-Jun-17,16:53:56,0,1,0,Amber,A
1318,24-Jun-17,16:53:57,0,1,0,Amber,A
1319,24-Jun-17,16:53:57,0,1,0,Amber,A
1320,24-Jun-17,16:53:57,0,1,0,Amber,A
1321,24-Jun-17,16:53:57,0,1,0,Amber,A
1322,24-Jun-17,16:53:57,0,1,0,Amber,A
1323,24-Jun-17,16:53:58,0,1,0,Amber,A
1324,24-Jun-17,16:53:58,0,1,0,Amber,A
1325,24-Jun-17,16:53:58,0,1,0,Amber,A
1326,24-Jun-17,16:53:58,0,1,0,Amber,A
1612,24-Jun-17,16:54:55,0,1,0,Amber,A
1613,24-Jun-17,16:54:55,0,1,0,Amber,A
