,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
94,03-Jun-17,10:08:47,0,0,1,3,A
95,03-Jun-17,10:08:47,0,0,1,3,A
96,03-Jun-17,10:08:47,0,0,1,3,A
97,03-Jun-17,10:08:47,0,0,1,3,A
98,03-Jun-17,10:08:48,0,0,1,3,A
99,03-Jun-17,10:08:48,0,0,1,3,A
100,03-Jun-17,10:08:48,0,0,1,3,A
101,03-Jun-17,10:08:48,0,0,1,3,A
102,03-Jun-17,10:08:48,0,0,1,3,A
103,03-Jun-17,10:08:48,0,0,1,3,A
104,03-Jun-17,10:08:49,0,0,1,3,A
105,03-Jun-17,10:08:49,0,0,1,3,A
106,03-Jun-17,10:08:49,0,0,1,3,A
107,03-Jun-17,10:08:49,0,0,1,3,A
108,03-Jun-17,10:08:50,0,0,1,3,A
109,03-Jun-17,10:08:50,0,0,1,3,A
110,03-Jun-17,10:08:50,0,0,1,3,A
111,03-Jun-17,10:08:50,0,0,1,3,A
112,03-Jun-17,10:08:50,0,0,1,3,A
113,03-Jun-17,10:08:50,0,0,1,3,A
114,03-Jun-17,10:08:51,0,0,1,3,A
115,03-Jun-17,10:08:51,0,0,1,3,A
116,03-Jun-17,10:08:51,0,0,1,3,A
117,03-Jun-17,10:08:51,0,0,1,3,A
118,03-Jun-17,10:08:51,0,0,1,3,A
119,03-Jun-17,10:08:52,0,0,1,3,A
120,03-Jun-17,10:08:52,0,0,1,3,A
121,03-Jun-17,10:08:52,0,0,1,3,A
122,03-Jun-17,10:08:52,0,0,1,3,A
123,03-Jun-17,10:08:53,0,0,1,3,A
124,03-Jun-17,10:08:53,0,0,1,3,A
125,03-Jun-17,10:08:53,0,0,1,3,A
126,03-Jun-17,10:08:53,0,0,1,3,A
127,03-Jun-17,10:08:53,0,0,1,3,A
128,03-Jun-17,10:08:54,0,0,1,3,A
129,03-Jun-17,10:08:54,0,0,1,3,A
130,03-Jun-17,10:08:54,0,0,1,3,A
131,03-Jun-17,10:08:54,0,0,1,3,A
132,03-Jun-17,10:08:55,0,0,1,3,A
133,03-Jun-17,10:08:55,0,0,1,3,A
134,03-Jun-17,10:08:55,0,0,1,3,A
135,03-Jun-17,10:08:55,0,0,1,3,A
136,03-Jun-17,10:08:55,0,0,1,3,A
137,03-Jun-17,10:08:55,0,0,1,3,A
138,03-Jun-17,10:08:55,0,0,1,3,A
139,03-Jun-17,10:08:56,0,0,1,3,A
140,03-Jun-17,10:08:56,0,0,1,3,A
141,03-Jun-17,10:08:56,0,0,1,3,A
142,03-Jun-17,10:08:56,0,0,1,3,A
143,03-Jun-17,10:08:57,0,0,1,3,A
144,03-Jun-17,10:08:57,0,0,1,3,A
145,03-Jun-17,10:08:57,0,0,1,3,A
146,03-Jun-17,10:08:57,0,0,1,3,A
147,03-Jun-17,10:08:57,0,0,1,3,A
148,03-Jun-17,10:08:58,0,0,1,3,A
149,03-Jun-17,10:08:58,0,0,1,3,A
150,03-Jun-17,10:08:58,0,0,1,3,A
151,03-Jun-17,10:08:58,0,0,1,3,A
152,03-Jun-17,10:08:59,0,0,1,3,A
153,03-Jun-17,10:08:59,0,0,1,3,A
154,03-Jun-17,10:08:59,0,0,1,3,A
155,03-Jun-17,10:08:59,0,0,1,3,A
156,03-Jun-17,10:08:59,0,0,1,3,A
157,03-Jun-17,10:08:59,0,0,1,3,A
158,03-Jun-17,10:08:59,0,0,1,3,A
159,03-Jun-17,10:09:00,0,0,1,3,A
160,03-Jun-17,10:09:00,0,0,1,3,A
161,03-Jun-17,10:09:00,0,0,1,3,A
162,03-Jun-17,10:09:00,0,0,1,3,A
163,03-Jun-17,10:09:01,0,0,1,3,A
164,03-Jun-17,10:09:01,0,0,1,3,A
165,03-Jun-17,10:09:01,0,0,1,3,A
166,03-Jun-17,10:09:01,0,0,1,3,A
167,03-Jun-17,10:09:01,0,0,1,3,A
168,03-Jun-17,10:09:02,0,0,1,3,A
169,03-Jun-17,10:09:02,0,0,1,3,A
170,03-Jun-17,10:09:02,0,0,1,3,A
171,03-Jun-17,10:09:02,0,0,1,3,A
172,03-Jun-17,10:09:03,0,0,1,3,A
173,03-Jun-17,10:09:03,0,0,1,3,A
174,03-Jun-17,10:09:03,0,0,1,3,A
175,03-Jun-17,10:09:03,0,0,1,3,A
176,03-Jun-17,10:09:03,0,0,1,3,A
177,03-Jun-17,10:09:03,0,0,1,3,A
178,03-Jun-17,10:09:03,0,0,1,3,A
179,03-Jun-17,10:09:04,0,0,1,3,A
180,03-Jun-17,10:09:04,0,0,1,3,A
181,03-Jun-17,10:09:04,0,0,1,3,A
182,03-Jun-17,10:09:04,0,0,1,3,A
183,03-Jun-17,10:09:04,0,0,1,3,A
184,03-Jun-17,10:09:05,0,0,1,3,A
185,03-Jun-17,10:09:05,0,0,1,3,A
186,03-Jun-17,10:09:05,0,0,1,3,A
187,03-Jun-17,10:09:05,0,0,1,3,A
188,03-Jun-17,10:09:06,0,0,1,3,A
189,03-Jun-17,10:09:06,0,0,1,3,A
190,03-Jun-17,10:09:06,0,0,1,3,A
191,03-Jun-17,10:09:06,0,0,1,3,A
192,03-Jun-17,10:09:06,0,0,1,3,A
193,03-Jun-17,10:09:06,0,0,1,3,A
194,03-Jun-17,10:09:07,0,0,1,3,A
195,03-Jun-17,10:09:07,0,0,1,3,A
196,03-Jun-17,10:09:07,0,0,1,3,A
197,03-Jun-17,10:09:07,0,0,1,3,A
198,03-Jun-17,10:09:08,0,0,1,3,A
199,03-Jun-17,10:09:08,0,0,1,3,A
200,03-Jun-17,10:09:08,0,0,1,3,A
201,03-Jun-17,10:09:08,0,0,1,3,A
202,03-Jun-17,10:09:08,0,0,1,3,A
203,03-Jun-17,10:09:09,0,0,1,3,A
204,03-Jun-17,10:09:09,0,0,1,3,A
205,03-Jun-17,10:09:09,0,0,1,3,A
206,03-Jun-17,10:09:09,0,0,1,3,A
207,03-Jun-17,10:09:09,0,0,1,3,A
208,03-Jun-17,10:09:09,0,0,1,3,A
209,03-Jun-17,10:09:10,0,0,1,3,A
210,03-Jun-17,10:09:10,0,0,1,3,A
211,03-Jun-17,10:09:10,0,0,1,3,A
212,03-Jun-17,10:09:10,0,0,1,3,A
213,03-Jun-17,10:09:10,0,0,1,3,A
