,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
502,03-Jun-17,10:10:08,1,1,0,1,A
503,03-Jun-17,10:10:08,1,1,0,1,A
504,03-Jun-17,10:10:09,1,1,0,1,A
505,03-Jun-17,10:10:09,1,1,0,1,A
506,03-Jun-17,10:10:09,1,1,0,1,A
507,03-Jun-17,10:10:09,1,1,0,1,A
508,03-Jun-17,10:10:10,1,1,0,1,A
509,03-Jun-17,10:10:10,1,1,0,1,A
510,03-Jun-17,10:10:10,1,1,0,1,A
511,03-Jun-17,10:10:10,1,1,0,1,A
802,03-Jun-17,10:11:08,1,1,0,1,A
803,03-Jun-17,10:11:09,1,1,0,1,A
804,03-Jun-17,10:11:09,1,1,0,1,A
805,03-Jun-17,10:11:09,1,1,0,1,A
806,03-Jun-17,10:11:09,1,1,0,1,A
807,03-Jun-17,10:11:09,1,1,0,1,A
808,03-Jun-17,10:11:10,1,1,0,1,A
809,03-Jun-17,10:11:10,1,1,0,1,A
810,03-Jun-17,10:11:10,1,1,0,1,A
811,03-Jun-17,10:11:10,1,1,0,1,A
1102,03-Jun-17,10:12:08,1,1,0,1,A
1103,03-Jun-17,10:12:08,1,1,0,1,A
1104,03-Jun-17,10:12:09,1,1,0,1,A
1105,03-Jun-17,10:12:09,1,1,0,1,A
1106,03-Jun-17,10:12:09,1,1,0,1,A
1107,03-Jun-17,10:12:09,1,1,0,1,A
1108,03-Jun-17,10:12:10,1,1,0,1,A
1109,03-Jun-17,10:12:10,1,1,0,1,A
1110,03-Jun-17,10:12:10,1,1,0,1,A
1111,03-Jun-17,10:12:10,1,1,0,1,A
1402,03-Jun-17,10:13:08,1,1,0,1,A
1403,03-Jun-17,10:13:09,1,1,0,1,A
1404,03-Jun-17,10:13:09,1,1,0,1,A
1405,03-Jun-17,10:13:09,1,1,0,1,A
1406,03-Jun-17,10:13:09,1,1,0,1,A
1407,03-Jun-17,10:13:10,1,1,0,1,A
1408,03-Jun-17,10:13:10,1,1,0,1,A
1409,03-Jun-17,10:13:10,1,1,0,1,A
1410,03-Jun-17,10:13:10,1,1,0,1,A
1411,03-Jun-17,10:13:10,1,1,0,1,A
1702,03-Jun-17,10:14:09,1,1,0,1,A
1703,03-Jun-17,10:14:09,1,1,0,1,A
1704,03-Jun-17,10:14:09,1,1,0,1,A
1705,03-Jun-17,10:14:09,1,1,0,1,A
1706,03-Jun-17,10:14:09,1,1,0,1,A
1707,03-Jun-17,10:14:09,1,1,0,1,A
1708,03-Jun-17,10:14:10,1,1,0,1,A
1709,03-Jun-17,10:14:10,1,1,0,1,A
1710,03-Jun-17,10:14:10,1,1,0,1,A
1711,03-Jun-17,10:14:10,1,1,0,1,A
2002,03-Jun-17,10:15:08,1,1,0,1,A
2003,03-Jun-17,10:15:08,1,1,0,1,A
2004,03-Jun-17,10:15:09,1,1,0,1,A
2005,03-Jun-17,10:15:09,1,1,0,1,A
2006,03-Jun-17,10:15:09,1,1,0,1,A
2007,03-Jun-17,10:15:09,1,1,0,1,A
2008,03-Jun-17,10:15:10,1,1,0,1,A
2009,03-Jun-17,10:15:10,1,1,0,1,A
2010,03-Jun-17,10:15:10,1,1,0,1,A
2011,03-Jun-17,10:15:10,1,1,0,1,A
2302,03-Jun-17,10:16:09,1,1,0,1,A
2303,03-Jun-17,10:16:09,1,1,0,1,A
2304,03-Jun-17,10:16:09,1,1,0,1,A
2305,03-Jun-17,10:16:09,1,1,0,1,A
2306,03-Jun-17,10:16:09,1,1,0,1,A
2307,03-Jun-17,10:16:09,1,1,0,1,A
2308,03-Jun-17,10:16:09,1,1,0,1,A
2309,03-Jun-17,10:16:10,1,1,0,1,A
2310,03-Jun-17,10:16:10,1,1,0,1,A
2311,03-Jun-17,10:16:10,1,1,0,1,A
2602,03-Jun-17,10:17:09,1,1,0,1,A
2603,03-Jun-17,10:17:09,1,1,0,1,A
2604,03-Jun-17,10:17:09,1,1,0,1,A
2605,03-Jun-17,10:17:09,1,1,0,1,A
2606,03-Jun-17,10:17:09,1,1,0,1,A
2607,03-Jun-17,10:17:10,1,1,0,1,A
2608,03-Jun-17,10:17:10,1,1,0,1,A
2609,03-Jun-17,10:17:10,1,1,0,1,A
2610,03-Jun-17,10:17:10,1,1,0,1,A
2611,03-Jun-17,10:17:10,1,1,0,1,A
2902,03-Jun-17,10:18:09,1,1,0,1,A
2903,03-Jun-17,10:18:09,1,1,0,1,A
2904,03-Jun-17,10:18:09,1,1,0,1,A
2905,03-Jun-17,10:18:09,1,1,0,1,A
2906,03-Jun-17,10:18:09,1,1,0,1,A
2907,03-Jun-17,10:18:10,1,1,0,1,A
2908,03-Jun-17,10:18:10,1,1,0,1,A
2909,03-Jun-17,10:18:10,1,1,0,1,A
2910,03-Jun-17,10:18:10,1,1,0,1,A
2911,03-Jun-17,10:18:10,1,1,0,1,A
3202,03-Jun-17,10:19:08,1,1,0,1,A
3203,03-Jun-17,10:19:08,1,1,0,1,A
3204,03-Jun-17,10:19:09,1,1,0,1,A
3205,03-Jun-17,10:19:09,1,1,0,1,A
3206,03-Jun-17,10:19:09,1,1,0,1,A
3207,03-Jun-17,10:19:09,1,1,0,1,A
3208,03-Jun-17,10:19:10,1,1,0,1,A
3209,03-Jun-17,10:19:10,1,1,0,1,A
3210,03-Jun-17,10:19:10,1,1,0,1,A
3211,03-Jun-17,10:19:10,1,1,0,1,A
3502,03-Jun-17,10:20:08,1,1,0,1,A
3503,03-Jun-17,10:20:08,1,1,0,1,A
3504,03-Jun-17,10:20:09,1,1,0,1,A
3505,03-Jun-17,10:20:09,1,1,0,1,A
3506,03-Jun-17,10:20:09,1,1,0,1,A
3507,03-Jun-17,10:20:09,1,1,0,1,A
3508,03-Jun-17,10:20:10,1,1,0,1,A
3509,03-Jun-17,10:20:10,1,1,0,1,A
3510,03-Jun-17,10:20:10,1,1,0,1,A
3511,03-Jun-17,10:20:10,1,1,0,1,A
3802,03-Jun-17,10:21:09,1,1,0,1,A
3803,03-Jun-17,10:21:09,1,1,0,1,A
3804,03-Jun-17,10:21:09,1,1,0,1,A
3805,03-Jun-17,10:21:09,1,1,0,1,A
3806,03-Jun-17,10:21:09,1,1,0,1,A
3807,03-Jun-17,10:21:10,1,1,0,1,A
3808,03-Jun-17,10:21:10,1,1,0,1,A
3809,03-Jun-17,10:21:10,1,1,0,1,A
3810,03-Jun-17,10:21:10,1,1,0,1,A
3811,03-Jun-17,10:21:10,1,1,0,1,A
4102,03-Jun-17,10:22:08,1,1,0,1,A
4103,03-Jun-17,10:22:09,1,1,0,1,A
4104,03-Jun-17,10:22:09,1,1,0,1,A
4105,03-Jun-17,10:22:09,1,1,0,1,A
4106,03-Jun-17,10:22:09,1,1,0,1,A
4107,03-Jun-17,10:22:09,1,1,0,1,A
4108,03-Jun-17,10:22:10,1,1,0,1,A
4109,03-Jun-17,10:22:10,1,1,0,1,A
4110,03-Jun-17,10:22:10,1,1,0,1,A
4111,03-Jun-17,10:22:10,1,1,0,1,A
4402,03-Jun-17,10:23:08,1,1,0,1,A
4403,03-Jun-17,10:23:09,1,1,0,1,A
4404,03-Jun-17,10:23:09,1,1,0,1,A
4405,03-Jun-17,10:23:09,1,1,0,1,A
4406,03-Jun-17,10:23:09,1,1,0,1,A
4407,03-Jun-17,10:23:10,1,1,0,1,A
4408,03-Jun-17,10:23:10,1,1,0,1,A
4409,03-Jun-17,10:23:10,1,1,0,1,A
4410,03-Jun-17,10:23:10,1,1,0,1,A
4411,03-Jun-17,10:23:10,1,1,0,1,A
4702,03-Jun-17,10:24:09,1,1,0,1,A
4703,03-Jun-17,10:24:09,1,1,0,1,A
4704,03-Jun-17,10:24:09,1,1,0,1,A
4705,03-Jun-17,10:24:09,1,1,0,1,A
4706,03-Jun-17,10:24:10,1,1,0,1,A
4707,03-Jun-17,10:24:10,1,1,0,1,A
4708,03-Jun-17,10:24:10,1,1,0,1,A
4709,03-Jun-17,10:24:10,1,1,0,1,A
4710,03-Jun-17,10:24:10,1,1,0,1,A
4711,03-Jun-17,10:24:10,1,1,0,1,A
5002,03-Jun-17,10:25:08,1,1,0,1,A
5003,03-Jun-17,10:25:09,1,1,0,1,A
5004,03-Jun-17,10:25:09,1,1,0,1,A
5005,03-Jun-17,10:25:09,1,1,0,1,A
5006,03-Jun-17,10:25:09,1,1,0,1,A
5007,03-Jun-17,10:25:10,1,1,0,1,A
5008,03-Jun-17,10:25:10,1,1,0,1,A
5009,03-Jun-17,10:25:10,1,1,0,1,A
5010,03-Jun-17,10:25:10,1,1,0,1,A
5011,03-Jun-17,10:25:10,1,1,0,1,A
5302,03-Jun-17,10:26:08,1,1,0,1,A
5303,03-Jun-17,10:26:09,1,1,0,1,A
5304,03-Jun-17,10:26:09,1,1,0,1,A
5305,03-Jun-17,10:26:09,1,1,0,1,A
5306,03-Jun-17,10:26:09,1,1,0,1,A
5307,03-Jun-17,10:26:10,1,1,0,1,A
5308,03-Jun-17,10:26:10,1,1,0,1,A
5309,03-Jun-17,10:26:10,1,1,0,1,A
5310,03-Jun-17,10:26:10,1,1,0,1,A
5311,03-Jun-17,10:26:10,1,1,0,1,A
5602,03-Jun-17,10:27:09,1,1,0,1,A
5603,03-Jun-17,10:27:09,1,1,0,1,A
5604,03-Jun-17,10:27:09,1,1,0,1,A
5605,03-Jun-17,10:27:09,1,1,0,1,A
5606,03-Jun-17,10:27:09,1,1,0,1,A
5607,03-Jun-17,10:27:09,1,1,0,1,A
5608,03-Jun-17,10:27:09,1,1,0,1,A
5609,03-Jun-17,10:27:10,1,1,0,1,A
5610,03-Jun-17,10:27:10,1,1,0,1,A
5611,03-Jun-17,10:27:10,1,1,0,1,A
5902,03-Jun-17,10:28:08,1,1,0,1,A
5903,03-Jun-17,10:28:08,1,1,0,1,A
5904,03-Jun-17,10:28:09,1,1,0,1,A
5905,03-Jun-17,10:28:09,1,1,0,1,A
5906,03-Jun-17,10:28:09,1,1,0,1,A
