,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
307,24-Jun-17,16:50:34,1,0,0,Red,A
308,24-Jun-17,16:50:35,1,0,0,Red,A
309,24-Jun-17,16:50:35,1,0,0,Red,A
310,24-Jun-17,16:50:35,1,0,0,Red,A
311,24-Jun-17,16:50:35,1,0,0,Red,A
312,24-Jun-17,16:50:35,1,0,0,Red,A
313,24-Jun-17,16:50:35,1,0,0,Red,A
314,24-Jun-17,16:50:36,1,0,0,Red,A
315,24-Jun-17,16:50:36,1,0,0,Red,A
316,24-Jun-17,16:50:36,1,0,0,Red,A
317,24-Jun-17,16:50:36,1,0,0,Red,A
318,24-Jun-17,16:50:36,1,0,0,Red,A
319,24-Jun-17,16:50:37,1,0,0,Red,A
320,24-Jun-17,16:50:37,1,0,0,Red,A
321,24-Jun-17,16:50:37,1,0,0,Red,A
322,24-Jun-17,16:50:37,1,0,0,Red,A
323,24-Jun-17,16:50:38,1,0,0,Red,A
324,24-Jun-17,16:50:38,1,0,0,Red,A
325,24-Jun-17,16:50:38,1,0,0,Red,A
326,24-Jun-17,16:50:38,1,0,0,Red,A
327,24-Jun-17,16:50:38,1,0,0,Red,A
328,24-Jun-17,16:50:39,1,0,0,Red,A
329,24-Jun-17,16:50:39,1,0,0,Red,A
330,24-Jun-17,16:50:39,1,0,0,Red,A
331,24-Jun-17,16:50:39,1,0,0,Red,A
332,24-Jun-17,16:50:39,1,0,0,Red,A
333,24-Jun-17,16:50:40,1,0,0,Red,A
334,24-Jun-17,16:50:40,1,0,0,Red,A
335,24-Jun-17,16:50:40,1,0,0,Red,A
336,24-Jun-17,16:50:40,1,0,0,Red,A
337,24-Jun-17,16:50:40,1,0,0,Red,A
338,24-Jun-17,16:50:40,1,0,0,Red,A
339,24-Jun-17,16:50:41,1,0,0,Red,A
340,24-Jun-17,16:50:41,1,0,0,Red,A
341,24-Jun-17,16:50:41,1,0,0,Red,A
342,24-Jun-17,16:50:41,1,0,0,Red,A
343,24-Jun-17,16:50:41,1,0,0,Red,A
344,24-Jun-17,16:50:42,1,0,0,Red,A
345,24-Jun-17,16:50:42,1,0,0,Red,A
346,24-Jun-17,16:50:42,1,0,0,Red,A
347,24-Jun-17,16:50:42,1,0,0,Red,A
348,24-Jun-17,16:50:43,1,0,0,Red,A
349,24-Jun-17,16:50:43,1,0,0,Red,A
350,24-Jun-17,16:50:43,1,0,0,Red,A
351,24-Jun-17,16:50:43,1,0,0,Red,A
352,24-Jun-17,16:50:43,1,0,0,Red,A
353,24-Jun-17,16:50:44,1,0,0,Red,A
354,24-Jun-17,16:50:44,1,0,0,Red,A
355,24-Jun-17,16:50:44,1,0,0,Red,A
356,24-Jun-17,16:50:44,1,0,0,Red,A
357,24-Jun-17,16:50:44,1,0,0,Red,A
358,24-Jun-17,16:50:44,1,0,0,Red,A
359,24-Jun-17,16:50:45,1,0,0,Red,A
360,24-Jun-17,16:50:45,1,0,0,Red,A
361,24-Jun-17,16:50:45,1,0,0,Red,A
362,24-Jun-17,16:50:45,1,0,0,Red,A
363,24-Jun-17,16:50:46,1,0,0,Red,A
364,24-Jun-17,16:50:46,1,0,0,Red,A
365,24-Jun-17,16:50:46,1,0,0,Red,A
366,24-Jun-17,16:50:46,1,0,0,Red,A
367,24-Jun-17,16:50:46,1,0,0,Red,A
368,24-Jun-17,16:50:47,1,0,0,Red,A
369,24-Jun-17,16:50:47,1,0,0,Red,A
370,24-Jun-17,16:50:47,1,0,0,Red,A
371,24-Jun-17,16:50:47,1,0,0,Red,A
372,24-Jun-17,16:50:48,1,0,0,Red,A
373,24-Jun-17,16:50:48,1,0,0,Red,A
374,24-Jun-17,16:50:48,1,0,0,Red,A
375,24-Jun-17,16:50:48,1,0,0,Red,A
376,24-Jun-17,16:50:48,1,0,0,Red,A
377,24-Jun-17,16:50:48,1,0,0,Red,A
378,24-Jun-17,16:50:48,1,0,0,Red,A
