,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
292,03-Jun-17,10:09:26,0,1,0,2,B
293,03-Jun-17,10:09:27,0,1,0,2,B
294,03-Jun-17,10:09:27,0,1,0,2,B
295,03-Jun-17,10:09:27,0,1,0,2,B
296,03-Jun-17,10:09:27,0,1,0,2,B
297,03-Jun-17,10:09:28,0,1,0,2,B
298,03-Jun-17,10:09:28,0,1,0,2,B
299,03-Jun-17,10:09:28,0,1,0,2,B
300,03-Jun-17,10:09:28,0,1,0,2,B
301,03-Jun-17,10:09:28,0,1,0,2,B
302,03-Jun-17,10:09:28,0,1,0,2,B
303,03-Jun-17,10:09:28,0,1,0,2,B
304,03-Jun-17,10:09:29,0,1,0,2,B
305,03-Jun-17,10:09:29,0,1,0,2,B
306,03-Jun-17,10:09:29,0,1,0,2,B
712,03-Jun-17,10:10:50,0,1,0,2,B
713,03-Jun-17,10:10:51,0,1,0,2,B
714,03-Jun-17,10:10:51,0,1,0,2,B
715,03-Jun-17,10:10:51,0,1,0,2,B
716,03-Jun-17,10:10:51,0,1,0,2,B
717,03-Jun-17,10:10:52,0,1,0,2,B
718,03-Jun-17,10:10:52,0,1,0,2,B
719,03-Jun-17,10:10:52,0,1,0,2,B
720,03-Jun-17,10:10:52,0,1,0,2,B
721,03-Jun-17,10:10:52,0,1,0,2,B
722,03-Jun-17,10:10:52,0,1,0,2,B
723,03-Jun-17,10:10:52,0,1,0,2,B
724,03-Jun-17,10:10:53,0,1,0,2,B
725,03-Jun-17,10:10:53,0,1,0,2,B
726,03-Jun-17,10:10:53,0,1,0,2,B
1012,03-Jun-17,10:11:51,0,1,0,2,B
1013,03-Jun-17,10:11:51,0,1,0,2,B
1014,03-Jun-17,10:11:51,0,1,0,2,B
1015,03-Jun-17,10:11:51,0,1,0,2,B
1016,03-Jun-17,10:11:51,0,1,0,2,B
1017,03-Jun-17,10:11:51,0,1,0,2,B
1018,03-Jun-17,10:11:52,0,1,0,2,B
1019,03-Jun-17,10:11:52,0,1,0,2,B
1020,03-Jun-17,10:11:52,0,1,0,2,B
1021,03-Jun-17,10:11:52,0,1,0,2,B
1022,03-Jun-17,10:11:53,0,1,0,2,B
1023,03-Jun-17,10:11:53,0,1,0,2,B
1024,03-Jun-17,10:11:53,0,1,0,2,B
1025,03-Jun-17,10:11:53,0,1,0,2,B
1026,03-Jun-17,10:11:54,0,1,0,2,B
1312,03-Jun-17,10:12:51,0,1,0,2,B
1313,03-Jun-17,10:12:51,0,1,0,2,B
1314,03-Jun-17,10:12:51,0,1,0,2,B
1315,03-Jun-17,10:12:51,0,1,0,2,B
1316,03-Jun-17,10:12:51,0,1,0,2,B
1317,03-Jun-17,10:12:52,0,1,0,2,B
1318,03-Jun-17,10:12:52,0,1,0,2,B
1319,03-Jun-17,10:12:52,0,1,0,2,B
1320,03-Jun-17,10:12:52,0,1,0,2,B
1321,03-Jun-17,10:12:52,0,1,0,2,B
1322,03-Jun-17,10:12:52,0,1,0,2,B
1323,03-Jun-17,10:12:53,0,1,0,2,B
