,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
502,24-Jun-17,16:51:13,1,1,0,RedAmber,B
503,24-Jun-17,16:51:14,1,1,0,RedAmber,B
504,24-Jun-17,16:51:14,1,1,0,RedAmber,B
505,24-Jun-17,16:51:14,1,1,0,RedAmber,B
506,24-Jun-17,16:51:14,1,1,0,RedAmber,B
507,24-Jun-17,16:51:15,1,1,0,RedAmber,B
508,24-Jun-17,16:51:15,1,1,0,RedAmber,B
509,24-Jun-17,16:51:15,1,1,0,RedAmber,B
510,24-Jun-17,16:51:15,1,1,0,RedAmber,B
511,24-Jun-17,16:51:15,1,1,0,RedAmber,B
802,24-Jun-17,16:52:13,1,1,0,RedAmber,B
803,24-Jun-17,16:52:14,1,1,0,RedAmber,B
804,24-Jun-17,16:52:14,1,1,0,RedAmber,B
805,24-Jun-17,16:52:14,1,1,0,RedAmber,B
806,24-Jun-17,16:52:14,1,1,0,RedAmber,B
807,24-Jun-17,16:52:14,1,1,0,RedAmber,B
808,24-Jun-17,16:52:15,1,1,0,RedAmber,B
809,24-Jun-17,16:52:15,1,1,0,RedAmber,B
810,24-Jun-17,16:52:15,1,1,0,RedAmber,B
811,24-Jun-17,16:52:15,1,1,0,RedAmber,B
1102,24-Jun-17,16:53:13,1,1,0,RedAmber,B
1103,24-Jun-17,16:53:13,1,1,0,RedAmber,B
1104,24-Jun-17,16:53:14,1,1,0,RedAmber,B
1105,24-Jun-17,16:53:14,1,1,0,RedAmber,B
1106,24-Jun-17,16:53:14,1,1,0,RedAmber,B
1107,24-Jun-17,16:53:14,1,1,0,RedAmber,B
1108,24-Jun-17,16:53:14,1,1,0,RedAmber,B
1109,24-Jun-17,16:53:15,1,1,0,RedAmber,B
1110,24-Jun-17,16:53:15,1,1,0,RedAmber,B
1111,24-Jun-17,16:53:15,1,1,0,RedAmber,B
1402,24-Jun-17,16:54:13,1,1,0,RedAmber,B
1403,24-Jun-17,16:54:14,1,1,0,RedAmber,B
1404,24-Jun-17,16:54:14,1,1,0,RedAmber,B
1405,24-Jun-17,16:54:14,1,1,0,RedAmber,B
1406,24-Jun-17,16:54:14,1,1,0,RedAmber,B
1407,24-Jun-17,16:54:15,1,1,0,RedAmber,B
1408,24-Jun-17,16:54:15,1,1,0,RedAmber,B
1409,24-Jun-17,16:54:15,1,1,0,RedAmber,B
1410,24-Jun-17,16:54:15,1,1,0,RedAmber,B
1411,24-Jun-17,16:54:15,1,1,0,RedAmber,B
1702,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1703,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1704,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1705,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1706,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1707,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1708,24-Jun-17,16:55:14,1,1,0,RedAmber,B
1709,24-Jun-17,16:55:15,1,1,0,RedAmber,B
1710,24-Jun-17,16:55:15,1,1,0,RedAmber,B
1711,24-Jun-17,16:55:15,1,1,0,RedAmber,B
2002,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2003,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2004,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2005,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2006,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2007,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2008,24-Jun-17,16:56:14,1,1,0,RedAmber,B
2009,24-Jun-17,16:56:15,1,1,0,RedAmber,B
2010,24-Jun-17,16:56:15,1,1,0,RedAmber,B
2011,24-Jun-17,16:56:15,1,1,0,RedAmber,B
2302,24-Jun-17,16:57:13,1,1,0,RedAmber,B
2303,24-Jun-17,16:57:14,1,1,0,RedAmber,B
2304,24-Jun-17,16:57:14,1,1,0,RedAmber,B
2305,24-Jun-17,16:57:14,1,1,0,RedAmber,B
2306,24-Jun-17,16:57:14,1,1,0,RedAmber,B
2307,24-Jun-17,16:57:14,1,1,0,RedAmber,B
2308,24-Jun-17,16:57:15,1,1,0,RedAmber,B
2309,24-Jun-17,16:57:15,1,1,0,RedAmber,B
2310,24-Jun-17,16:57:15,1,1,0,RedAmber,B
2311,24-Jun-17,16:57:15,1,1,0,RedAmber,B
2602,24-Jun-17,16:58:13,1,1,0,RedAmber,B
2603,24-Jun-17,16:58:14,1,1,0,RedAmber,B
2604,24-Jun-17,16:58:14,1,1,0,RedAmber,B
2605,24-Jun-17,16:58:14,1,1,0,RedAmber,B
2606,24-Jun-17,16:58:14,1,1,0,RedAmber,B
2607,24-Jun-17,16:58:15,1,1,0,RedAmber,B
2608,24-Jun-17,16:58:15,1,1,0,RedAmber,B
2609,24-Jun-17,16:58:15,1,1,0,RedAmber,B
2610,24-Jun-17,16:58:15,1,1,0,RedAmber,B
2611,24-Jun-17,16:58:15,1,1,0,RedAmber,B
2902,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2903,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2904,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2905,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2906,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2907,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2908,24-Jun-17,16:59:14,1,1,0,RedAmber,B
2909,24-Jun-17,16:59:15,1,1,0,RedAmber,B
2910,24-Jun-17,16:59:15,1,1,0,RedAmber,B
2911,24-Jun-17,16:59:15,1,1,0,RedAmber,B
3202,24-Jun-17,17:00:13,1,1,0,RedAmber,B
3203,24-Jun-17,17:00:13,1,1,0,RedAmber,B
3204,24-Jun-17,17:00:14,1,1,0,RedAmber,B
3205,24-Jun-17,17:00:14,1,1,0,RedAmber,B
3206,24-Jun-17,17:00:14,1,1,0,RedAmber,B
3207,24-Jun-17,17:00:14,1,1,0,RedAmber,B
3208,24-Jun-17,17:00:15,1,1,0,RedAmber,B
3209,24-Jun-17,17:00:15,1,1,0,RedAmber,B
3210,24-Jun-17,17:00:15,1,1,0,RedAmber,B
3211,24-Jun-17,17:00:15,1,1,0,RedAmber,B
3502,24-Jun-17,17:01:13,1,1,0,RedAmber,B
3503,24-Jun-17,17:01:13,1,1,0,RedAmber,B
3504,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3505,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3506,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3507,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3508,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3509,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3510,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3511,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3802,24-Jun-17,17:02:13,1,1,0,RedAmber,B
3803,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3804,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3805,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3806,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3807,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3808,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3809,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3810,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3811,24-Jun-17,17:02:15,1,1,0,RedAmber,B
4102,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4103,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4104,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4105,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4106,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4107,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4108,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4109,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4110,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4111,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4402,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4403,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4404,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4405,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4406,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4407,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4408,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4409,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4410,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4411,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4702,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4703,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4704,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4705,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4706,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4707,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4708,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4709,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4710,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4711,24-Jun-17,17:18:01,1,1,0,RedAmber,B
5002,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5003,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5004,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5005,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5006,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5007,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5008,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5009,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5010,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5011,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5302,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5303,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5304,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5305,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5306,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5307,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5308,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5309,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5310,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5311,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5602,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5603,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5604,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5605,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5606,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5607,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5608,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5609,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5610,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5611,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5902,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5903,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5904,24-Jun-17,17:18:02,1,1,0,RedAmber,B
