,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
307,24-Jun-17,16:50:34,1,0,0,Red,B
308,24-Jun-17,16:50:35,1,0,0,Red,B
309,24-Jun-17,16:50:35,1,0,0,Red,B
310,24-Jun-17,16:50:35,1,0,0,Red,B
311,24-Jun-17,16:50:35,1,0,0,Red,B
312,24-Jun-17,16:50:35,1,0,0,Red,B
313,24-Jun-17,16:50:35,1,0,0,Red,B
314,24-Jun-17,16:50:36,1,0,0,Red,B
315,24-Jun-17,16:50:36,1,0,0,Red,B
316,24-Jun-17,16:50:36,1,0,0,Red,B
317,24-Jun-17,16:50:36,1,0,0,Red,B
318,24-Jun-17,16:50:36,1,0,0,Red,B
319,24-Jun-17,16:50:37,1,0,0,Red,B
320,24-Jun-17,16:50:37,1,0,0,Red,B
321,24-Jun-17,16:50:37,1,0,0,Red,B
322,24-Jun-17,16:50:37,1,0,0,Red,B
323,24-Jun-17,16:50:38,1,0,0,Red,B
324,24-Jun-17,16:50:38,1,0,0,Red,B
325,24-Jun-17,16:50:38,1,0,0,Red,B
326,24-Jun-17,16:50:38,1,0,0,Red,B
327,24-Jun-17,16:50:38,1,0,0,Red,B
328,24-Jun-17,16:50:39,1,0,0,Red,B
329,24-Jun-17,16:50:39,1,0,0,Red,B
330,24-Jun-17,16:50:39,1,0,0,Red,B
331,24-Jun-17,16:50:39,1,0,0,Red,B
332,24-Jun-17,16:50:39,1,0,0,Red,B
333,24-Jun-17,16:50:40,1,0,0,Red,B
334,24-Jun-17,16:50:40,1,0,0,Red,B
335,24-Jun-17,16:50:40,1,0,0,Red,B
336,24-Jun-17,16:50:40,1,0,0,Red,B
337,24-Jun-17,16:50:40,1,0,0,Red,B
338,24-Jun-17,16:50:40,1,0,0,Red,B
339,24-Jun-17,16:50:41,1,0,0,Red,B
340,24-Jun-17,16:50:41,1,0,0,Red,B
341,24-Jun-17,16:50:41,1,0,0,Red,B
342,24-Jun-17,16:50:41,1,0,0,Red,B
343,24-Jun-17,16:50:41,1,0,0,Red,B
344,24-Jun-17,16:50:42,1,0,0,Red,B
345,24-Jun-17,16:50:42,1,0,0,Red,B
346,24-Jun-17,16:50:42,1,0,0,Red,B
347,24-Jun-17,16:50:42,1,0,0,Red,B
348,24-Jun-17,16:50:43,1,0,0,Red,B
349,24-Jun-17,16:50:43,1,0,0,Red,B
350,24-Jun-17,16:50:43,1,0,0,Red,B
351,24-Jun-17,16:50:43,1,0,0,Red,B
352,24-Jun-17,16:50:43,1,0,0,Red,B
353,24-Jun-17,16:50:44,1,0,0,Red,B
354,24-Jun-17,16:50:44,1,0,0,Red,B
355,24-Jun-17,16:50:44,1,0,0,Red,B
356,24-Jun-17,16:50:44,1,0,0,Red,B
357,24-Jun-17,16:50:44,1,0,0,Red,B
358,24-Jun-17,16:50:44,1,0,0,Red,B
359,24-Jun-17,16:50:45,1,0,0,Red,B
360,24-Jun-17,16:50:45,1,0,0,Red,B
361,24-Jun-17,16:50:45,1,0,0,Red,B
362,24-Jun-17,16:50:45,1,0,0,Red,B
363,24-Jun-17,16:50:46,1,0,0,Red,B
364,24-Jun-17,16:50:46,1,0,0,Red,B
365,24-Jun-17,16:50:46,1,0,0,Red,B
366,24-Jun-17,16:50:46,1,0,0,Red,B
367,24-Jun-17,16:50:46,1,0,0,Red,B
368,24-Jun-17,16:50:47,1,0,0,Red,B
369,24-Jun-17,16:50:47,1,0,0,Red,B
370,24-Jun-17,16:50:47,1,0,0,Red,B
371,24-Jun-17,16:50:47,1,0,0,Red,B
372,24-Jun-17,16:50:48,1,0,0,Red,B
373,24-Jun-17,16:50:48,1,0,0,Red,B
374,24-Jun-17,16:50:48,1,0,0,Red,B
375,24-Jun-17,16:50:48,1,0,0,Red,B
376,24-Jun-17,16:50:48,1,0,0,Red,B
377,24-Jun-17,16:50:48,1,0,0,Red,B
378,24-Jun-17,16:50:48,1,0,0,Red,B
379,24-Jun-17,16:50:49,1,0,0,Red,B
380,24-Jun-17,16:50:49,1,0,0,Red,B
381,24-Jun-17,16:50:49,1,0,0,Red,B
382,24-Jun-17,16:50:49,1,0,0,Red,B
383,24-Jun-17,16:50:50,1,0,0,Red,B
384,24-Jun-17,16:50:50,1,0,0,Red,B
385,24-Jun-17,16:50:50,1,0,0,Red,B
386,24-Jun-17,16:50:50,1,0,0,Red,B
387,24-Jun-17,16:50:50,1,0,0,Red,B
388,24-Jun-17,16:50:51,1,0,0,Red,B
389,24-Jun-17,16:50:51,1,0,0,Red,B
390,24-Jun-17,16:50:51,1,0,0,Red,B
391,24-Jun-17,16:50:51,1,0,0,Red,B
392,24-Jun-17,16:50:51,1,0,0,Red,B
393,24-Jun-17,16:50:51,1,0,0,Red,B
394,24-Jun-17,16:50:52,1,0,0,Red,B
395,24-Jun-17,16:50:52,1,0,0,Red,B
396,24-Jun-17,16:50:52,1,0,0,Red,B
397,24-Jun-17,16:50:52,1,0,0,Red,B
398,24-Jun-17,16:50:52,1,0,0,Red,B
399,24-Jun-17,16:50:53,1,0,0,Red,B
400,24-Jun-17,16:50:53,1,0,0,Red,B
401,24-Jun-17,16:50:53,1,0,0,Red,B
402,24-Jun-17,16:50:53,1,0,0,Red,B
403,24-Jun-17,16:50:54,1,0,0,Red,B
404,24-Jun-17,16:50:54,1,0,0,Red,B
405,24-Jun-17,16:50:54,1,0,0,Red,B
406,24-Jun-17,16:50:54,1,0,0,Red,B
407,24-Jun-17,16:50:54,1,0,0,Red,B
408,24-Jun-17,16:50:55,1,0,0,Red,B
409,24-Jun-17,16:50:55,1,0,0,Red,B
410,24-Jun-17,16:50:55,1,0,0,Red,B
411,24-Jun-17,16:50:55,1,0,0,Red,B
412,24-Jun-17,16:50:55,1,0,0,Red,B
413,24-Jun-17,16:50:55,1,0,0,Red,B
414,24-Jun-17,16:50:56,1,0,0,Red,B
415,24-Jun-17,16:50:56,1,0,0,Red,B
416,24-Jun-17,16:50:56,1,0,0,Red,B
417,24-Jun-17,16:50:56,1,0,0,Red,B
418,24-Jun-17,16:50:56,1,0,0,Red,B
419,24-Jun-17,16:50:57,1,0,0,Red,B
420,24-Jun-17,16:50:57,1,0,0,Red,B
421,24-Jun-17,16:50:57,1,0,0,Red,B
422,24-Jun-17,16:50:57,1,0,0,Red,B
423,24-Jun-17,16:50:58,1,0,0,Red,B
424,24-Jun-17,16:50:58,1,0,0,Red,B
425,24-Jun-17,16:50:58,1,0,0,Red,B
426,24-Jun-17,16:50:58,1,0,0,Red,B
427,24-Jun-17,16:50:59,1,0,0,Red,B
428,24-Jun-17,16:50:59,1,0,0,Red,B
429,24-Jun-17,16:50:59,1,0,0,Red,B
430,24-Jun-17,16:50:59,1,0,0,Red,B
431,24-Jun-17,16:50:59,1,0,0,Red,B
432,24-Jun-17,16:50:59,1,0,0,Red,B
433,24-Jun-17,16:50:59,1,0,0,Red,B
434,24-Jun-17,16:51:00,1,0,0,Red,B
435,24-Jun-17,16:51:00,1,0,0,Red,B
436,24-Jun-17,16:51:00,1,0,0,Red,B
437,24-Jun-17,16:51:01,1,0,0,Red,B
438,24-Jun-17,16:51:01,1,0,0,Red,B
439,24-Jun-17,16:51:01,1,0,0,Red,B
440,24-Jun-17,16:51:01,1,0,0,Red,B
441,24-Jun-17,16:51:01,1,0,0,Red,B
442,24-Jun-17,16:51:02,1,0,0,Red,B
443,24-Jun-17,16:51:02,1,0,0,Red,B
444,24-Jun-17,16:51:02,1,0,0,Red,B
445,24-Jun-17,16:51:02,1,0,0,Red,B
446,24-Jun-17,16:51:02,1,0,0,Red,B
447,24-Jun-17,16:51:02,1,0,0,Red,B
448,24-Jun-17,16:51:03,1,0,0,Red,B
