,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
362,03-Jun-17,10:09:40,0,1,0,2,C
363,03-Jun-17,10:09:40,0,1,0,2,C
364,03-Jun-17,10:09:41,0,1,0,2,C
365,03-Jun-17,10:09:41,0,1,0,2,C
366,03-Jun-17,10:09:41,0,1,0,2,C
367,03-Jun-17,10:09:41,0,1,0,2,C
368,03-Jun-17,10:09:42,0,1,0,2,C
369,03-Jun-17,10:09:42,0,1,0,2,C
370,03-Jun-17,10:09:42,0,1,0,2,C
371,03-Jun-17,10:09:42,0,1,0,2,C
372,03-Jun-17,10:09:43,0,1,0,2,C
373,03-Jun-17,10:09:43,0,1,0,2,C
374,03-Jun-17,10:09:43,0,1,0,2,C
375,03-Jun-17,10:09:43,0,1,0,2,C
376,03-Jun-17,10:09:43,0,1,0,2,C
782,03-Jun-17,10:11:04,0,1,0,2,C
783,03-Jun-17,10:11:05,0,1,0,2,C
784,03-Jun-17,10:11:05,0,1,0,2,C
785,03-Jun-17,10:11:05,0,1,0,2,C
786,03-Jun-17,10:11:05,0,1,0,2,C
787,03-Jun-17,10:11:05,0,1,0,2,C
788,03-Jun-17,10:11:06,0,1,0,2,C
789,03-Jun-17,10:11:06,0,1,0,2,C
790,03-Jun-17,10:11:06,0,1,0,2,C
791,03-Jun-17,10:11:06,0,1,0,2,C
792,03-Jun-17,10:11:06,0,1,0,2,C
793,03-Jun-17,10:11:06,0,1,0,2,C
794,03-Jun-17,10:11:07,0,1,0,2,C
795,03-Jun-17,10:11:07,0,1,0,2,C
796,03-Jun-17,10:11:07,0,1,0,2,C
1082,03-Jun-17,10:12:04,0,1,0,2,C
1083,03-Jun-17,10:12:05,0,1,0,2,C
1084,03-Jun-17,10:12:05,0,1,0,2,C
1085,03-Jun-17,10:12:05,0,1,0,2,C
1086,03-Jun-17,10:12:05,0,1,0,2,C
1087,03-Jun-17,10:12:05,0,1,0,2,C
1088,03-Jun-17,10:12:06,0,1,0,2,C
1089,03-Jun-17,10:12:06,0,1,0,2,C
1090,03-Jun-17,10:12:06,0,1,0,2,C
1091,03-Jun-17,10:12:06,0,1,0,2,C
1092,03-Jun-17,10:12:06,0,1,0,2,C
1093,03-Jun-17,10:12:06,0,1,0,2,C
