,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
317,03-Jun-17,10:09:31,0,0,1,3,C
318,03-Jun-17,10:09:31,0,0,1,3,C
319,03-Jun-17,10:09:32,0,0,1,3,C
320,03-Jun-17,10:09:32,0,0,1,3,C
321,03-Jun-17,10:09:32,0,0,1,3,C
322,03-Jun-17,10:09:32,0,0,1,3,C
323,03-Jun-17,10:09:32,0,0,1,3,C
324,03-Jun-17,10:09:33,0,0,1,3,C
325,03-Jun-17,10:09:33,0,0,1,3,C
326,03-Jun-17,10:09:33,0,0,1,3,C
327,03-Jun-17,10:09:33,0,0,1,3,C
328,03-Jun-17,10:09:34,0,0,1,3,C
329,03-Jun-17,10:09:34,0,0,1,3,C
330,03-Jun-17,10:09:34,0,0,1,3,C
331,03-Jun-17,10:09:34,0,0,1,3,C
332,03-Jun-17,10:09:34,0,0,1,3,C
333,03-Jun-17,10:09:34,0,0,1,3,C
334,03-Jun-17,10:09:35,0,0,1,3,C
335,03-Jun-17,10:09:35,0,0,1,3,C
336,03-Jun-17,10:09:35,0,0,1,3,C
337,03-Jun-17,10:09:35,0,0,1,3,C
338,03-Jun-17,10:09:36,0,0,1,3,C
339,03-Jun-17,10:09:36,0,0,1,3,C
340,03-Jun-17,10:09:36,0,0,1,3,C
341,03-Jun-17,10:09:36,0,0,1,3,C
342,03-Jun-17,10:09:36,0,0,1,3,C
343,03-Jun-17,10:09:37,0,0,1,3,C
344,03-Jun-17,10:09:37,0,0,1,3,C
345,03-Jun-17,10:09:37,0,0,1,3,C
346,03-Jun-17,10:09:37,0,0,1,3,C
347,03-Jun-17,10:09:37,0,0,1,3,C
348,03-Jun-17,10:09:37,0,0,1,3,C
349,03-Jun-17,10:09:38,0,0,1,3,C
350,03-Jun-17,10:09:38,0,0,1,3,C
351,03-Jun-17,10:09:38,0,0,1,3,C
352,03-Jun-17,10:09:38,0,0,1,3,C
353,03-Jun-17,10:09:39,0,0,1,3,C
354,03-Jun-17,10:09:39,0,0,1,3,C
355,03-Jun-17,10:09:39,0,0,1,3,C
356,03-Jun-17,10:09:39,0,0,1,3,C
357,03-Jun-17,10:09:39,0,0,1,3,C
358,03-Jun-17,10:09:40,0,0,1,3,C
359,03-Jun-17,10:09:40,0,0,1,3,C
360,03-Jun-17,10:09:40,0,0,1,3,C
361,03-Jun-17,10:09:40,0,0,1,3,C
737,03-Jun-17,10:10:56,0,0,1,3,C
738,03-Jun-17,10:10:56,0,0,1,3,C
739,03-Jun-17,10:10:56,0,0,1,3,C
740,03-Jun-17,10:10:56,0,0,1,3,C
741,03-Jun-17,10:10:56,0,0,1,3,C
742,03-Jun-17,10:10:57,0,0,1,3,C
743,03-Jun-17,10:10:57,0,0,1,3,C
744,03-Jun-17,10:10:57,0,0,1,3,C
745,03-Jun-17,10:10:57,0,0,1,3,C
746,03-Jun-17,10:10:57,0,0,1,3,C
747,03-Jun-17,10:10:57,0,0,1,3,C
748,03-Jun-17,10:10:57,0,0,1,3,C
749,03-Jun-17,10:10:58,0,0,1,3,C
750,03-Jun-17,10:10:58,0,0,1,3,C
751,03-Jun-17,10:10:58,0,0,1,3,C
752,03-Jun-17,10:10:58,0,0,1,3,C
753,03-Jun-17,10:10:59,0,0,1,3,C
754,03-Jun-17,10:10:59,0,0,1,3,C
755,03-Jun-17,10:10:59,0,0,1,3,C
756,03-Jun-17,10:10:59,0,0,1,3,C
757,03-Jun-17,10:11:00,0,0,1,3,C
758,03-Jun-17,10:11:00,0,0,1,3,C
759,03-Jun-17,10:11:00,0,0,1,3,C
760,03-Jun-17,10:11:00,0,0,1,3,C
