,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
307,24-Jun-17,16:50:34,1,1,0,RedAmber,C
308,24-Jun-17,16:50:35,1,1,0,RedAmber,C
309,24-Jun-17,16:50:35,1,1,0,RedAmber,C
310,24-Jun-17,16:50:35,1,1,0,RedAmber,C
311,24-Jun-17,16:50:35,1,1,0,RedAmber,C
312,24-Jun-17,16:50:35,1,1,0,RedAmber,C
313,24-Jun-17,16:50:35,1,1,0,RedAmber,C
314,24-Jun-17,16:50:36,1,1,0,RedAmber,C
315,24-Jun-17,16:50:36,1,1,0,RedAmber,C
316,24-Jun-17,16:50:36,1,1,0,RedAmber,C
727,24-Jun-17,16:51:59,1,1,0,RedAmber,C
728,24-Jun-17,16:51:59,1,1,0,RedAmber,C
729,24-Jun-17,16:51:59,1,1,0,RedAmber,C
730,24-Jun-17,16:51:59,1,1,0,RedAmber,C
731,24-Jun-17,16:51:59,1,1,0,RedAmber,C
732,24-Jun-17,16:51:59,1,1,0,RedAmber,C
733,24-Jun-17,16:52:00,1,1,0,RedAmber,C
734,24-Jun-17,16:52:00,1,1,0,RedAmber,C
735,24-Jun-17,16:52:00,1,1,0,RedAmber,C
736,24-Jun-17,16:52:00,1,1,0,RedAmber,C
1027,24-Jun-17,16:52:58,1,1,0,RedAmber,C
1028,24-Jun-17,16:52:59,1,1,0,RedAmber,C
1029,24-Jun-17,16:52:59,1,1,0,RedAmber,C
1030,24-Jun-17,16:52:59,1,1,0,RedAmber,C
1031,24-Jun-17,16:52:59,1,1,0,RedAmber,C
1032,24-Jun-17,16:53:00,1,1,0,RedAmber,C
1033,24-Jun-17,16:53:00,1,1,0,RedAmber,C
1034,24-Jun-17,16:53:00,1,1,0,RedAmber,C
1035,24-Jun-17,16:53:00,1,1,0,RedAmber,C
1036,24-Jun-17,16:53:00,1,1,0,RedAmber,C
1327,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1328,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1329,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1330,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1331,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1332,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1333,24-Jun-17,16:53:59,1,1,0,RedAmber,C
1334,24-Jun-17,16:54:00,1,1,0,RedAmber,C
1335,24-Jun-17,16:54:00,1,1,0,RedAmber,C
1336,24-Jun-17,16:54:00,1,1,0,RedAmber,C
