,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
42,11-Apr-17,20:27:16,1,0,0,Red,C
43,11-Apr-17,20:27:16,1,0,0,Red,C
44,11-Apr-17,20:27:17,1,0,0,Red,C
45,11-Apr-17,20:27:17,1,0,0,Red,C
46,11-Apr-17,20:27:17,1,0,0,Red,C
47,11-Apr-17,20:27:17,1,0,0,Red,C
48,11-Apr-17,20:27:18,1,0,0,Red,C
49,11-Apr-17,20:27:18,1,0,0,Red,C
50,11-Apr-17,20:27:18,1,0,0,Red,C
51,11-Apr-17,20:27:18,1,0,0,Red,C
52,11-Apr-17,20:27:18,1,0,0,Red,C
53,11-Apr-17,20:27:19,1,0,0,Red,C
54,11-Apr-17,20:27:19,1,0,0,Red,C
55,11-Apr-17,20:27:19,1,0,0,Red,C
56,11-Apr-17,20:27:19,1,0,0,Red,C
57,11-Apr-17,20:27:19,1,0,0,Red,C
58,11-Apr-17,20:27:19,1,0,0,Red,C
59,11-Apr-17,20:27:20,1,0,0,Red,C
60,11-Apr-17,20:27:20,1,0,0,Red,C
61,11-Apr-17,20:27:20,1,0,0,Red,C
62,11-Apr-17,20:27:20,1,0,0,Red,C
63,11-Apr-17,20:27:20,1,0,0,Red,C
64,11-Apr-17,20:27:21,1,0,0,Red,C
65,11-Apr-17,20:27:21,1,0,0,Red,C
66,11-Apr-17,20:27:21,1,0,0,Red,C
67,11-Apr-17,20:27:21,1,0,0,Red,C
68,11-Apr-17,20:27:22,1,0,0,Red,C
69,11-Apr-17,20:27:22,1,0,0,Red,C
70,11-Apr-17,20:27:22,1,0,0,Red,C
71,11-Apr-17,20:27:22,1,0,0,Red,C
72,11-Apr-17,20:27:22,1,0,0,Red,C
73,11-Apr-17,20:27:23,1,0,0,Red,C
74,11-Apr-17,20:27:23,1,0,0,Red,C
75,11-Apr-17,20:27:23,1,0,0,Red,C
76,11-Apr-17,20:27:23,1,0,0,Red,C
77,11-Apr-17,20:27:24,1,0,0,Red,C
78,11-Apr-17,20:27:24,1,0,0,Red,C
79,11-Apr-17,20:27:24,1,0,0,Red,C
80,11-Apr-17,20:27:24,1,0,0,Red,C
81,11-Apr-17,20:27:24,1,0,0,Red,C
82,11-Apr-17,20:27:24,1,0,0,Red,C
83,11-Apr-17,20:27:24,1,0,0,Red,C
84,11-Apr-17,20:27:25,1,0,0,Red,C
85,11-Apr-17,20:27:25,1,0,0,Red,C
86,11-Apr-17,20:27:26,1,0,0,Red,C
87,11-Apr-17,20:27:26,1,0,0,Red,C
88,11-Apr-17,20:27:26,1,0,0,Red,C
