,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
27,11-Apr-17,20:27:13,0,1,0,Amber,D
28,11-Apr-17,20:27:14,0,1,0,Amber,D
29,11-Apr-17,20:27:14,0,1,0,Amber,D
30,11-Apr-17,20:27:14,0,1,0,Amber,D
31,11-Apr-17,20:27:14,0,1,0,Amber,D
32,11-Apr-17,20:27:14,0,1,0,Amber,D
33,11-Apr-17,20:27:15,0,1,0,Amber,D
34,11-Apr-17,20:27:15,0,1,0,Amber,D
35,11-Apr-17,20:27:15,0,1,0,Amber,D
36,11-Apr-17,20:27:15,0,1,0,Amber,D
37,11-Apr-17,20:27:15,0,1,0,Amber,D
38,11-Apr-17,20:27:16,0,1,0,Amber,D
39,11-Apr-17,20:27:16,0,1,0,Amber,D
40,11-Apr-17,20:27:16,0,1,0,Amber,D
41,11-Apr-17,20:27:16,0,1,0,Amber,D
