,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
322,24-Jun-17,16:50:37,0,0,1,Green,D
323,24-Jun-17,16:50:38,0,0,1,Green,D
324,24-Jun-17,16:50:38,0,0,1,Green,D
325,24-Jun-17,16:50:38,0,0,1,Green,D
326,24-Jun-17,16:50:38,0,0,1,Green,D
327,24-Jun-17,16:50:38,0,0,1,Green,D
328,24-Jun-17,16:50:39,0,0,1,Green,D
329,24-Jun-17,16:50:39,0,0,1,Green,D
330,24-Jun-17,16:50:39,0,0,1,Green,D
331,24-Jun-17,16:50:39,0,0,1,Green,D
332,24-Jun-17,16:50:39,0,0,1,Green,D
333,24-Jun-17,16:50:40,0,0,1,Green,D
334,24-Jun-17,16:50:40,0,0,1,Green,D
335,24-Jun-17,16:50:40,0,0,1,Green,D
336,24-Jun-17,16:50:40,0,0,1,Green,D
337,24-Jun-17,16:50:40,0,0,1,Green,D
338,24-Jun-17,16:50:40,0,0,1,Green,D
339,24-Jun-17,16:50:41,0,0,1,Green,D
340,24-Jun-17,16:50:41,0,0,1,Green,D
341,24-Jun-17,16:50:41,0,0,1,Green,D
342,24-Jun-17,16:50:41,0,0,1,Green,D
343,24-Jun-17,16:50:41,0,0,1,Green,D
344,24-Jun-17,16:50:42,0,0,1,Green,D
345,24-Jun-17,16:50:42,0,0,1,Green,D
346,24-Jun-17,16:50:42,0,0,1,Green,D
347,24-Jun-17,16:50:42,0,0,1,Green,D
348,24-Jun-17,16:50:43,0,0,1,Green,D
349,24-Jun-17,16:50:43,0,0,1,Green,D
350,24-Jun-17,16:50:43,0,0,1,Green,D
351,24-Jun-17,16:50:43,0,0,1,Green,D
352,24-Jun-17,16:50:43,0,0,1,Green,D
353,24-Jun-17,16:50:44,0,0,1,Green,D
354,24-Jun-17,16:50:44,0,0,1,Green,D
355,24-Jun-17,16:50:44,0,0,1,Green,D
356,24-Jun-17,16:50:44,0,0,1,Green,D
357,24-Jun-17,16:50:44,0,0,1,Green,D
358,24-Jun-17,16:50:44,0,0,1,Green,D
359,24-Jun-17,16:50:45,0,0,1,Green,D
