,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
312,24-Jun-17,16:50:35,1,1,0,RedAmber,D
313,24-Jun-17,16:50:35,1,1,0,RedAmber,D
314,24-Jun-17,16:50:36,1,1,0,RedAmber,D
315,24-Jun-17,16:50:36,1,1,0,RedAmber,D
316,24-Jun-17,16:50:36,1,1,0,RedAmber,D
317,24-Jun-17,16:50:36,1,1,0,RedAmber,D
318,24-Jun-17,16:50:36,1,1,0,RedAmber,D
319,24-Jun-17,16:50:37,1,1,0,RedAmber,D
320,24-Jun-17,16:50:37,1,1,0,RedAmber,D
321,24-Jun-17,16:50:37,1,1,0,RedAmber,D
732,24-Jun-17,16:51:59,1,1,0,RedAmber,D
733,24-Jun-17,16:52:00,1,1,0,RedAmber,D
734,24-Jun-17,16:52:00,1,1,0,RedAmber,D
735,24-Jun-17,16:52:00,1,1,0,RedAmber,D
736,24-Jun-17,16:52:00,1,1,0,RedAmber,D
737,24-Jun-17,16:52:01,1,1,0,RedAmber,D
738,24-Jun-17,16:52:01,1,1,0,RedAmber,D
739,24-Jun-17,16:52:01,1,1,0,RedAmber,D
740,24-Jun-17,16:52:01,1,1,0,RedAmber,D
741,24-Jun-17,16:52:01,1,1,0,RedAmber,D
1032,24-Jun-17,16:53:00,1,1,0,RedAmber,D
1033,24-Jun-17,16:53:00,1,1,0,RedAmber,D
1034,24-Jun-17,16:53:00,1,1,0,RedAmber,D
1035,24-Jun-17,16:53:00,1,1,0,RedAmber,D
1036,24-Jun-17,16:53:00,1,1,0,RedAmber,D
1037,24-Jun-17,16:53:01,1,1,0,RedAmber,D
1038,24-Jun-17,16:53:01,1,1,0,RedAmber,D
1039,24-Jun-17,16:53:01,1,1,0,RedAmber,D
1040,24-Jun-17,16:53:01,1,1,0,RedAmber,D
1041,24-Jun-17,16:53:01,1,1,0,RedAmber,D
1332,24-Jun-17,16:53:59,1,1,0,RedAmber,D
1333,24-Jun-17,16:53:59,1,1,0,RedAmber,D
1334,24-Jun-17,16:54:00,1,1,0,RedAmber,D
1335,24-Jun-17,16:54:00,1,1,0,RedAmber,D
1336,24-Jun-17,16:54:00,1,1,0,RedAmber,D
1337,24-Jun-17,16:54:00,1,1,0,RedAmber,D
1338,24-Jun-17,16:54:00,1,1,0,RedAmber,D
1339,24-Jun-17,16:54:01,1,1,0,RedAmber,D
1340,24-Jun-17,16:54:01,1,1,0,RedAmber,D
1341,24-Jun-17,16:54:01,1,1,0,RedAmber,D
1632,24-Jun-17,16:54:59,1,1,0,RedAmber,D
1633,24-Jun-17,16:54:59,1,1,0,RedAmber,D
1634,24-Jun-17,16:55:00,1,1,0,RedAmber,D
1635,24-Jun-17,16:55:00,1,1,0,RedAmber,D
1636,24-Jun-17,16:55:00,1,1,0,RedAmber,D
1637,24-Jun-17,16:55:00,1,1,0,RedAmber,D
1638,24-Jun-17,16:55:01,1,1,0,RedAmber,D
1639,24-Jun-17,16:55:01,1,1,0,RedAmber,D
1640,24-Jun-17,16:55:01,1,1,0,RedAmber,D
1641,24-Jun-17,16:55:01,1,1,0,RedAmber,D
1932,24-Jun-17,16:55:59,1,1,0,RedAmber,D
1933,24-Jun-17,16:56:00,1,1,0,RedAmber,D
1934,24-Jun-17,16:56:00,1,1,0,RedAmber,D
1935,24-Jun-17,16:56:00,1,1,0,RedAmber,D
1936,24-Jun-17,16:56:00,1,1,0,RedAmber,D
1937,24-Jun-17,16:56:00,1,1,0,RedAmber,D
1938,24-Jun-17,16:56:01,1,1,0,RedAmber,D
1939,24-Jun-17,16:56:01,1,1,0,RedAmber,D
1940,24-Jun-17,16:56:01,1,1,0,RedAmber,D
1941,24-Jun-17,16:56:01,1,1,0,RedAmber,D
2232,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2233,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2234,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2235,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2236,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2237,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2238,24-Jun-17,16:57:00,1,1,0,RedAmber,D
2239,24-Jun-17,16:57:01,1,1,0,RedAmber,D
2240,24-Jun-17,16:57:01,1,1,0,RedAmber,D
2241,24-Jun-17,16:57:01,1,1,0,RedAmber,D
2532,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2533,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2534,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2535,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2536,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2537,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2538,24-Jun-17,16:58:00,1,1,0,RedAmber,D
2539,24-Jun-17,16:58:01,1,1,0,RedAmber,D
2540,24-Jun-17,16:58:01,1,1,0,RedAmber,D
2541,24-Jun-17,16:58:01,1,1,0,RedAmber,D
2832,24-Jun-17,16:58:59,1,1,0,RedAmber,D
2833,24-Jun-17,16:59:00,1,1,0,RedAmber,D
2834,24-Jun-17,16:59:00,1,1,0,RedAmber,D
2835,24-Jun-17,16:59:00,1,1,0,RedAmber,D
2836,24-Jun-17,16:59:00,1,1,0,RedAmber,D
2837,24-Jun-17,16:59:01,1,1,0,RedAmber,D
2838,24-Jun-17,16:59:01,1,1,0,RedAmber,D
2839,24-Jun-17,16:59:01,1,1,0,RedAmber,D
2840,24-Jun-17,16:59:01,1,1,0,RedAmber,D
2841,24-Jun-17,16:59:01,1,1,0,RedAmber,D
3132,24-Jun-17,16:59:59,1,1,0,RedAmber,D
3133,24-Jun-17,17:00:00,1,1,0,RedAmber,D
3134,24-Jun-17,17:00:00,1,1,0,RedAmber,D
3135,24-Jun-17,17:00:00,1,1,0,RedAmber,D
3136,24-Jun-17,17:00:00,1,1,0,RedAmber,D
3137,24-Jun-17,17:00:00,1,1,0,RedAmber,D
3138,24-Jun-17,17:00:01,1,1,0,RedAmber,D
3139,24-Jun-17,17:00:01,1,1,0,RedAmber,D
3140,24-Jun-17,17:00:01,1,1,0,RedAmber,D
3141,24-Jun-17,17:00:01,1,1,0,RedAmber,D
3432,24-Jun-17,17:00:59,1,1,0,RedAmber,D
3433,24-Jun-17,17:01:00,1,1,0,RedAmber,D
3434,24-Jun-17,17:01:00,1,1,0,RedAmber,D
3435,24-Jun-17,17:01:00,1,1,0,RedAmber,D
3436,24-Jun-17,17:01:00,1,1,0,RedAmber,D
3437,24-Jun-17,17:01:01,1,1,0,RedAmber,D
3438,24-Jun-17,17:01:01,1,1,0,RedAmber,D
3439,24-Jun-17,17:01:01,1,1,0,RedAmber,D
3440,24-Jun-17,17:01:01,1,1,0,RedAmber,D
3441,24-Jun-17,17:01:01,1,1,0,RedAmber,D
3732,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3733,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3734,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3735,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3736,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3737,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3738,24-Jun-17,17:02:00,1,1,0,RedAmber,D
3739,24-Jun-17,17:02:01,1,1,0,RedAmber,D
3740,24-Jun-17,17:02:01,1,1,0,RedAmber,D
3741,24-Jun-17,17:02:01,1,1,0,RedAmber,D
4032,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4033,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4034,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4035,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4036,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4037,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4038,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4039,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4040,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4041,24-Jun-17,17:18:00,1,1,0,RedAmber,D
4332,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4333,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4334,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4335,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4336,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4337,24-Jun-17,17:18:01,1,1,0,RedAmber,D
4338,24-Jun-17,17:18:01,1,1,0,RedAmber,D
