,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
42,11-Apr-17,20:27:16,1,0,0,Red,D
43,11-Apr-17,20:27:16,1,0,0,Red,D
44,11-Apr-17,20:27:17,1,0,0,Red,D
45,11-Apr-17,20:27:17,1,0,0,Red,D
46,11-Apr-17,20:27:17,1,0,0,Red,D
47,11-Apr-17,20:27:17,1,0,0,Red,D
48,11-Apr-17,20:27:18,1,0,0,Red,D
49,11-Apr-17,20:27:18,1,0,0,Red,D
50,11-Apr-17,20:27:18,1,0,0,Red,D
51,11-Apr-17,20:27:18,1,0,0,Red,D
52,11-Apr-17,20:27:18,1,0,0,Red,D
53,11-Apr-17,20:27:19,1,0,0,Red,D
54,11-Apr-17,20:27:19,1,0,0,Red,D
55,11-Apr-17,20:27:19,1,0,0,Red,D
56,11-Apr-17,20:27:19,1,0,0,Red,D
57,11-Apr-17,20:27:19,1,0,0,Red,D
58,11-Apr-17,20:27:19,1,0,0,Red,D
59,11-Apr-17,20:27:20,1,0,0,Red,D
60,11-Apr-17,20:27:20,1,0,0,Red,D
61,11-Apr-17,20:27:20,1,0,0,Red,D
62,11-Apr-17,20:27:20,1,0,0,Red,D
63,11-Apr-17,20:27:20,1,0,0,Red,D
64,11-Apr-17,20:27:21,1,0,0,Red,D
65,11-Apr-17,20:27:21,1,0,0,Red,D
66,11-Apr-17,20:27:21,1,0,0,Red,D
67,11-Apr-17,20:27:21,1,0,0,Red,D
68,11-Apr-17,20:27:22,1,0,0,Red,D
69,11-Apr-17,20:27:22,1,0,0,Red,D
70,11-Apr-17,20:27:22,1,0,0,Red,D
71,11-Apr-17,20:27:22,1,0,0,Red,D
72,11-Apr-17,20:27:22,1,0,0,Red,D
73,11-Apr-17,20:27:23,1,0,0,Red,D
74,11-Apr-17,20:27:23,1,0,0,Red,D
75,11-Apr-17,20:27:23,1,0,0,Red,D
76,11-Apr-17,20:27:23,1,0,0,Red,D
77,11-Apr-17,20:27:24,1,0,0,Red,D
78,11-Apr-17,20:27:24,1,0,0,Red,D
79,11-Apr-17,20:27:24,1,0,0,Red,D
80,11-Apr-17,20:27:24,1,0,0,Red,D
81,11-Apr-17,20:27:24,1,0,0,Red,D
82,11-Apr-17,20:27:24,1,0,0,Red,D
83,11-Apr-17,20:27:24,1,0,0,Red,D
84,11-Apr-17,20:27:25,1,0,0,Red,D
85,11-Apr-17,20:27:25,1,0,0,Red,D
86,11-Apr-17,20:27:26,1,0,0,Red,D
87,11-Apr-17,20:27:26,1,0,0,Red,D
88,11-Apr-17,20:27:26,1,0,0,Red,D
