,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
27,11-Apr-17,20:27:13,1,1,0,RedAmber,E
28,11-Apr-17,20:27:14,1,1,0,RedAmber,E
29,11-Apr-17,20:27:14,1,1,0,RedAmber,E
30,11-Apr-17,20:27:14,1,1,0,RedAmber,E
31,11-Apr-17,20:27:14,1,1,0,RedAmber,E
32,11-Apr-17,20:27:14,1,1,0,RedAmber,E
33,11-Apr-17,20:27:15,1,1,0,RedAmber,E
34,11-Apr-17,20:27:15,1,1,0,RedAmber,E
35,11-Apr-17,20:27:15,1,1,0,RedAmber,E
36,11-Apr-17,20:27:15,1,1,0,RedAmber,E
37,11-Apr-17,20:27:15,1,1,0,RedAmber,E
38,11-Apr-17,20:27:16,1,1,0,RedAmber,E
39,11-Apr-17,20:27:16,1,1,0,RedAmber,E
40,11-Apr-17,20:27:16,1,1,0,RedAmber,E
41,11-Apr-17,20:27:16,1,1,0,RedAmber,E
42,11-Apr-17,20:27:16,1,1,0,RedAmber,E
43,11-Apr-17,20:27:16,1,1,0,RedAmber,E
44,11-Apr-17,20:27:17,1,1,0,RedAmber,E
45,11-Apr-17,20:27:17,1,1,0,RedAmber,E
46,11-Apr-17,20:27:17,1,1,0,RedAmber,E
47,11-Apr-17,20:27:17,1,1,0,RedAmber,E
48,11-Apr-17,20:27:18,1,1,0,RedAmber,E
49,11-Apr-17,20:27:18,1,1,0,RedAmber,E
50,11-Apr-17,20:27:18,1,1,0,RedAmber,E
51,11-Apr-17,20:27:18,1,1,0,RedAmber,E
52,11-Apr-17,20:27:18,1,1,0,RedAmber,E
53,11-Apr-17,20:27:19,1,1,0,RedAmber,E
54,11-Apr-17,20:27:19,1,1,0,RedAmber,E
55,11-Apr-17,20:27:19,1,1,0,RedAmber,E
56,11-Apr-17,20:27:19,1,1,0,RedAmber,E
57,11-Apr-17,20:27:19,1,1,0,RedAmber,E
58,11-Apr-17,20:27:19,1,1,0,RedAmber,E
59,11-Apr-17,20:27:20,1,1,0,RedAmber,E
60,11-Apr-17,20:27:20,1,1,0,RedAmber,E
61,11-Apr-17,20:27:20,1,1,0,RedAmber,E
62,11-Apr-17,20:27:20,1,1,0,RedAmber,E
63,11-Apr-17,20:27:20,1,1,0,RedAmber,E
64,11-Apr-17,20:27:21,1,1,0,RedAmber,E
65,11-Apr-17,20:27:21,1,1,0,RedAmber,E
66,11-Apr-17,20:27:21,1,1,0,RedAmber,E
67,11-Apr-17,20:27:21,1,1,0,RedAmber,E
68,11-Apr-17,20:27:22,1,1,0,RedAmber,E
69,11-Apr-17,20:27:22,1,1,0,RedAmber,E
70,11-Apr-17,20:27:22,1,1,0,RedAmber,E
71,11-Apr-17,20:27:22,1,1,0,RedAmber,E
72,11-Apr-17,20:27:22,1,1,0,RedAmber,E
73,11-Apr-17,20:27:23,1,1,0,RedAmber,E
74,11-Apr-17,20:27:23,1,1,0,RedAmber,E
75,11-Apr-17,20:27:23,1,1,0,RedAmber,E
76,11-Apr-17,20:27:23,1,1,0,RedAmber,E
77,11-Apr-17,20:27:24,1,1,0,RedAmber,E
78,11-Apr-17,20:27:24,1,1,0,RedAmber,E
79,11-Apr-17,20:27:24,1,1,0,RedAmber,E
80,11-Apr-17,20:27:24,1,1,0,RedAmber,E
81,11-Apr-17,20:27:24,1,1,0,RedAmber,E
82,11-Apr-17,20:27:24,1,1,0,RedAmber,E
83,11-Apr-17,20:27:24,1,1,0,RedAmber,E
84,11-Apr-17,20:27:25,1,1,0,RedAmber,E
85,11-Apr-17,20:27:25,1,1,0,RedAmber,E
86,11-Apr-17,20:27:26,1,1,0,RedAmber,E
87,11-Apr-17,20:27:26,1,1,0,RedAmber,E
88,11-Apr-17,20:27:26,1,1,0,RedAmber,E
