,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
432,24-Jun-17,16:50:59,1,0,0,Red,E
433,24-Jun-17,16:50:59,1,0,0,Red,E
434,24-Jun-17,16:51:00,1,0,0,Red,E
435,24-Jun-17,16:51:00,1,0,0,Red,E
436,24-Jun-17,16:51:00,1,0,0,Red,E
437,24-Jun-17,16:51:01,1,0,0,Red,E
438,24-Jun-17,16:51:01,1,0,0,Red,E
439,24-Jun-17,16:51:01,1,0,0,Red,E
440,24-Jun-17,16:51:01,1,0,0,Red,E
441,24-Jun-17,16:51:01,1,0,0,Red,E
442,24-Jun-17,16:51:02,1,0,0,Red,E
443,24-Jun-17,16:51:02,1,0,0,Red,E
444,24-Jun-17,16:51:02,1,0,0,Red,E
445,24-Jun-17,16:51:02,1,0,0,Red,E
446,24-Jun-17,16:51:02,1,0,0,Red,E
447,24-Jun-17,16:51:02,1,0,0,Red,E
448,24-Jun-17,16:51:03,1,0,0,Red,E
449,24-Jun-17,16:51:03,1,0,0,Red,E
450,24-Jun-17,16:51:03,1,0,0,Red,E
451,24-Jun-17,16:51:03,1,0,0,Red,E
452,24-Jun-17,16:51:03,1,0,0,Red,E
453,24-Jun-17,16:51:04,1,0,0,Red,E
454,24-Jun-17,16:51:04,1,0,0,Red,E
455,24-Jun-17,16:51:04,1,0,0,Red,E
456,24-Jun-17,16:51:04,1,0,0,Red,E
457,24-Jun-17,16:51:05,1,0,0,Red,E
458,24-Jun-17,16:51:05,1,0,0,Red,E
459,24-Jun-17,16:51:05,1,0,0,Red,E
460,24-Jun-17,16:51:05,1,0,0,Red,E
461,24-Jun-17,16:51:05,1,0,0,Red,E
462,24-Jun-17,16:51:05,1,0,0,Red,E
463,24-Jun-17,16:51:06,1,0,0,Red,E
464,24-Jun-17,16:51:06,1,0,0,Red,E
465,24-Jun-17,16:51:06,1,0,0,Red,E
466,24-Jun-17,16:51:06,1,0,0,Red,E
467,24-Jun-17,16:51:06,1,0,0,Red,E
468,24-Jun-17,16:51:07,1,0,0,Red,E
469,24-Jun-17,16:51:07,1,0,0,Red,E
470,24-Jun-17,16:51:07,1,0,0,Red,E
471,24-Jun-17,16:51:07,1,0,0,Red,E
472,24-Jun-17,16:51:08,1,0,0,Red,E
473,24-Jun-17,16:51:08,1,0,0,Red,E
474,24-Jun-17,16:51:08,1,0,0,Red,E
475,24-Jun-17,16:51:08,1,0,0,Red,E
476,24-Jun-17,16:51:08,1,0,0,Red,E
477,24-Jun-17,16:51:09,1,0,0,Red,E
478,24-Jun-17,16:51:09,1,0,0,Red,E
479,24-Jun-17,16:51:09,1,0,0,Red,E
480,24-Jun-17,16:51:09,1,0,0,Red,E
481,24-Jun-17,16:51:09,1,0,0,Red,E
482,24-Jun-17,16:51:09,1,0,0,Red,E
483,24-Jun-17,16:51:10,1,0,0,Red,E
484,24-Jun-17,16:51:10,1,0,0,Red,E
485,24-Jun-17,16:51:10,1,0,0,Red,E
486,24-Jun-17,16:51:10,1,0,0,Red,E
487,24-Jun-17,16:51:10,1,0,0,Red,E
488,24-Jun-17,16:51:11,1,0,0,Red,E
489,24-Jun-17,16:51:11,1,0,0,Red,E
490,24-Jun-17,16:51:11,1,0,0,Red,E
491,24-Jun-17,16:51:11,1,0,0,Red,E
492,24-Jun-17,16:51:12,1,0,0,Red,E
493,24-Jun-17,16:51:12,1,0,0,Red,E
494,24-Jun-17,16:51:12,1,0,0,Red,E
495,24-Jun-17,16:51:12,1,0,0,Red,E
496,24-Jun-17,16:51:13,1,0,0,Red,E
497,24-Jun-17,16:51:13,1,0,0,Red,E
498,24-Jun-17,16:51:13,1,0,0,Red,E
499,24-Jun-17,16:51:13,1,0,0,Red,E
500,24-Jun-17,16:51:13,1,0,0,Red,E
501,24-Jun-17,16:51:13,1,0,0,Red,E
502,24-Jun-17,16:51:13,1,0,0,Red,E
503,24-Jun-17,16:51:14,1,0,0,Red,E
504,24-Jun-17,16:51:14,1,0,0,Red,E
505,24-Jun-17,16:51:14,1,0,0,Red,E
506,24-Jun-17,16:51:14,1,0,0,Red,E
507,24-Jun-17,16:51:15,1,0,0,Red,E
508,24-Jun-17,16:51:15,1,0,0,Red,E
509,24-Jun-17,16:51:15,1,0,0,Red,E
510,24-Jun-17,16:51:15,1,0,0,Red,E
511,24-Jun-17,16:51:15,1,0,0,Red,E
512,24-Jun-17,16:51:16,1,0,0,Red,E
513,24-Jun-17,16:51:16,1,0,0,Red,E
514,24-Jun-17,16:51:16,1,0,0,Red,E
515,24-Jun-17,16:51:16,1,0,0,Red,E
516,24-Jun-17,16:51:16,1,0,0,Red,E
517,24-Jun-17,16:51:16,1,0,0,Red,E
518,24-Jun-17,16:51:17,1,0,0,Red,E
519,24-Jun-17,16:51:17,1,0,0,Red,E
520,24-Jun-17,16:51:17,1,0,0,Red,E
521,24-Jun-17,16:51:17,1,0,0,Red,E
522,24-Jun-17,16:51:17,1,0,0,Red,E
523,24-Jun-17,16:51:18,1,0,0,Red,E
524,24-Jun-17,16:51:18,1,0,0,Red,E
525,24-Jun-17,16:51:18,1,0,0,Red,E
526,24-Jun-17,16:51:18,1,0,0,Red,E
527,24-Jun-17,16:51:19,1,0,0,Red,E
528,24-Jun-17,16:51:19,1,0,0,Red,E
529,24-Jun-17,16:51:19,1,0,0,Red,E
530,24-Jun-17,16:51:19,1,0,0,Red,E
531,24-Jun-17,16:51:19,1,0,0,Red,E
532,24-Jun-17,16:51:20,1,0,0,Red,E
533,24-Jun-17,16:51:20,1,0,0,Red,E
534,24-Jun-17,16:51:20,1,0,0,Red,E
535,24-Jun-17,16:51:20,1,0,0,Red,E
536,24-Jun-17,16:51:20,1,0,0,Red,E
537,24-Jun-17,16:51:20,1,0,0,Red,E
538,24-Jun-17,16:51:21,1,0,0,Red,E
539,24-Jun-17,16:51:21,1,0,0,Red,E
540,24-Jun-17,16:51:21,1,0,0,Red,E
541,24-Jun-17,16:51:21,1,0,0,Red,E
542,24-Jun-17,16:51:21,1,0,0,Red,E
543,24-Jun-17,16:51:22,1,0,0,Red,E
544,24-Jun-17,16:51:22,1,0,0,Red,E
545,24-Jun-17,16:51:22,1,0,0,Red,E
546,24-Jun-17,16:51:22,1,0,0,Red,E
547,24-Jun-17,16:51:23,1,0,0,Red,E
548,24-Jun-17,16:51:23,1,0,0,Red,E
549,24-Jun-17,16:51:23,1,0,0,Red,E
550,24-Jun-17,16:51:23,1,0,0,Red,E
551,24-Jun-17,16:51:23,1,0,0,Red,E
552,24-Jun-17,16:51:24,1,0,0,Red,E
553,24-Jun-17,16:51:24,1,0,0,Red,E
554,24-Jun-17,16:51:24,1,0,0,Red,E
555,24-Jun-17,16:51:24,1,0,0,Red,E
556,24-Jun-17,16:51:24,1,0,0,Red,E
557,24-Jun-17,16:51:24,1,0,0,Red,E
558,24-Jun-17,16:51:25,1,0,0,Red,E
559,24-Jun-17,16:51:25,1,0,0,Red,E
560,24-Jun-17,16:51:25,1,0,0,Red,E
561,24-Jun-17,16:51:25,1,0,0,Red,E
562,24-Jun-17,16:51:25,1,0,0,Red,E
563,24-Jun-17,16:51:26,1,0,0,Red,E
564,24-Jun-17,16:51:26,1,0,0,Red,E
565,24-Jun-17,16:51:26,1,0,0,Red,E
566,24-Jun-17,16:51:26,1,0,0,Red,E
