,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,3,F
403,03-Jun-17,10:09:48,0,0,1,3,F
404,03-Jun-17,10:09:49,0,0,1,3,F
405,03-Jun-17,10:09:49,0,0,1,3,F
406,03-Jun-17,10:09:49,0,0,1,3,F
407,03-Jun-17,10:09:49,0,0,1,3,F
408,03-Jun-17,10:09:50,0,0,1,3,F
409,03-Jun-17,10:09:50,0,0,1,3,F
410,03-Jun-17,10:09:50,0,0,1,3,F
411,03-Jun-17,10:09:50,0,0,1,3,F
412,03-Jun-17,10:09:50,0,0,1,3,F
413,03-Jun-17,10:09:50,0,0,1,3,F
414,03-Jun-17,10:09:51,0,0,1,3,F
415,03-Jun-17,10:09:51,0,0,1,3,F
416,03-Jun-17,10:09:51,0,0,1,3,F
417,03-Jun-17,10:09:51,0,0,1,3,F
418,03-Jun-17,10:09:52,0,0,1,3,F
419,03-Jun-17,10:09:52,0,0,1,3,F
420,03-Jun-17,10:09:52,0,0,1,3,F
421,03-Jun-17,10:09:52,0,0,1,3,F
422,03-Jun-17,10:09:53,0,0,1,3,F
423,03-Jun-17,10:09:53,0,0,1,3,F
424,03-Jun-17,10:09:53,0,0,1,3,F
425,03-Jun-17,10:09:53,0,0,1,3,F
426,03-Jun-17,10:09:53,0,0,1,3,F
427,03-Jun-17,10:09:53,0,0,1,3,F
428,03-Jun-17,10:09:53,0,0,1,3,F
429,03-Jun-17,10:09:54,0,0,1,3,F
430,03-Jun-17,10:09:54,0,0,1,3,F
431,03-Jun-17,10:09:54,0,0,1,3,F
