,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
27,24-Jun-17,16:49:38,1,1,0,RedAmber,F
28,24-Jun-17,16:49:38,1,1,0,RedAmber,F
29,24-Jun-17,16:49:39,1,1,0,RedAmber,F
30,24-Jun-17,16:49:39,1,1,0,RedAmber,F
31,24-Jun-17,16:49:39,1,1,0,RedAmber,F
32,24-Jun-17,16:49:39,1,1,0,RedAmber,F
33,24-Jun-17,16:49:40,1,1,0,RedAmber,F
34,24-Jun-17,16:49:40,1,1,0,RedAmber,F
35,24-Jun-17,16:49:40,1,1,0,RedAmber,F
36,24-Jun-17,16:49:40,1,1,0,RedAmber,F
37,24-Jun-17,16:49:40,1,1,0,RedAmber,F
38,24-Jun-17,16:49:41,1,1,0,RedAmber,F
39,24-Jun-17,16:49:41,1,1,0,RedAmber,F
40,24-Jun-17,16:49:41,1,1,0,RedAmber,F
41,24-Jun-17,16:49:41,1,1,0,RedAmber,F
42,24-Jun-17,16:49:41,1,1,0,RedAmber,F
43,24-Jun-17,16:49:41,1,1,0,RedAmber,F
44,24-Jun-17,16:49:42,1,1,0,RedAmber,F
45,24-Jun-17,16:49:42,1,1,0,RedAmber,F
46,24-Jun-17,16:49:42,1,1,0,RedAmber,F
47,24-Jun-17,16:49:42,1,1,0,RedAmber,F
48,24-Jun-17,16:49:43,1,1,0,RedAmber,F
49,24-Jun-17,16:49:43,1,1,0,RedAmber,F
50,24-Jun-17,16:49:43,1,1,0,RedAmber,F
51,24-Jun-17,16:49:43,1,1,0,RedAmber,F
52,24-Jun-17,16:49:43,1,1,0,RedAmber,F
53,24-Jun-17,16:49:43,1,1,0,RedAmber,F
54,24-Jun-17,16:49:44,1,1,0,RedAmber,F
55,24-Jun-17,16:49:44,1,1,0,RedAmber,F
56,24-Jun-17,16:49:44,1,1,0,RedAmber,F
57,24-Jun-17,16:49:44,1,1,0,RedAmber,F
58,24-Jun-17,16:49:44,1,1,0,RedAmber,F
59,24-Jun-17,16:49:45,1,1,0,RedAmber,F
60,24-Jun-17,16:49:45,1,1,0,RedAmber,F
61,24-Jun-17,16:49:45,1,1,0,RedAmber,F
62,24-Jun-17,16:49:45,1,1,0,RedAmber,F
63,24-Jun-17,16:49:46,1,1,0,RedAmber,F
64,24-Jun-17,16:49:46,1,1,0,RedAmber,F
65,24-Jun-17,16:49:46,1,1,0,RedAmber,F
66,24-Jun-17,16:49:46,1,1,0,RedAmber,F
67,24-Jun-17,16:49:46,1,1,0,RedAmber,F
68,24-Jun-17,16:49:46,1,1,0,RedAmber,F
69,24-Jun-17,16:49:47,1,1,0,RedAmber,F
70,24-Jun-17,16:49:47,1,1,0,RedAmber,F
71,24-Jun-17,16:49:47,1,1,0,RedAmber,F
72,24-Jun-17,16:49:47,1,1,0,RedAmber,F
73,24-Jun-17,16:49:48,1,1,0,RedAmber,F
74,24-Jun-17,16:49:48,1,1,0,RedAmber,F
75,24-Jun-17,16:49:48,1,1,0,RedAmber,F
76,24-Jun-17,16:49:48,1,1,0,RedAmber,F
77,24-Jun-17,16:49:48,1,1,0,RedAmber,F
78,24-Jun-17,16:49:48,1,1,0,RedAmber,F
79,24-Jun-17,16:49:49,1,1,0,RedAmber,F
80,24-Jun-17,16:49:49,1,1,0,RedAmber,F
81,24-Jun-17,16:49:49,1,1,0,RedAmber,F
82,24-Jun-17,16:49:49,1,1,0,RedAmber,F
83,24-Jun-17,16:49:49,1,1,0,RedAmber,F
84,24-Jun-17,16:49:50,1,1,0,RedAmber,F
85,24-Jun-17,16:49:50,1,1,0,RedAmber,F
86,24-Jun-17,16:49:50,1,1,0,RedAmber,F
87,24-Jun-17,16:49:50,1,1,0,RedAmber,F
88,24-Jun-17,16:49:51,1,1,0,RedAmber,F
89,24-Jun-17,16:49:51,1,1,0,RedAmber,F
90,24-Jun-17,16:49:51,1,1,0,RedAmber,F
91,24-Jun-17,16:49:51,1,1,0,RedAmber,F
92,24-Jun-17,16:49:51,1,1,0,RedAmber,F
93,24-Jun-17,16:49:51,1,1,0,RedAmber,F
94,24-Jun-17,16:49:52,1,1,0,RedAmber,F
