,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
432,24-Jun-17,16:50:59,1,0,0,Red,F
433,24-Jun-17,16:50:59,1,0,0,Red,F
434,24-Jun-17,16:51:00,1,0,0,Red,F
435,24-Jun-17,16:51:00,1,0,0,Red,F
436,24-Jun-17,16:51:00,1,0,0,Red,F
437,24-Jun-17,16:51:01,1,0,0,Red,F
438,24-Jun-17,16:51:01,1,0,0,Red,F
439,24-Jun-17,16:51:01,1,0,0,Red,F
440,24-Jun-17,16:51:01,1,0,0,Red,F
441,24-Jun-17,16:51:01,1,0,0,Red,F
442,24-Jun-17,16:51:02,1,0,0,Red,F
443,24-Jun-17,16:51:02,1,0,0,Red,F
444,24-Jun-17,16:51:02,1,0,0,Red,F
445,24-Jun-17,16:51:02,1,0,0,Red,F
446,24-Jun-17,16:51:02,1,0,0,Red,F
447,24-Jun-17,16:51:02,1,0,0,Red,F
448,24-Jun-17,16:51:03,1,0,0,Red,F
449,24-Jun-17,16:51:03,1,0,0,Red,F
450,24-Jun-17,16:51:03,1,0,0,Red,F
451,24-Jun-17,16:51:03,1,0,0,Red,F
452,24-Jun-17,16:51:03,1,0,0,Red,F
453,24-Jun-17,16:51:04,1,0,0,Red,F
454,24-Jun-17,16:51:04,1,0,0,Red,F
455,24-Jun-17,16:51:04,1,0,0,Red,F
456,24-Jun-17,16:51:04,1,0,0,Red,F
457,24-Jun-17,16:51:05,1,0,0,Red,F
458,24-Jun-17,16:51:05,1,0,0,Red,F
459,24-Jun-17,16:51:05,1,0,0,Red,F
460,24-Jun-17,16:51:05,1,0,0,Red,F
461,24-Jun-17,16:51:05,1,0,0,Red,F
462,24-Jun-17,16:51:05,1,0,0,Red,F
463,24-Jun-17,16:51:06,1,0,0,Red,F
464,24-Jun-17,16:51:06,1,0,0,Red,F
465,24-Jun-17,16:51:06,1,0,0,Red,F
466,24-Jun-17,16:51:06,1,0,0,Red,F
467,24-Jun-17,16:51:06,1,0,0,Red,F
468,24-Jun-17,16:51:07,1,0,0,Red,F
469,24-Jun-17,16:51:07,1,0,0,Red,F
470,24-Jun-17,16:51:07,1,0,0,Red,F
471,24-Jun-17,16:51:07,1,0,0,Red,F
472,24-Jun-17,16:51:08,1,0,0,Red,F
473,24-Jun-17,16:51:08,1,0,0,Red,F
474,24-Jun-17,16:51:08,1,0,0,Red,F
475,24-Jun-17,16:51:08,1,0,0,Red,F
476,24-Jun-17,16:51:08,1,0,0,Red,F
477,24-Jun-17,16:51:09,1,0,0,Red,F
478,24-Jun-17,16:51:09,1,0,0,Red,F
479,24-Jun-17,16:51:09,1,0,0,Red,F
480,24-Jun-17,16:51:09,1,0,0,Red,F
481,24-Jun-17,16:51:09,1,0,0,Red,F
482,24-Jun-17,16:51:09,1,0,0,Red,F
483,24-Jun-17,16:51:10,1,0,0,Red,F
484,24-Jun-17,16:51:10,1,0,0,Red,F
485,24-Jun-17,16:51:10,1,0,0,Red,F
486,24-Jun-17,16:51:10,1,0,0,Red,F
487,24-Jun-17,16:51:10,1,0,0,Red,F
488,24-Jun-17,16:51:11,1,0,0,Red,F
489,24-Jun-17,16:51:11,1,0,0,Red,F
490,24-Jun-17,16:51:11,1,0,0,Red,F
491,24-Jun-17,16:51:11,1,0,0,Red,F
492,24-Jun-17,16:51:12,1,0,0,Red,F
493,24-Jun-17,16:51:12,1,0,0,Red,F
494,24-Jun-17,16:51:12,1,0,0,Red,F
495,24-Jun-17,16:51:12,1,0,0,Red,F
496,24-Jun-17,16:51:13,1,0,0,Red,F
497,24-Jun-17,16:51:13,1,0,0,Red,F
498,24-Jun-17,16:51:13,1,0,0,Red,F
499,24-Jun-17,16:51:13,1,0,0,Red,F
500,24-Jun-17,16:51:13,1,0,0,Red,F
501,24-Jun-17,16:51:13,1,0,0,Red,F
502,24-Jun-17,16:51:13,1,0,0,Red,F
503,24-Jun-17,16:51:14,1,0,0,Red,F
504,24-Jun-17,16:51:14,1,0,0,Red,F
505,24-Jun-17,16:51:14,1,0,0,Red,F
506,24-Jun-17,16:51:14,1,0,0,Red,F
507,24-Jun-17,16:51:15,1,0,0,Red,F
508,24-Jun-17,16:51:15,1,0,0,Red,F
509,24-Jun-17,16:51:15,1,0,0,Red,F
510,24-Jun-17,16:51:15,1,0,0,Red,F
511,24-Jun-17,16:51:15,1,0,0,Red,F
512,24-Jun-17,16:51:16,1,0,0,Red,F
513,24-Jun-17,16:51:16,1,0,0,Red,F
514,24-Jun-17,16:51:16,1,0,0,Red,F
515,24-Jun-17,16:51:16,1,0,0,Red,F
516,24-Jun-17,16:51:16,1,0,0,Red,F
517,24-Jun-17,16:51:16,1,0,0,Red,F
518,24-Jun-17,16:51:17,1,0,0,Red,F
519,24-Jun-17,16:51:17,1,0,0,Red,F
520,24-Jun-17,16:51:17,1,0,0,Red,F
