,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
402,03-Jun-17,10:09:48,0,0,1,3,G
403,03-Jun-17,10:09:48,0,0,1,3,G
404,03-Jun-17,10:09:49,0,0,1,3,G
405,03-Jun-17,10:09:49,0,0,1,3,G
406,03-Jun-17,10:09:49,0,0,1,3,G
407,03-Jun-17,10:09:49,0,0,1,3,G
408,03-Jun-17,10:09:50,0,0,1,3,G
409,03-Jun-17,10:09:50,0,0,1,3,G
410,03-Jun-17,10:09:50,0,0,1,3,G
411,03-Jun-17,10:09:50,0,0,1,3,G
412,03-Jun-17,10:09:50,0,0,1,3,G
413,03-Jun-17,10:09:50,0,0,1,3,G
414,03-Jun-17,10:09:51,0,0,1,3,G
415,03-Jun-17,10:09:51,0,0,1,3,G
416,03-Jun-17,10:09:51,0,0,1,3,G
417,03-Jun-17,10:09:51,0,0,1,3,G
418,03-Jun-17,10:09:52,0,0,1,3,G
419,03-Jun-17,10:09:52,0,0,1,3,G
420,03-Jun-17,10:09:52,0,0,1,3,G
421,03-Jun-17,10:09:52,0,0,1,3,G
422,03-Jun-17,10:09:53,0,0,1,3,G
423,03-Jun-17,10:09:53,0,0,1,3,G
424,03-Jun-17,10:09:53,0,0,1,3,G
425,03-Jun-17,10:09:53,0,0,1,3,G
426,03-Jun-17,10:09:53,0,0,1,3,G
427,03-Jun-17,10:09:53,0,0,1,3,G
428,03-Jun-17,10:09:53,0,0,1,3,G
429,03-Jun-17,10:09:54,0,0,1,3,G
430,03-Jun-17,10:09:54,0,0,1,3,G
431,03-Jun-17,10:09:54,0,0,1,3,G
