,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
94,03-Jun-17,10:08:47,1,1,0,1,G
95,03-Jun-17,10:08:47,1,1,0,1,G
96,03-Jun-17,10:08:47,1,1,0,1,G
97,03-Jun-17,10:08:47,1,1,0,1,G
98,03-Jun-17,10:08:48,1,1,0,1,G
99,03-Jun-17,10:08:48,1,1,0,1,G
100,03-Jun-17,10:08:48,1,1,0,1,G
101,03-Jun-17,10:08:48,1,1,0,1,G
102,03-Jun-17,10:08:48,1,1,0,1,G
103,03-Jun-17,10:08:48,1,1,0,1,G
104,03-Jun-17,10:08:49,1,1,0,1,G
105,03-Jun-17,10:08:49,1,1,0,1,G
106,03-Jun-17,10:08:49,1,1,0,1,G
107,03-Jun-17,10:08:49,1,1,0,1,G
108,03-Jun-17,10:08:50,1,1,0,1,G
109,03-Jun-17,10:08:50,1,1,0,1,G
110,03-Jun-17,10:08:50,1,1,0,1,G
111,03-Jun-17,10:08:50,1,1,0,1,G
112,03-Jun-17,10:08:50,1,1,0,1,G
113,03-Jun-17,10:08:50,1,1,0,1,G
114,03-Jun-17,10:08:51,1,1,0,1,G
115,03-Jun-17,10:08:51,1,1,0,1,G
116,03-Jun-17,10:08:51,1,1,0,1,G
117,03-Jun-17,10:08:51,1,1,0,1,G
118,03-Jun-17,10:08:51,1,1,0,1,G
119,03-Jun-17,10:08:52,1,1,0,1,G
120,03-Jun-17,10:08:52,1,1,0,1,G
121,03-Jun-17,10:08:52,1,1,0,1,G
122,03-Jun-17,10:08:52,1,1,0,1,G
123,03-Jun-17,10:08:53,1,1,0,1,G
124,03-Jun-17,10:08:53,1,1,0,1,G
125,03-Jun-17,10:08:53,1,1,0,1,G
126,03-Jun-17,10:08:53,1,1,0,1,G
127,03-Jun-17,10:08:53,1,1,0,1,G
128,03-Jun-17,10:08:54,1,1,0,1,G
129,03-Jun-17,10:08:54,1,1,0,1,G
130,03-Jun-17,10:08:54,1,1,0,1,G
131,03-Jun-17,10:08:54,1,1,0,1,G
132,03-Jun-17,10:08:55,1,1,0,1,G
133,03-Jun-17,10:08:55,1,1,0,1,G
134,03-Jun-17,10:08:55,1,1,0,1,G
135,03-Jun-17,10:08:55,1,1,0,1,G
136,03-Jun-17,10:08:55,1,1,0,1,G
137,03-Jun-17,10:08:55,1,1,0,1,G
138,03-Jun-17,10:08:55,1,1,0,1,G
139,03-Jun-17,10:08:56,1,1,0,1,G
140,03-Jun-17,10:08:56,1,1,0,1,G
141,03-Jun-17,10:08:56,1,1,0,1,G
142,03-Jun-17,10:08:56,1,1,0,1,G
143,03-Jun-17,10:08:57,1,1,0,1,G
144,03-Jun-17,10:08:57,1,1,0,1,G
145,03-Jun-17,10:08:57,1,1,0,1,G
146,03-Jun-17,10:08:57,1,1,0,1,G
147,03-Jun-17,10:08:57,1,1,0,1,G
148,03-Jun-17,10:08:58,1,1,0,1,G
149,03-Jun-17,10:08:58,1,1,0,1,G
150,03-Jun-17,10:08:58,1,1,0,1,G
151,03-Jun-17,10:08:58,1,1,0,1,G
152,03-Jun-17,10:08:59,1,1,0,1,G
