,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
432,24-Jun-17,16:50:59,1,0,0,Red,G
433,24-Jun-17,16:50:59,1,0,0,Red,G
434,24-Jun-17,16:51:00,1,0,0,Red,G
435,24-Jun-17,16:51:00,1,0,0,Red,G
436,24-Jun-17,16:51:00,1,0,0,Red,G
437,24-Jun-17,16:51:01,1,0,0,Red,G
438,24-Jun-17,16:51:01,1,0,0,Red,G
439,24-Jun-17,16:51:01,1,0,0,Red,G
440,24-Jun-17,16:51:01,1,0,0,Red,G
441,24-Jun-17,16:51:01,1,0,0,Red,G
442,24-Jun-17,16:51:02,1,0,0,Red,G
443,24-Jun-17,16:51:02,1,0,0,Red,G
444,24-Jun-17,16:51:02,1,0,0,Red,G
445,24-Jun-17,16:51:02,1,0,0,Red,G
446,24-Jun-17,16:51:02,1,0,0,Red,G
447,24-Jun-17,16:51:02,1,0,0,Red,G
448,24-Jun-17,16:51:03,1,0,0,Red,G
449,24-Jun-17,16:51:03,1,0,0,Red,G
450,24-Jun-17,16:51:03,1,0,0,Red,G
451,24-Jun-17,16:51:03,1,0,0,Red,G
452,24-Jun-17,16:51:03,1,0,0,Red,G
453,24-Jun-17,16:51:04,1,0,0,Red,G
454,24-Jun-17,16:51:04,1,0,0,Red,G
455,24-Jun-17,16:51:04,1,0,0,Red,G
456,24-Jun-17,16:51:04,1,0,0,Red,G
457,24-Jun-17,16:51:05,1,0,0,Red,G
458,24-Jun-17,16:51:05,1,0,0,Red,G
459,24-Jun-17,16:51:05,1,0,0,Red,G
460,24-Jun-17,16:51:05,1,0,0,Red,G
461,24-Jun-17,16:51:05,1,0,0,Red,G
462,24-Jun-17,16:51:05,1,0,0,Red,G
463,24-Jun-17,16:51:06,1,0,0,Red,G
464,24-Jun-17,16:51:06,1,0,0,Red,G
465,24-Jun-17,16:51:06,1,0,0,Red,G
466,24-Jun-17,16:51:06,1,0,0,Red,G
467,24-Jun-17,16:51:06,1,0,0,Red,G
468,24-Jun-17,16:51:07,1,0,0,Red,G
469,24-Jun-17,16:51:07,1,0,0,Red,G
470,24-Jun-17,16:51:07,1,0,0,Red,G
471,24-Jun-17,16:51:07,1,0,0,Red,G
472,24-Jun-17,16:51:08,1,0,0,Red,G
473,24-Jun-17,16:51:08,1,0,0,Red,G
