,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
27,11-Apr-17,20:27:13,1,1,0,RedAmber,H
28,11-Apr-17,20:27:14,1,1,0,RedAmber,H
29,11-Apr-17,20:27:14,1,1,0,RedAmber,H
30,11-Apr-17,20:27:14,1,1,0,RedAmber,H
31,11-Apr-17,20:27:14,1,1,0,RedAmber,H
32,11-Apr-17,20:27:14,1,1,0,RedAmber,H
33,11-Apr-17,20:27:15,1,1,0,RedAmber,H
34,11-Apr-17,20:27:15,1,1,0,RedAmber,H
35,11-Apr-17,20:27:15,1,1,0,RedAmber,H
36,11-Apr-17,20:27:15,1,1,0,RedAmber,H
37,11-Apr-17,20:27:15,1,1,0,RedAmber,H
38,11-Apr-17,20:27:16,1,1,0,RedAmber,H
39,11-Apr-17,20:27:16,1,1,0,RedAmber,H
40,11-Apr-17,20:27:16,1,1,0,RedAmber,H
41,11-Apr-17,20:27:16,1,1,0,RedAmber,H
42,11-Apr-17,20:27:16,1,1,0,RedAmber,H
43,11-Apr-17,20:27:16,1,1,0,RedAmber,H
44,11-Apr-17,20:27:17,1,1,0,RedAmber,H
45,11-Apr-17,20:27:17,1,1,0,RedAmber,H
46,11-Apr-17,20:27:17,1,1,0,RedAmber,H
47,11-Apr-17,20:27:17,1,1,0,RedAmber,H
48,11-Apr-17,20:27:18,1,1,0,RedAmber,H
49,11-Apr-17,20:27:18,1,1,0,RedAmber,H
50,11-Apr-17,20:27:18,1,1,0,RedAmber,H
51,11-Apr-17,20:27:18,1,1,0,RedAmber,H
52,11-Apr-17,20:27:18,1,1,0,RedAmber,H
53,11-Apr-17,20:27:19,1,1,0,RedAmber,H
54,11-Apr-17,20:27:19,1,1,0,RedAmber,H
55,11-Apr-17,20:27:19,1,1,0,RedAmber,H
56,11-Apr-17,20:27:19,1,1,0,RedAmber,H
57,11-Apr-17,20:27:19,1,1,0,RedAmber,H
58,11-Apr-17,20:27:19,1,1,0,RedAmber,H
59,11-Apr-17,20:27:20,1,1,0,RedAmber,H
60,11-Apr-17,20:27:20,1,1,0,RedAmber,H
61,11-Apr-17,20:27:20,1,1,0,RedAmber,H
62,11-Apr-17,20:27:20,1,1,0,RedAmber,H
63,11-Apr-17,20:27:20,1,1,0,RedAmber,H
64,11-Apr-17,20:27:21,1,1,0,RedAmber,H
65,11-Apr-17,20:27:21,1,1,0,RedAmber,H
66,11-Apr-17,20:27:21,1,1,0,RedAmber,H
67,11-Apr-17,20:27:21,1,1,0,RedAmber,H
68,11-Apr-17,20:27:22,1,1,0,RedAmber,H
69,11-Apr-17,20:27:22,1,1,0,RedAmber,H
70,11-Apr-17,20:27:22,1,1,0,RedAmber,H
71,11-Apr-17,20:27:22,1,1,0,RedAmber,H
72,11-Apr-17,20:27:22,1,1,0,RedAmber,H
73,11-Apr-17,20:27:23,1,1,0,RedAmber,H
74,11-Apr-17,20:27:23,1,1,0,RedAmber,H
75,11-Apr-17,20:27:23,1,1,0,RedAmber,H
76,11-Apr-17,20:27:23,1,1,0,RedAmber,H
77,11-Apr-17,20:27:24,1,1,0,RedAmber,H
78,11-Apr-17,20:27:24,1,1,0,RedAmber,H
79,11-Apr-17,20:27:24,1,1,0,RedAmber,H
80,11-Apr-17,20:27:24,1,1,0,RedAmber,H
81,11-Apr-17,20:27:24,1,1,0,RedAmber,H
82,11-Apr-17,20:27:24,1,1,0,RedAmber,H
83,11-Apr-17,20:27:24,1,1,0,RedAmber,H
84,11-Apr-17,20:27:25,1,1,0,RedAmber,H
85,11-Apr-17,20:27:25,1,1,0,RedAmber,H
86,11-Apr-17,20:27:26,1,1,0,RedAmber,H
87,11-Apr-17,20:27:26,1,1,0,RedAmber,H
88,11-Apr-17,20:27:26,1,1,0,RedAmber,H
