,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
432,03-Jun-17,10:09:54,1,0,0,0,H
433,03-Jun-17,10:09:54,1,0,0,0,H
434,03-Jun-17,10:09:55,1,0,0,0,H
435,03-Jun-17,10:09:55,1,0,0,0,H
436,03-Jun-17,10:09:55,1,0,0,0,H
437,03-Jun-17,10:09:55,1,0,0,0,H
438,03-Jun-17,10:09:56,1,0,0,0,H
439,03-Jun-17,10:09:56,1,0,0,0,H
440,03-Jun-17,10:09:56,1,0,0,0,H
441,03-Jun-17,10:09:56,1,0,0,0,H
442,03-Jun-17,10:09:56,1,0,0,0,H
443,03-Jun-17,10:09:57,1,0,0,0,H
444,03-Jun-17,10:09:57,1,0,0,0,H
445,03-Jun-17,10:09:57,1,0,0,0,H
446,03-Jun-17,10:09:57,1,0,0,0,H
447,03-Jun-17,10:09:58,1,0,0,0,H
448,03-Jun-17,10:09:58,1,0,0,0,H
449,03-Jun-17,10:09:58,1,0,0,0,H
450,03-Jun-17,10:09:58,1,0,0,0,H
451,03-Jun-17,10:09:58,1,0,0,0,H
452,03-Jun-17,10:09:58,1,0,0,0,H
453,03-Jun-17,10:09:58,1,0,0,0,H
454,03-Jun-17,10:09:59,1,0,0,0,H
455,03-Jun-17,10:09:59,1,0,0,0,H
456,03-Jun-17,10:09:59,1,0,0,0,H
457,03-Jun-17,10:09:59,1,0,0,0,H
458,03-Jun-17,10:10:00,1,0,0,0,H
459,03-Jun-17,10:10:00,1,0,0,0,H
460,03-Jun-17,10:10:00,1,0,0,0,H
461,03-Jun-17,10:10:00,1,0,0,0,H
462,03-Jun-17,10:10:00,1,0,0,0,H
463,03-Jun-17,10:10:01,1,0,0,0,H
464,03-Jun-17,10:10:01,1,0,0,0,H
465,03-Jun-17,10:10:01,1,0,0,0,H
466,03-Jun-17,10:10:01,1,0,0,0,H
467,03-Jun-17,10:10:01,1,0,0,0,H
468,03-Jun-17,10:10:01,1,0,0,0,H
469,03-Jun-17,10:10:02,1,0,0,0,H
470,03-Jun-17,10:10:02,1,0,0,0,H
471,03-Jun-17,10:10:02,1,0,0,0,H
472,03-Jun-17,10:10:02,1,0,0,0,H
473,03-Jun-17,10:10:03,1,0,0,0,H
474,03-Jun-17,10:10:03,1,0,0,0,H
475,03-Jun-17,10:10:03,1,0,0,0,H
476,03-Jun-17,10:10:03,1,0,0,0,H
477,03-Jun-17,10:10:03,1,0,0,0,H
478,03-Jun-17,10:10:03,1,0,0,0,H
479,03-Jun-17,10:10:04,1,0,0,0,H
480,03-Jun-17,10:10:04,1,0,0,0,H
481,03-Jun-17,10:10:04,1,0,0,0,H
482,03-Jun-17,10:10:04,1,0,0,0,H
483,03-Jun-17,10:10:04,1,0,0,0,H
484,03-Jun-17,10:10:05,1,0,0,0,H
485,03-Jun-17,10:10:05,1,0,0,0,H
486,03-Jun-17,10:10:05,1,0,0,0,H
487,03-Jun-17,10:10:05,1,0,0,0,H
488,03-Jun-17,10:10:06,1,0,0,0,H
489,03-Jun-17,10:10:06,1,0,0,0,H
490,03-Jun-17,10:10:06,1,0,0,0,H
491,03-Jun-17,10:10:06,1,0,0,0,H
492,03-Jun-17,10:10:06,1,0,0,0,H
493,03-Jun-17,10:10:06,1,0,0,0,H
494,03-Jun-17,10:10:07,1,0,0,0,H
495,03-Jun-17,10:10:07,1,0,0,0,H
496,03-Jun-17,10:10:07,1,0,0,0,H
497,03-Jun-17,10:10:07,1,0,0,0,H
498,03-Jun-17,10:10:07,1,0,0,0,H
499,03-Jun-17,10:10:08,1,0,0,0,H
500,03-Jun-17,10:10:08,1,0,0,0,H
501,03-Jun-17,10:10:08,1,0,0,0,H
502,03-Jun-17,10:10:08,1,0,0,0,H
