,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
402,24-Jun-17,16:50:53,0,0,1,Green,I
403,24-Jun-17,16:50:54,0,0,1,Green,I
404,24-Jun-17,16:50:54,0,0,1,Green,I
405,24-Jun-17,16:50:54,0,0,1,Green,I
406,24-Jun-17,16:50:54,0,0,1,Green,I
407,24-Jun-17,16:50:54,0,0,1,Green,I
408,24-Jun-17,16:50:55,0,0,1,Green,I
409,24-Jun-17,16:50:55,0,0,1,Green,I
410,24-Jun-17,16:50:55,0,0,1,Green,I
411,24-Jun-17,16:50:55,0,0,1,Green,I
412,24-Jun-17,16:50:55,0,0,1,Green,I
413,24-Jun-17,16:50:55,0,0,1,Green,I
414,24-Jun-17,16:50:56,0,0,1,Green,I
415,24-Jun-17,16:50:56,0,0,1,Green,I
416,24-Jun-17,16:50:56,0,0,1,Green,I
417,24-Jun-17,16:50:56,0,0,1,Green,I
418,24-Jun-17,16:50:56,0,0,1,Green,I
419,24-Jun-17,16:50:57,0,0,1,Green,I
420,24-Jun-17,16:50:57,0,0,1,Green,I
421,24-Jun-17,16:50:57,0,0,1,Green,I
422,24-Jun-17,16:50:57,0,0,1,Green,I
423,24-Jun-17,16:50:58,0,0,1,Green,I
424,24-Jun-17,16:50:58,0,0,1,Green,I
425,24-Jun-17,16:50:58,0,0,1,Green,I
426,24-Jun-17,16:50:58,0,0,1,Green,I
427,24-Jun-17,16:50:59,0,0,1,Green,I
428,24-Jun-17,16:50:59,0,0,1,Green,I
429,24-Jun-17,16:50:59,0,0,1,Green,I
430,24-Jun-17,16:50:59,0,0,1,Green,I
431,24-Jun-17,16:50:59,0,0,1,Green,I
