,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
27,03-Jun-17,10:08:34,1,1,0,1,I
28,03-Jun-17,10:08:34,1,1,0,1,I
29,03-Jun-17,10:08:34,1,1,0,1,I
30,03-Jun-17,10:08:34,1,1,0,1,I
31,03-Jun-17,10:08:34,1,1,0,1,I
32,03-Jun-17,10:08:34,1,1,0,1,I
33,03-Jun-17,10:08:34,1,1,0,1,I
34,03-Jun-17,10:08:35,1,1,0,1,I
35,03-Jun-17,10:08:35,1,1,0,1,I
36,03-Jun-17,10:08:35,1,1,0,1,I
37,03-Jun-17,10:08:35,1,1,0,1,I
38,03-Jun-17,10:08:35,1,1,0,1,I
39,03-Jun-17,10:08:36,1,1,0,1,I
40,03-Jun-17,10:08:36,1,1,0,1,I
41,03-Jun-17,10:08:36,1,1,0,1,I
42,03-Jun-17,10:08:36,1,1,0,1,I
43,03-Jun-17,10:08:37,1,1,0,1,I
44,03-Jun-17,10:08:37,1,1,0,1,I
45,03-Jun-17,10:08:37,1,1,0,1,I
46,03-Jun-17,10:08:37,1,1,0,1,I
47,03-Jun-17,10:08:37,1,1,0,1,I
48,03-Jun-17,10:08:37,1,1,0,1,I
49,03-Jun-17,10:08:38,1,1,0,1,I
50,03-Jun-17,10:08:38,1,1,0,1,I
51,03-Jun-17,10:08:38,1,1,0,1,I
52,03-Jun-17,10:08:38,1,1,0,1,I
53,03-Jun-17,10:08:39,1,1,0,1,I
54,03-Jun-17,10:08:39,1,1,0,1,I
55,03-Jun-17,10:08:39,1,1,0,1,I
56,03-Jun-17,10:08:39,1,1,0,1,I
57,03-Jun-17,10:08:39,1,1,0,1,I
58,03-Jun-17,10:08:40,1,1,0,1,I
59,03-Jun-17,10:08:40,1,1,0,1,I
60,03-Jun-17,10:08:40,1,1,0,1,I
61,03-Jun-17,10:08:40,1,1,0,1,I
62,03-Jun-17,10:08:40,1,1,0,1,I
63,03-Jun-17,10:08:40,1,1,0,1,I
64,03-Jun-17,10:08:41,1,1,0,1,I
65,03-Jun-17,10:08:41,1,1,0,1,I
66,03-Jun-17,10:08:41,1,1,0,1,I
67,03-Jun-17,10:08:41,1,1,0,1,I
68,03-Jun-17,10:08:42,1,1,0,1,I
69,03-Jun-17,10:08:42,1,1,0,1,I
70,03-Jun-17,10:08:42,1,1,0,1,I
71,03-Jun-17,10:08:42,1,1,0,1,I
72,03-Jun-17,10:08:42,1,1,0,1,I
73,03-Jun-17,10:08:42,1,1,0,1,I
74,03-Jun-17,10:08:43,1,1,0,1,I
75,03-Jun-17,10:08:43,1,1,0,1,I
76,03-Jun-17,10:08:43,1,1,0,1,I
77,03-Jun-17,10:08:43,1,1,0,1,I
78,03-Jun-17,10:08:44,1,1,0,1,I
79,03-Jun-17,10:08:44,1,1,0,1,I
80,03-Jun-17,10:08:44,1,1,0,1,I
81,03-Jun-17,10:08:44,1,1,0,1,I
82,03-Jun-17,10:08:44,1,1,0,1,I
83,03-Jun-17,10:08:45,1,1,0,1,I
84,03-Jun-17,10:08:45,1,1,0,1,I
85,03-Jun-17,10:08:45,1,1,0,1,I
86,03-Jun-17,10:08:45,1,1,0,1,I
87,03-Jun-17,10:08:45,1,1,0,1,I
88,03-Jun-17,10:08:45,1,1,0,1,I
89,03-Jun-17,10:08:46,1,1,0,1,I
90,03-Jun-17,10:08:46,1,1,0,1,I
91,03-Jun-17,10:08:46,1,1,0,1,I
92,03-Jun-17,10:08:46,1,1,0,1,I
93,03-Jun-17,10:08:47,1,1,0,1,I
94,03-Jun-17,10:08:47,1,1,0,1,I
95,03-Jun-17,10:08:47,1,1,0,1,I
96,03-Jun-17,10:08:47,1,1,0,1,I
97,03-Jun-17,10:08:47,1,1,0,1,I
98,03-Jun-17,10:08:48,1,1,0,1,I
99,03-Jun-17,10:08:48,1,1,0,1,I
100,03-Jun-17,10:08:48,1,1,0,1,I
101,03-Jun-17,10:08:48,1,1,0,1,I
102,03-Jun-17,10:08:48,1,1,0,1,I
103,03-Jun-17,10:08:48,1,1,0,1,I
104,03-Jun-17,10:08:49,1,1,0,1,I
105,03-Jun-17,10:08:49,1,1,0,1,I
106,03-Jun-17,10:08:49,1,1,0,1,I
107,03-Jun-17,10:08:49,1,1,0,1,I
108,03-Jun-17,10:08:50,1,1,0,1,I
109,03-Jun-17,10:08:50,1,1,0,1,I
110,03-Jun-17,10:08:50,1,1,0,1,I
111,03-Jun-17,10:08:50,1,1,0,1,I
112,03-Jun-17,10:08:50,1,1,0,1,I
113,03-Jun-17,10:08:50,1,1,0,1,I
114,03-Jun-17,10:08:51,1,1,0,1,I
115,03-Jun-17,10:08:51,1,1,0,1,I
116,03-Jun-17,10:08:51,1,1,0,1,I
117,03-Jun-17,10:08:51,1,1,0,1,I
118,03-Jun-17,10:08:51,1,1,0,1,I
119,03-Jun-17,10:08:52,1,1,0,1,I
120,03-Jun-17,10:08:52,1,1,0,1,I
121,03-Jun-17,10:08:52,1,1,0,1,I
122,03-Jun-17,10:08:52,1,1,0,1,I
123,03-Jun-17,10:08:53,1,1,0,1,I
124,03-Jun-17,10:08:53,1,1,0,1,I
125,03-Jun-17,10:08:53,1,1,0,1,I
126,03-Jun-17,10:08:53,1,1,0,1,I
127,03-Jun-17,10:08:53,1,1,0,1,I
128,03-Jun-17,10:08:54,1,1,0,1,I
129,03-Jun-17,10:08:54,1,1,0,1,I
130,03-Jun-17,10:08:54,1,1,0,1,I
131,03-Jun-17,10:08:54,1,1,0,1,I
132,03-Jun-17,10:08:55,1,1,0,1,I
133,03-Jun-17,10:08:55,1,1,0,1,I
134,03-Jun-17,10:08:55,1,1,0,1,I
135,03-Jun-17,10:08:55,1,1,0,1,I
136,03-Jun-17,10:08:55,1,1,0,1,I
137,03-Jun-17,10:08:55,1,1,0,1,I
138,03-Jun-17,10:08:55,1,1,0,1,I
139,03-Jun-17,10:08:56,1,1,0,1,I
140,03-Jun-17,10:08:56,1,1,0,1,I
141,03-Jun-17,10:08:56,1,1,0,1,I
142,03-Jun-17,10:08:56,1,1,0,1,I
143,03-Jun-17,10:08:57,1,1,0,1,I
144,03-Jun-17,10:08:57,1,1,0,1,I
145,03-Jun-17,10:08:57,1,1,0,1,I
146,03-Jun-17,10:08:57,1,1,0,1,I
147,03-Jun-17,10:08:57,1,1,0,1,I
148,03-Jun-17,10:08:58,1,1,0,1,I
149,03-Jun-17,10:08:58,1,1,0,1,I
150,03-Jun-17,10:08:58,1,1,0,1,I
151,03-Jun-17,10:08:58,1,1,0,1,I
152,03-Jun-17,10:08:59,1,1,0,1,I
153,03-Jun-17,10:08:59,1,1,0,1,I
154,03-Jun-17,10:08:59,1,1,0,1,I
155,03-Jun-17,10:08:59,1,1,0,1,I
156,03-Jun-17,10:08:59,1,1,0,1,I
157,03-Jun-17,10:08:59,1,1,0,1,I
158,03-Jun-17,10:08:59,1,1,0,1,I
159,03-Jun-17,10:09:00,1,1,0,1,I
160,03-Jun-17,10:09:00,1,1,0,1,I
161,03-Jun-17,10:09:00,1,1,0,1,I
162,03-Jun-17,10:09:00,1,1,0,1,I
163,03-Jun-17,10:09:01,1,1,0,1,I
164,03-Jun-17,10:09:01,1,1,0,1,I
165,03-Jun-17,10:09:01,1,1,0,1,I
166,03-Jun-17,10:09:01,1,1,0,1,I
167,03-Jun-17,10:09:01,1,1,0,1,I
168,03-Jun-17,10:09:02,1,1,0,1,I
169,03-Jun-17,10:09:02,1,1,0,1,I
170,03-Jun-17,10:09:02,1,1,0,1,I
171,03-Jun-17,10:09:02,1,1,0,1,I
172,03-Jun-17,10:09:03,1,1,0,1,I
173,03-Jun-17,10:09:03,1,1,0,1,I
174,03-Jun-17,10:09:03,1,1,0,1,I
175,03-Jun-17,10:09:03,1,1,0,1,I
176,03-Jun-17,10:09:03,1,1,0,1,I
177,03-Jun-17,10:09:03,1,1,0,1,I
178,03-Jun-17,10:09:03,1,1,0,1,I
179,03-Jun-17,10:09:04,1,1,0,1,I
180,03-Jun-17,10:09:04,1,1,0,1,I
181,03-Jun-17,10:09:04,1,1,0,1,I
182,03-Jun-17,10:09:04,1,1,0,1,I
183,03-Jun-17,10:09:04,1,1,0,1,I
184,03-Jun-17,10:09:05,1,1,0,1,I
185,03-Jun-17,10:09:05,1,1,0,1,I
186,03-Jun-17,10:09:05,1,1,0,1,I
187,03-Jun-17,10:09:05,1,1,0,1,I
188,03-Jun-17,10:09:06,1,1,0,1,I
189,03-Jun-17,10:09:06,1,1,0,1,I
190,03-Jun-17,10:09:06,1,1,0,1,I
191,03-Jun-17,10:09:06,1,1,0,1,I
192,03-Jun-17,10:09:06,1,1,0,1,I
193,03-Jun-17,10:09:06,1,1,0,1,I
194,03-Jun-17,10:09:07,1,1,0,1,I
195,03-Jun-17,10:09:07,1,1,0,1,I
196,03-Jun-17,10:09:07,1,1,0,1,I
197,03-Jun-17,10:09:07,1,1,0,1,I
